device_class,window_id,address_scope,filter_mode,duplicate_filter_window_s,input_event_count,retained_event_count,suppressed_event_count,retained_fraction,suppressed_fraction,interpretation_note
android_smartphone,on_1,random_or_rpa_candidate,capture_disabled,0.000,34317,34317,0,1.000000,0.000000,offline accounting only; not a controller duplicate-filter measurement
android_smartphone,on_1,random_or_rpa_candidate,offline_sliding_window_replay,0.200,34317,14907,19410,0.434391,0.565609,offline accounting only; not a controller duplicate-filter measurement
android_smartphone,on_1,random_or_rpa_candidate,offline_sliding_window_replay,1.000,34317,674,33643,0.019640,0.980360,offline accounting only; not a controller duplicate-filter measurement
android_smartphone,on_1,random_or_rpa_candidate,offline_sliding_window_replay,60.000,34317,34,34283,0.000991,0.999009,offline accounting only; not a controller duplicate-filter measurement
android_smartphone,on_1,rpa_bit_pattern,capture_disabled,0.000,29319,29319,0,1.000000,0.000000,offline accounting only; not a controller duplicate-filter measurement
android_smartphone,on_1,rpa_bit_pattern,offline_sliding_window_replay,0.200,29319,12040,17279,0.410655,0.589345,offline accounting only; not a controller duplicate-filter measurement
android_smartphone,on_1,rpa_bit_pattern,offline_sliding_window_replay,1.000,29319,61,29258,0.002081,0.997919,offline accounting only; not a controller duplicate-filter measurement
android_smartphone,on_1,rpa_bit_pattern,offline_sliding_window_replay,60.000,29319,26,29293,0.000887,0.999113,offline accounting only; not a controller duplicate-filter measurement
android_smartphone,on_2,random_or_rpa_candidate,capture_disabled,0.000,28781,28781,0,1.000000,0.000000,offline accounting only; not a controller duplicate-filter measurement
android_smartphone,on_2,random_or_rpa_candidate,offline_sliding_window_replay,0.200,28781,14586,14195,0.506793,0.493207,offline accounting only; not a controller duplicate-filter measurement
android_smartphone,on_2,random_or_rpa_candidate,offline_sliding_window_replay,1.000,28781,692,28089,0.024044,0.975956,offline accounting only; not a controller duplicate-filter measurement
android_smartphone,on_2,random_or_rpa_candidate,offline_sliding_window_replay,60.000,28781,32,28749,0.001112,0.998888,offline accounting only; not a controller duplicate-filter measurement
android_smartphone,on_2,rpa_bit_pattern,capture_disabled,0.000,27180,27180,0,1.000000,0.000000,offline accounting only; not a controller duplicate-filter measurement
android_smartphone,on_2,rpa_bit_pattern,offline_sliding_window_replay,0.200,27180,13350,13830,0.491170,0.508830,offline accounting only; not a controller duplicate-filter measurement
android_smartphone,on_2,rpa_bit_pattern,offline_sliding_window_replay,1.000,27180,48,27132,0.001766,0.998234,offline accounting only; not a controller duplicate-filter measurement
android_smartphone,on_2,rpa_bit_pattern,offline_sliding_window_replay,60.000,27180,23,27157,0.000846,0.999154,offline accounting only; not a controller duplicate-filter measurement
legacy_ios_smartphone,on_1,random_or_rpa_candidate,capture_disabled,0.000,31333,31333,0,1.000000,0.000000,offline accounting only; not a controller duplicate-filter measurement
legacy_ios_smartphone,on_1,random_or_rpa_candidate,offline_sliding_window_replay,0.200,31333,10696,20637,0.341365,0.658635,offline accounting only; not a controller duplicate-filter measurement
legacy_ios_smartphone,on_1,random_or_rpa_candidate,offline_sliding_window_replay,1.000,31333,782,30551,0.024958,0.975042,offline accounting only; not a controller duplicate-filter measurement
legacy_ios_smartphone,on_1,random_or_rpa_candidate,offline_sliding_window_replay,60.000,31333,37,31296,0.001181,0.998819,offline accounting only; not a controller duplicate-filter measurement
legacy_ios_smartphone,on_1,rpa_bit_pattern,capture_disabled,0.000,26210,26210,0,1.000000,0.000000,offline accounting only; not a controller duplicate-filter measurement
legacy_ios_smartphone,on_1,rpa_bit_pattern,offline_sliding_window_replay,0.200,26210,8234,17976,0.314155,0.685845,offline accounting only; not a controller duplicate-filter measurement
legacy_ios_smartphone,on_1,rpa_bit_pattern,offline_sliding_window_replay,1.000,26210,83,26127,0.003167,0.996833,offline accounting only; not a controller duplicate-filter measurement
legacy_ios_smartphone,on_1,rpa_bit_pattern,offline_sliding_window_replay,60.000,26210,27,26183,0.001030,0.998970,offline accounting only; not a controller duplicate-filter measurement
legacy_ios_smartphone,on_2,random_or_rpa_candidate,capture_disabled,0.000,22903,22903,0,1.000000,0.000000,offline accounting only; not a controller duplicate-filter measurement
legacy_ios_smartphone,on_2,random_or_rpa_candidate,offline_sliding_window_replay,0.200,22903,15181,7722,0.662839,0.337161,offline accounting only; not a controller duplicate-filter measurement
legacy_ios_smartphone,on_2,random_or_rpa_candidate,offline_sliding_window_replay,1.000,22903,989,21914,0.043182,0.956818,offline accounting only; not a controller duplicate-filter measurement
legacy_ios_smartphone,on_2,random_or_rpa_candidate,offline_sliding_window_replay,60.000,22903,27,22876,0.001179,0.998821,offline accounting only; not a controller duplicate-filter measurement
legacy_ios_smartphone,on_2,rpa_bit_pattern,capture_disabled,0.000,20772,20772,0,1.000000,0.000000,offline accounting only; not a controller duplicate-filter measurement
legacy_ios_smartphone,on_2,rpa_bit_pattern,offline_sliding_window_replay,0.200,20772,13435,7337,0.646784,0.353216,offline accounting only; not a controller duplicate-filter measurement
legacy_ios_smartphone,on_2,rpa_bit_pattern,offline_sliding_window_replay,1.000,20772,61,20711,0.002937,0.997063,offline accounting only; not a controller duplicate-filter measurement
legacy_ios_smartphone,on_2,rpa_bit_pattern,offline_sliding_window_replay,60.000,20772,21,20751,0.001011,0.998989,offline accounting only; not a controller duplicate-filter measurement
