addr_hash,addr_type,is_random,is_rpa_candidate,seen_count,window_ids,labels,appears_in_off_window,repeat_ge2_W60,repeat_ge2_W120,rssi_mean_dbm,rssi_max_dbm,rssi_min_dbm
87d275e1e3,random,1,0,1080,H3_iphone_6s_off_1,device_off,1,1,1,-98.91,-96,-105
42a3ffa3f7,random,1,0,685,H3_iphone_6s_off_2;H3_iphone_6s_on_2,device_off;device_on,1,1,1,-100.69,-98,-106
0cefc51504,random,1,0,745,H3_iphone_6s_on_2,device_on,0,1,1,-100.93,-98,-105
45cdae4f56,random,1,0,1243,H3_iphone_6s_off_2;H3_iphone_6s_on_1,device_off;device_on,1,1,1,-100.46,-97,-105
33c4e5d831,random,1,0,195,H3_iphone_6s_on_2,device_on,0,1,1,-101.62,-100,-105
96d14fd732,random,1,0,1648,H3_iphone_6s_on_1,device_on,0,1,1,-98.87,-96,-106
e07479901d,random,1,0,2445,H3_iphone_6s_off_1;H3_iphone_6s_on_1,device_off;device_on,1,1,1,-97.57,-93,-104
7f646308dd,random,1,1,3400,H3_iphone_6s_on_2,device_on,0,1,1,-59.40,-54,-68
c8c54ac436,random,1,1,6,H3_iphone_6s_on_2,device_on,0,1,1,-101.17,-100,-104
5fb46bc28a,random,1,1,3407,H3_iphone_6s_on_2,device_on,0,1,1,-59.43,-51,-68
96a03f7dd6,random,1,1,26,H3_iphone_6s_on_1,device_on,0,1,1,-97.85,-91,-104
001202a5c3,random,1,1,1,H3_iphone_6s_on_2,device_on,0,0,0,-101.00,-101,-101
93833d7a01,random,1,1,2,H3_iphone_6s_on_1,device_on,0,1,1,-101.50,-101,-102
6edf5caa1d,random,1,1,25,H3_iphone_6s_on_1,device_on,0,1,1,-98.96,-93,-103
dcf38adff6,random,1,1,1,H3_iphone_6s_off_1,device_off,1,0,0,-100.00,-100,-100
c22c0444b2,random,1,1,7,H3_iphone_6s_on_1,device_on,0,1,1,-100.43,-98,-103
e0769e42f5,random,1,1,2902,H3_iphone_6s_off_2;H3_iphone_6s_on_1;H3_iphone_6s_on_2,device_off;device_on,1,1,1,-59.79,-56,-65
7d35eb1105,random,1,1,6,H3_iphone_6s_on_1,device_on,0,1,1,-100.50,-99,-102
9abe716e18,random,1,1,1,H3_iphone_6s_on_1,device_on,0,0,0,-102.00,-102,-102
