addr_hash,addr_type,is_random,is_rpa_candidate,seen_count,window_ids,labels,appears_in_off_window,repeat_ge2_W60,repeat_ge2_W120,rssi_mean_dbm,rssi_max_dbm,rssi_min_dbm
0028125ba3,random,1,0,1023,H2_redmi_k80_off_2;H2_redmi_k80_on_2,device_off;device_on,1,1,1,-99.20,-95,-103
e0a4f3f21b,random,1,0,1567,H2_redmi_k80_off_1;H2_redmi_k80_on_1,device_off;device_on,1,1,1,-99.44,-97,-104
8ab3f1b099,random,1,0,221,H2_redmi_k80_on_2,device_on,0,1,1,-99.23,-96,-104
6280882bb4,random,1,0,2360,H2_redmi_k80_on_1,device_on,0,1,1,-99.17,-95,-104
d7ea49e08e,random,1,0,8,H2_redmi_k80_on_2,device_on,0,1,1,-102.88,-102,-104
31fac13a4a,random,1,0,1511,H2_redmi_k80_off_2;H2_redmi_k80_on_1,device_off;device_on,1,1,1,-99.49,-96,-105
fb0520d93c,random,1,0,362,H2_redmi_k80_off_1,device_off,1,1,1,-99.96,-98,-105
bb0406fb7e,random,1,1,202,H2_redmi_k80_on_2,device_on,0,1,1,-68.03,-64,-71
a31638352b,random,1,1,3125,H2_redmi_k80_on_1,device_on,0,1,1,-67.09,-60,-83
8597f25848,random,1,1,1,H2_redmi_k80_on_1,device_on,0,0,0,-102.00,-102,-102
824d767a90,random,1,1,3,H2_redmi_k80_on_2,device_on,0,1,1,-99.67,-97,-102
fcfa398565,random,1,1,2470,H2_redmi_k80_on_2,device_on,0,1,1,-67.77,-62,-74
bad66a3ee5,random,1,1,2296,H2_redmi_k80_off_2;H2_redmi_k80_on_1,device_off;device_on,1,1,1,-67.26,-64,-74
00a70ebddd,random,1,1,13,H2_redmi_k80_off_2,device_off,1,1,1,-97.69,-92,-102
2bbefc1128,random,1,1,29,H2_redmi_k80_on_1,device_on,0,1,1,-95.38,-92,-99
a11b449296,random,1,1,1,H2_redmi_k80_off_2,device_off,1,0,0,-100.00,-100,-100
96b95c4008,random,1,1,48,H2_redmi_k80_off_1,device_off,1,1,1,-70.73,-68,-76
220208fb93,random,1,1,7,H2_redmi_k80_off_2,device_off,1,1,1,-99.57,-99,-101
8b98845fba,random,1,1,2265,H2_redmi_k80_off_1;H2_redmi_k80_on_1,device_off;device_on,1,1,1,-80.25,-68,-98
fb485f10b9,random,1,1,1,H2_redmi_k80_on_1,device_on,0,0,0,-97.00,-97,-97
ee1ccbfa83,random,1,1,3112,H2_redmi_k80_on_1,device_on,0,1,1,-67.48,-61,-83
bdf5987f1d,random,1,1,49,H2_redmi_k80_on_1,device_on,0,1,1,-92.65,-91,-98
7f318de2f4,random,1,1,10,H2_redmi_k80_on_1,device_on,0,1,1,-98.00,-95,-102
26ba4aa205,random,1,1,3380,H2_redmi_k80_off_2;H2_redmi_k80_on_1,device_off;device_on,1,1,1,-67.00,-60,-75
5c3785c08d,random,1,1,35,H2_redmi_k80_off_2,device_off,1,1,1,-99.51,-98,-101
f223f4a0c8,random,1,1,8,H2_redmi_k80_on_2,device_on,0,1,1,-100.88,-100,-102
88b45906e9,random,1,1,656,H2_redmi_k80_on_2,device_on,0,1,1,-75.11,-63,-101
e803dca9c6,random,1,1,3,H2_redmi_k80_on_2,device_on,0,1,1,-101.00,-99,-104
475ceae6d0,random,1,1,1868,H2_redmi_k80_off_2;H2_redmi_k80_on_2,device_off;device_on,1,1,1,-67.34,-59,-80
7f3b2c8ad3,random,1,1,8,H2_redmi_k80_off_2,device_off,1,1,1,-99.00,-98,-100
8c984686e2,random,1,1,3329,H2_redmi_k80_off_2;H2_redmi_k80_on_1;H2_redmi_k80_on_2,device_off;device_on,1,1,1,-78.00,-58,-100
88fe801f41,random,1,1,35,H2_redmi_k80_on_2,device_on,0,1,1,-75.20,-73,-79
83663079ba,random,1,1,1,H2_redmi_k80_on_2,device_on,0,0,0,-103.00,-103,-103
7c91d446f4,random,1,1,2189,H2_redmi_k80_off_1;H2_redmi_k80_on_1,device_off;device_on,1,1,1,-68.41,-62,-81
b8a4b43aaf,random,1,1,4633,H2_redmi_k80_on_1,device_on,0,1,1,-89.72,-78,-103
1f88948371,random,1,1,208,H2_redmi_k80_on_1,device_on,0,1,1,-71.13,-67,-79
041700f7b2,random,1,1,1,H2_redmi_k80_off_2,device_off,1,0,0,-104.00,-104,-104
8a1d6aa9aa,random,1,1,10,H2_redmi_k80_on_1,device_on,0,1,1,-97.40,-97,-99
c032f863b4,random,1,1,2768,H2_redmi_k80_on_2,device_on,0,1,1,-82.28,-58,-103
ecb1e1f5a4,random,1,1,21,H2_redmi_k80_on_1,device_on,0,1,1,-96.33,-89,-101
