config_id,method,trace_scope,event_count,legit_candidate_event_count,ambient_unknown_event_count,legit_candidate_addr_count,cache_size,duplicate_filter_window_s,budget_window_s,budget_per_window,persist_k,persist_reserve,rl_capacity,legit_rssi_threshold_dbm,d_rv_window_s,d_rv_k,legit_non_budget_skip_fraction,legit_resolution_path_fraction,ambient_budget_skip_fraction,d_rv_ge2_W60_addr_count,d_rv_ge2_W60_legit_addr_count,d_rv_ge2_W60_ambient_addr_count,rl_hit_legit_count,rl_hit_ambient_count,reserve_grant_legit_count,reserve_grant_ambient_count,duplicate_filter_legit_count,duplicate_filter_ambient_count,cache_hit_legit_count,cache_hit_ambient_count,host_scan_legit_count,host_scan_ambient_count,budget_skip_legit_count,budget_skip_ambient_count,ground_truth_note
0,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40335,41894,23,64,0.100,60,50,1,8,0,-90,60,2,0.964745,0.960159,0.874039,70,23,47,0,0,0,328,185,2897,38706,0,22,2052,1422,36617,controlled-window labels only; no IRK identity ground truth
1,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,0.100,60,50,1,8,0,-85,60,2,0.965588,0.962156,0.872819,70,21,49,0,0,0,328,138,2962,38675,0,21,2053,1384,36668,controlled-window labels only; no IRK identity ground truth
2,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,0.100,60,50,1,8,0,-80,60,2,0.965588,0.962156,0.872819,70,21,49,0,0,0,328,138,2962,38675,0,21,2053,1384,36668,controlled-window labels only; no IRK identity ground truth
3,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,35585,46644,20,64,0.100,60,50,1,8,0,-75,60,2,0.962990,0.959112,0.885323,70,20,50,0,0,0,328,138,2967,34110,0,20,2054,1317,41295,controlled-window labels only; no IRK identity ground truth
4,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40335,41894,23,64,0.200,60,50,1,8,0,-90,60,2,0.967621,0.960159,0.800974,70,23,47,0,0,0,324,301,5962,38706,0,22,2052,1306,33556,controlled-window labels only; no IRK identity ground truth
5,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,0.200,60,50,1,8,0,-85,60,2,0.968273,0.962156,0.799600,70,21,49,0,0,0,324,246,6042,38675,0,21,2053,1276,33592,controlled-window labels only; no IRK identity ground truth
6,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,0.200,60,50,1,8,0,-80,60,2,0.968273,0.962156,0.799600,70,21,49,0,0,0,324,246,6042,38675,0,21,2053,1276,33592,controlled-window labels only; no IRK identity ground truth
7,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,35585,46644,20,64,0.200,60,50,1,8,0,-75,60,2,0.965491,0.959112,0.790820,70,20,50,0,0,0,324,227,7379,34110,0,20,2054,1228,36887,controlled-window labels only; no IRK identity ground truth
8,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40335,41894,23,64,0.500,60,50,1,8,0,-90,60,2,0.984009,0.960159,0.455531,70,23,47,0,0,0,320,962,20456,38706,0,22,2034,645,19084,controlled-window labels only; no IRK identity ground truth
9,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,0.500,60,50,1,8,0,-85,60,2,0.984485,0.962156,0.454809,70,21,49,0,0,0,320,898,20549,38675,0,21,2035,624,19107,controlled-window labels only; no IRK identity ground truth
10,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,0.500,60,50,1,8,0,-80,60,2,0.984485,0.962156,0.454809,70,21,49,0,0,0,320,898,20549,38675,0,21,2035,624,19107,controlled-window labels only; no IRK identity ground truth
11,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,35585,46644,20,64,0.500,60,50,1,8,0,-75,60,2,0.983055,0.959112,0.440035,70,20,50,0,0,0,320,852,23763,34110,0,20,2036,603,20525,controlled-window labels only; no IRK identity ground truth
12,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40335,41894,23,64,1.000,60,50,1,8,0,-90,60,2,0.991595,0.960159,0.292572,70,23,47,0,0,0,320,1268,27294,38706,0,22,2023,339,12257,controlled-window labels only; no IRK identity ground truth
13,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,1.000,60,50,1,8,0,-85,60,2,0.991869,0.962156,0.292066,70,21,49,0,0,0,320,1195,27397,38675,0,21,2024,327,12270,controlled-window labels only; no IRK identity ground truth
14,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,1.000,60,50,1,8,0,-80,60,2,0.991869,0.962156,0.292066,70,21,49,0,0,0,320,1195,27397,38675,0,21,2024,327,12270,controlled-window labels only; no IRK identity ground truth
15,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,35585,46644,20,64,1.000,60,50,1,8,0,-75,60,2,0.991120,0.959112,0.278385,70,20,50,0,0,0,320,1139,31314,34110,0,20,2025,316,12985,controlled-window labels only; no IRK identity ground truth
16,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40335,41894,23,64,0.100,60,100,1,8,0,-90,60,2,0.964745,0.960159,0.826204,70,23,47,0,0,0,320,185,2897,38706,0,22,4064,1422,34613,controlled-window labels only; no IRK identity ground truth
17,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,0.100,60,100,1,8,0,-85,60,2,0.965588,0.962156,0.825117,70,21,49,0,0,0,320,138,2962,38675,0,21,4065,1384,34664,controlled-window labels only; no IRK identity ground truth
18,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,0.100,60,100,1,8,0,-80,60,2,0.965588,0.962156,0.825117,70,21,49,0,0,0,320,138,2962,38675,0,21,4065,1384,34664,controlled-window labels only; no IRK identity ground truth
19,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,35585,46644,20,64,0.100,60,100,1,8,0,-75,60,2,0.962990,0.959112,0.842359,70,20,50,0,0,0,320,138,2967,34110,0,20,4066,1317,39291,controlled-window labels only; no IRK identity ground truth
20,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40335,41894,23,64,0.200,60,100,1,8,0,-90,60,2,0.967621,0.960159,0.753234,70,23,47,0,0,0,320,301,5962,38706,0,22,4056,1306,31556,controlled-window labels only; no IRK identity ground truth
21,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,0.200,60,100,1,8,0,-85,60,2,0.968273,0.962156,0.751994,70,21,49,0,0,0,320,246,6042,38675,0,21,4057,1276,31592,controlled-window labels only; no IRK identity ground truth
22,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,0.200,60,100,1,8,0,-80,60,2,0.968273,0.962156,0.751994,70,21,49,0,0,0,320,246,6042,38675,0,21,4057,1276,31592,controlled-window labels only; no IRK identity ground truth
23,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,35585,46644,20,64,0.200,60,100,1,8,0,-75,60,2,0.965491,0.959112,0.747942,70,20,50,0,0,0,320,227,7379,34110,0,20,4058,1228,34887,controlled-window labels only; no IRK identity ground truth
24,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40335,41894,23,64,0.500,60,100,1,8,0,-90,60,2,0.986067,0.963803,0.407791,70,23,47,0,0,1,319,898,20456,38853,0,21,4035,562,17084,controlled-window labels only; no IRK identity ground truth
25,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,0.500,60,100,1,8,0,-85,60,2,0.986548,0.965811,0.407203,70,21,49,0,0,1,319,834,20549,38822,0,20,4036,541,17107,controlled-window labels only; no IRK identity ground truth
26,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,0.500,60,100,1,8,0,-80,60,2,0.986548,0.965811,0.407203,70,21,49,0,0,1,319,834,20549,38822,0,20,4036,541,17107,controlled-window labels only; no IRK identity ground truth
27,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,35585,46644,20,64,0.500,60,100,1,8,0,-75,60,2,0.985387,0.963243,0.397157,70,20,50,0,0,1,319,788,23763,34257,0,19,4037,520,18525,controlled-window labels only; no IRK identity ground truth
28,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40335,41894,23,64,1.000,60,100,1,8,0,-90,60,2,0.993827,0.967869,0.245310,70,23,47,0,0,0,312,1047,27294,39017,0,22,4011,249,10277,controlled-window labels only; no IRK identity ground truth
29,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,1.000,60,100,1,8,0,-85,60,2,0.994107,0.969889,0.244912,70,21,49,0,0,0,312,974,27397,38986,0,21,4013,237,10289,controlled-window labels only; no IRK identity ground truth
30,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,1.000,60,100,1,8,0,-80,60,2,0.994107,0.969889,0.244912,70,21,49,0,0,0,312,974,27397,38986,0,21,4013,237,10289,controlled-window labels only; no IRK identity ground truth
31,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,35585,46644,20,64,1.000,60,100,1,8,0,-75,60,2,0.993649,0.967852,0.235915,70,20,50,0,0,0,312,918,31314,34421,0,20,4014,226,11004,controlled-window labels only; no IRK identity ground truth
32,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40335,41894,23,64,0.100,60,200,1,8,0,-90,60,2,0.968439,0.963853,0.730725,70,23,47,0,0,0,320,185,2897,38855,0,22,8064,1273,30613,controlled-window labels only; no IRK identity ground truth
33,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,0.100,60,200,1,8,0,-85,60,2,0.969292,0.965861,0.729904,70,21,49,0,0,0,320,138,2962,38824,0,21,8065,1235,30664,controlled-window labels only; no IRK identity ground truth
34,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,0.100,60,200,1,8,0,-80,60,2,0.969292,0.965861,0.729904,70,21,49,0,0,0,320,138,2962,38824,0,21,8065,1235,30664,controlled-window labels only; no IRK identity ground truth
35,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,35585,46644,20,64,0.100,60,200,1,8,0,-75,60,2,0.967177,0.963299,0.756603,70,20,50,0,0,0,320,138,2967,34259,0,20,8066,1168,35291,controlled-window labels only; no IRK identity ground truth
36,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40335,41894,23,64,0.200,60,200,1,8,0,-90,60,2,0.971315,0.963853,0.657755,70,23,47,0,0,0,320,301,5962,38855,0,22,8056,1157,27556,controlled-window labels only; no IRK identity ground truth
37,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,0.200,60,200,1,8,0,-85,60,2,0.971978,0.965861,0.656780,70,21,49,0,0,0,320,246,6042,38824,0,21,8057,1127,27592,controlled-window labels only; no IRK identity ground truth
38,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,0.200,60,200,1,8,0,-80,60,2,0.971978,0.965861,0.656780,70,21,49,0,0,0,320,246,6042,38824,0,21,8057,1127,27592,controlled-window labels only; no IRK identity ground truth
39,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,35585,46644,20,64,0.200,60,200,1,8,0,-75,60,2,0.969678,0.963299,0.662186,70,20,50,0,0,0,320,227,7379,34259,0,20,8058,1079,30887,controlled-window labels only; no IRK identity ground truth
40,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40335,41894,23,64,0.500,60,200,1,8,0,-90,60,2,0.988348,0.967869,0.313983,70,23,47,0,0,0,312,826,20456,39017,0,22,7972,470,13154,controlled-window labels only; no IRK identity ground truth
41,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,0.500,60,200,1,8,0,-85,60,2,0.988836,0.969889,0.313608,70,21,49,0,0,0,312,762,20549,38986,0,21,7975,449,13175,controlled-window labels only; no IRK identity ground truth
42,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,0.500,60,200,1,8,0,-80,60,2,0.988836,0.969889,0.313608,70,21,49,0,0,0,312,762,20549,38986,0,21,7975,449,13175,controlled-window labels only; no IRK identity ground truth
43,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,35585,46644,20,64,0.500,60,200,1,8,0,-75,60,2,0.987972,0.967852,0.312859,70,20,50,0,0,0,312,716,23763,34421,0,20,7976,428,14593,controlled-window labels only; no IRK identity ground truth
44,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40335,41894,23,64,1.000,60,200,1,8,0,-90,60,2,0.998959,0.995761,0.154819,70,23,47,0,0,0,296,129,27294,40142,0,22,7818,42,6486,controlled-window labels only; no IRK identity ground truth
45,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,1.000,60,200,1,8,0,-85,60,2,0.999254,0.997862,0.154674,70,21,49,0,0,0,296,56,27397,40111,0,21,7820,30,6498,controlled-window labels only; no IRK identity ground truth
46,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,1.000,60,200,1,8,0,-80,60,2,0.999254,0.997862,0.154674,70,21,49,0,0,0,296,56,27397,40111,0,21,7820,30,6498,controlled-window labels only; no IRK identity ground truth
47,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,35585,46644,20,64,1.000,60,200,1,8,0,-75,60,2,0.999466,0.999466,0.154639,70,20,50,0,0,0,296,0,31314,35546,0,20,7821,19,7213,controlled-window labels only; no IRK identity ground truth
48,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40335,41894,23,64,0.100,60,50,1,8,4,-90,60,2,0.974712,0.971910,0.873968,70,23,47,4,0,0,328,113,2897,39179,0,19,2055,1020,36614,controlled-window labels only; no IRK identity ground truth
49,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,0.100,60,50,1,8,4,-85,60,2,0.980407,0.978766,0.872724,70,21,49,4,0,0,328,66,2962,39343,0,17,2057,788,36664,controlled-window labels only; no IRK identity ground truth
50,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,0.100,60,50,1,8,4,-80,60,2,0.980407,0.978766,0.872724,70,21,49,4,0,0,328,66,2962,39343,0,17,2057,788,36664,controlled-window labels only; no IRK identity ground truth
51,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,35585,46644,20,64,0.100,60,50,1,8,4,-75,60,2,0.979739,0.977884,0.885237,70,20,50,4,0,0,328,66,2967,34778,0,16,2058,721,41291,controlled-window labels only; no IRK identity ground truth
52,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40335,41894,23,64,0.200,60,50,1,8,4,-90,60,2,0.976745,0.971910,0.800902,70,23,47,4,0,0,324,195,5962,39179,0,19,2055,938,33553,controlled-window labels only; no IRK identity ground truth
53,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,0.200,60,50,1,8,4,-85,60,2,0.981899,0.978766,0.799505,70,21,49,4,0,0,324,126,6042,39343,0,17,2057,728,33588,controlled-window labels only; no IRK identity ground truth
