m10_experiment,m10_scenario,attack_rpa_rate_per_min,unique_attack_rpa,duplicate_filter_window_s,persist_reserve,persist_k,method,n,attack_aes_amplification_mean,attack_aes_amplification_sd,attack_aes_amplification_ci95_low,attack_aes_amplification_ci95_high,legit_resolution_rate_mean,legit_resolution_rate_sd,legit_resolution_rate_ci95_low,legit_resolution_rate_ci95_high,false_defer_legit_rate_mean,false_defer_legit_rate_sd,false_defer_legit_rate_ci95_low,false_defer_legit_rate_ci95_high
attacker_dilemma,heavy_flood,10000.0,False,0,200,1,BudgetDoS,20,45648.288,350.532672,45484.233659,45812.342341,0.56632,0.066637,0.535133,0.597507,0.43368,0.066637,0.402493,0.464867
attacker_dilemma,heavy_flood,10000.0,False,0,200,1,P3-Persist,20,146163.024,374.442527,145987.779503,146338.268497,0.64109,0.021035,0.631245,0.650934,0.359478,0.020895,0.349699,0.369257
attacker_dilemma,heavy_flood,10000.0,False,60,200,1,BudgetDoS,20,504.0,0.0,504.0,504.0,0.112079,0.004289,0.110072,0.114087,0.887921,0.004289,0.885913,0.889928
attacker_dilemma,heavy_flood,10000.0,False,60,200,1,P3-Persist,20,504.0,0.0,504.0,504.0,0.94332,0.004745,0.9411,0.945541,0.062089,0.00457,0.05995,0.064228
attacker_dilemma,heavy_flood,10000.0,True,0,200,1,BudgetDoS,20,45648.288,350.532672,45484.233659,45812.342341,0.56632,0.066637,0.535133,0.597507,0.43368,0.066637,0.402493,0.464867
attacker_dilemma,heavy_flood,10000.0,True,0,200,1,P3-Persist,20,45765.216,339.358074,45606.391532,45924.040468,0.955667,0.002115,0.954677,0.956656,0.049741,0.002291,0.048669,0.050814
main,heavy_flood,10000.0,True,0,200,1,AdaptiveRateLimit,20,45658.368,338.960732,45499.729494,45817.006506,0.590968,0.010506,0.586051,0.595885,0.409032,0.010506,0.404115,0.413949
main,heavy_flood,10000.0,True,0,200,1,BudgetDoS,20,45648.288,350.532672,45484.233659,45812.342341,0.56632,0.066637,0.535133,0.597507,0.43368,0.066637,0.402493,0.464867
main,heavy_flood,10000.0,True,0,200,1,Oracle-Offline,20,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
main,heavy_flood,10000.0,True,0,200,1,P3-NoPersist,20,45650.304,342.776169,45489.879815,45810.728185,0.571804,0.035815,0.555042,0.588566,0.428373,0.035915,0.411564,0.445181
main,heavy_flood,10000.0,True,0,200,1,P3-Persist,20,45765.216,339.358074,45606.391532,45924.040468,0.955667,0.002115,0.954677,0.956656,0.049741,0.002291,0.048669,0.050814
main,heavy_flood,10000.0,True,0,200,1,Random-RL,20,5038527.312,9489.787219,5034085.954868,5042968.669132,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
main,medium_flood,1000.0,True,0,200,1,AdaptiveRateLimit,20,44059.68,314.671433,43912.409236,44206.950764,0.623457,0.012574,0.617573,0.629342,0.376543,0.012574,0.370658,0.382427
main,medium_flood,1000.0,True,0,200,1,BudgetDoS,20,43898.4,301.053,43757.502859,44039.297141,0.577579,0.038354,0.559628,0.595529,0.422421,0.038354,0.404471,0.440372
main,medium_flood,1000.0,True,0,200,1,Oracle-Offline,20,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
main,medium_flood,1000.0,True,0,200,1,P3-NoPersist,20,44641.296,301.534002,44500.173743,44782.418257,0.75356,0.014723,0.74667,0.760451,0.248098,0.014503,0.24131,0.254885
main,medium_flood,1000.0,True,0,200,1,P3-Persist,20,45227.952,280.603889,45096.625337,45359.278663,0.956944,0.002226,0.955902,0.957986,0.048419,0.002963,0.047032,0.049805
main,medium_flood,1000.0,True,0,200,1,Random-RL,20,504557.424,3220.318763,503050.268425,506064.579575,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
rate_independence,heavy_flood,10000.0,False,0,200,1,P3-Persist,20,146163.024,374.442527,145987.779503,146338.268497,0.64109,0.021035,0.631245,0.650934,0.359478,0.020895,0.349699,0.369257
rate_independence,heavy_flood,20000.0,False,0,200,1,P3-Persist,20,148493.52,209.700215,148395.377278,148591.662722,0.592394,0.028219,0.579187,0.6056,0.407824,0.028217,0.394618,0.42103
reserve_sensitivity,heavy_flood,10000.0,True,0,100,1,P3-Persist,20,45765.216,339.358074,45606.391532,45924.040468,0.955667,0.002115,0.954677,0.956656,0.049741,0.002291,0.048669,0.050814
reserve_sensitivity,heavy_flood,10000.0,True,0,200,1,P3-Persist,20,45765.216,339.358074,45606.391532,45924.040468,0.955667,0.002115,0.954677,0.956656,0.049741,0.002291,0.048669,0.050814
reserve_sensitivity,heavy_flood,10000.0,True,0,400,1,P3-Persist,20,45765.216,339.358074,45606.391532,45924.040468,0.955667,0.002115,0.954677,0.956656,0.049741,0.002291,0.048669,0.050814
reserve_sensitivity,heavy_flood,10000.0,True,0,50,1,P3-Persist,20,45765.216,339.358074,45606.391532,45924.040468,0.955667,0.002115,0.954677,0.956656,0.049741,0.002291,0.048669,0.050814
threshold_sensitivity,heavy_flood,10000.0,True,0,200,1,P3-Persist,20,45765.216,339.358074,45606.391532,45924.040468,0.955667,0.002115,0.954677,0.956656,0.049741,0.002291,0.048669,0.050814
threshold_sensitivity,heavy_flood,10000.0,True,0,200,2,P3-Persist,20,45754.128,344.896051,45592.711679,45915.544321,0.9086,0.003673,0.906881,0.910319,0.095599,0.003875,0.093786,0.097413
threshold_sensitivity,heavy_flood,10000.0,True,0,200,3,P3-Persist,20,45745.056,340.867514,45585.525093,45904.586907,0.865738,0.00438,0.863688,0.867788,0.13693,0.004383,0.134879,0.138981
