check,attack_rpa_rate_per_min,n,attack_aes_amplification_mean,attack_aes_amplification_sd,cap_aes_per_min,mean_over_cap,pass_cap_105,ratio_20k_to_10k,pass_ratio_105
rate_summary,10000.0,20,146163.024,374.442527,151200.0,0.966687,True,,
rate_summary,20000.0,20,148493.52,209.700215,151200.0,0.9821,True,,
seed_ratio,20260610,1,,,151200.0,,,1.019087,True
seed_ratio,20260611,1,,,151200.0,,,1.016731,True
seed_ratio,20260612,1,,,151200.0,,,1.019263,True
seed_ratio,20260613,1,,,151200.0,,,1.016149,True
seed_ratio,20260614,1,,,151200.0,,,1.016788,True
seed_ratio,20260615,1,,,151200.0,,,1.016402,True
seed_ratio,20260616,1,,,151200.0,,,1.015588,True
seed_ratio,20260617,1,,,151200.0,,,1.019106,True
seed_ratio,20260618,1,,,151200.0,,,1.019353,True
seed_ratio,20260619,1,,,151200.0,,,1.015308,True
seed_ratio,20260620,1,,,151200.0,,,1.015569,True
seed_ratio,20260621,1,,,151200.0,,,1.017387,True
seed_ratio,20260622,1,,,151200.0,,,1.011677,True
seed_ratio,20260623,1,,,151200.0,,,1.008779,True
seed_ratio,20260624,1,,,151200.0,,,1.016701,True
seed_ratio,20260625,1,,,151200.0,,,1.014639,True
seed_ratio,20260626,1,,,151200.0,,,1.012935,True
seed_ratio,20260627,1,,,151200.0,,,1.014746,True
seed_ratio,20260628,1,,,151200.0,,,1.015956,True
seed_ratio,20260629,1,,,151200.0,,,1.016832,True
ratio_summary,20000_vs_10000,20,,,151200.0,,,1.01595,True
