m10_experiment,m10_scenario,attack_rpa_rate_per_min,unique_attack_rpa,duplicate_filter_window_s,persist_reserve,persist_k,method,n,aes_attempts_total_mean,aes_attempts_total_sd,attack_aes_amplification_mean,attack_aes_amplification_sd,legit_resolution_rate_mean,legit_resolution_rate_sd,false_defer_legit_rate_mean,false_defer_legit_rate_sd,sram_bytes_mean,sram_bytes_sd
attacker_dilemma,heavy_flood,10000.0,False,0,200,1,BudgetDoS,20,1261435.5,171.477941,45648.288,350.532672,0.56632,0.066637,0.43368,0.066637,4192.0,0.0
attacker_dilemma,heavy_flood,10000.0,False,0,200,1,P3-Persist,20,3780007.0,0.561951,146163.024,374.442527,0.64109,0.021035,0.359478,0.020895,6832.0,0.0
attacker_dilemma,heavy_flood,10000.0,False,60,200,1,BudgetDoS,20,1260178.7,11.991664,504.0,0.0,0.112079,0.004289,0.887921,0.004289,4192.0,0.0
attacker_dilemma,heavy_flood,10000.0,False,60,200,1,P3-Persist,20,1339943.6,6592.628558,504.0,0.0,0.94332,0.004745,0.062089,0.00457,6832.0,0.0
attacker_dilemma,heavy_flood,10000.0,True,0,200,1,BudgetDoS,20,1261435.5,171.477941,45648.288,350.532672,0.56632,0.066637,0.43368,0.066637,4192.0,0.0
attacker_dilemma,heavy_flood,10000.0,True,0,200,1,P3-Persist,20,1361667.9,7315.118799,45765.216,339.358074,0.955667,0.002115,0.049741,0.002291,6832.0,0.0
main,heavy_flood,10000.0,True,0,200,1,AdaptiveRateLimit,20,1261499.05,33.269988,45658.368,338.960732,0.590968,0.010506,0.409032,0.010506,64.0,0.0
main,heavy_flood,10000.0,True,0,200,1,BudgetDoS,20,1261435.5,171.477941,45648.288,350.532672,0.56632,0.066637,0.43368,0.066637,4192.0,0.0
main,heavy_flood,10000.0,True,0,200,1,Oracle-Offline,20,2552.0,40.963398,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
main,heavy_flood,10000.0,True,0,200,1,P3-NoPersist,20,1260007.35,0.587143,45650.304,342.776169,0.571804,0.035815,0.428373,0.035915,5232.0,0.0
main,heavy_flood,10000.0,True,0,200,1,P3-Persist,20,1361667.9,7315.118799,45765.216,339.358074,0.955667,0.002115,0.049741,0.002291,6832.0,0.0
main,heavy_flood,10000.0,True,0,200,1,Random-RL,20,139383879.65,298447.952153,5038527.312,9489.787219,1.0,0.0,0.0,0.0,4128.0,0.0
main,medium_flood,1000.0,True,0,200,1,AdaptiveRateLimit,20,1261481.8,43.239358,44059.68,314.671433,0.623457,0.012574,0.376543,0.012574,64.0,0.0
main,medium_flood,1000.0,True,0,200,1,BudgetDoS,20,1261357.55,110.923622,43898.4,301.053,0.577579,0.038354,0.422421,0.038354,4192.0,0.0
main,medium_flood,1000.0,True,0,200,1,Oracle-Offline,20,2530.5,53.207142,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
main,medium_flood,1000.0,True,0,200,1,P3-NoPersist,20,1260003.3,1.657519,44641.296,301.534002,0.75356,0.014723,0.248098,0.014503,5232.0,0.0
main,medium_flood,1000.0,True,0,200,1,P3-Persist,20,1345336.85,8469.306877,45227.952,280.603889,0.956944,0.002226,0.048419,0.002963,6832.0,0.0
main,medium_flood,1000.0,True,0,200,1,Random-RL,20,14687535.15,88686.544716,504557.424,3220.318763,1.0,0.0,0.0,0.0,4128.0,0.0
rate_independence,heavy_flood,10000.0,False,0,200,1,P3-Persist,20,3780007.0,0.561951,146163.024,374.442527,0.64109,0.021035,0.359478,0.020895,6832.0,0.0
rate_independence,heavy_flood,20000.0,False,0,200,1,P3-Persist,20,3780007.55,0.510418,148493.52,209.700215,0.592394,0.028219,0.407824,0.028217,6832.0,0.0
reserve_sensitivity,heavy_flood,10000.0,True,0,100,1,P3-Persist,20,1361667.9,7315.118799,45765.216,339.358074,0.955667,0.002115,0.049741,0.002291,6032.0,0.0
reserve_sensitivity,heavy_flood,10000.0,True,0,200,1,P3-Persist,20,1361667.9,7315.118799,45765.216,339.358074,0.955667,0.002115,0.049741,0.002291,6832.0,0.0
reserve_sensitivity,heavy_flood,10000.0,True,0,400,1,P3-Persist,20,1361667.9,7315.118799,45765.216,339.358074,0.955667,0.002115,0.049741,0.002291,8432.0,0.0
reserve_sensitivity,heavy_flood,10000.0,True,0,50,1,P3-Persist,20,1361667.9,7315.118799,45765.216,339.358074,0.955667,0.002115,0.049741,0.002291,5632.0,0.0
threshold_sensitivity,heavy_flood,10000.0,True,0,200,1,P3-Persist,20,1361667.9,7315.118799,45765.216,339.358074,0.955667,0.002115,0.049741,0.002291,6832.0,0.0
threshold_sensitivity,heavy_flood,10000.0,True,0,200,2,P3-Persist,20,1329710.65,4553.432959,45754.128,344.896051,0.9086,0.003673,0.095599,0.003875,6832.0,0.0
threshold_sensitivity,heavy_flood,10000.0,True,0,200,3,P3-Persist,20,1309070.55,3454.140924,45745.056,340.867514,0.865738,0.00438,0.13693,0.004383,6832.0,0.0
