method,attack_strategy,amp_dup_off_mean,amp_dup_on_mean,amp_on_over_off,dup_removable_fraction_on,legit_rate_dup_on_mean
BudgetDoS,legacy_repeated,45648.288,504.0,0.011041,0.9999,0.112079
BudgetDoS,pool16_r1_p60,45648.288,8064.0,0.176655,0.998399,0.106629
BudgetDoS,pool16_r4_p60,45648.288,8064.0,0.176655,0.998399,0.106629
BudgetDoS,pool1_r1_p15,45648.288,504.0,0.011041,0.9999,0.112079
BudgetDoS,pool1_r4_p15,45648.288,504.0,0.011041,0.9999,0.112079
BudgetDoS,pool256_r1_p120,45648.288,45644.256,0.999912,0.974392,0.078791
BudgetDoS,pool256_r4_p120,45648.288,38298.96,0.839001,0.974392,0.084337
BudgetDoS,pool4_r1_p15,45648.288,2016.0,0.044164,0.9996,0.111258
BudgetDoS,pool4_r4_p15,45648.288,2016.0,0.044164,0.9996,0.111258
BudgetDoS,pool64_r1_p60,45648.288,32256.0,0.70662,0.993598,0.088597
BudgetDoS,pool64_r4_p60,45648.288,32200.56,0.705406,0.993598,0.088617
BudgetDoS,unique,45648.288,45644.256,0.999912,0.0,0.078791
P3-Persist,legacy_repeated,146163.024,504.0,0.003448,0.9999,0.94332
P3-Persist,pool16_r1_p60,146163.024,8064.0,0.055171,0.998399,0.94303
P3-Persist,pool16_r4_p60,146163.024,8064.0,0.055171,0.998399,0.94303
P3-Persist,pool1_r1_p15,146163.024,504.0,0.003448,0.9999,0.94332
P3-Persist,pool1_r4_p15,146163.024,504.0,0.003448,0.9999,0.94332
P3-Persist,pool256_r1_p120,146162.016,128962.512,0.882326,0.974403,0.928646
P3-Persist,pool256_r4_p120,146162.016,128793.168,0.881167,0.974433,0.931953
P3-Persist,pool4_r1_p15,146163.024,2016.0,0.013793,0.9996,0.943107
P3-Persist,pool4_r4_p15,146163.024,2016.0,0.013793,0.9996,0.943107
P3-Persist,pool64_r1_p60,146163.024,32256.0,0.220685,0.993598,0.935078
P3-Persist,pool64_r4_p60,146163.024,32213.664,0.220395,0.993605,0.935078
P3-Persist,unique,45765.216,45758.16,0.999846,0.0,0.928646
