m11_experiment,m11_scenario,attack_strategy,attack_addr_pool_size,attack_repeats_per_addr,attack_repeat_interval_s,duplicate_filter_window_s,method,n,attack_aes_amplification_mean,attack_aes_amplification_sd,legit_resolution_rate_mean,legit_resolution_rate_sd,false_defer_legit_rate_mean,false_defer_legit_rate_sd,reserve_grant_attack_count_mean,reserve_grant_attack_count_sd,duplicate_filter_attack_count_mean,duplicate_filter_attack_count_sd,dup_removable_fraction_mean,dup_removable_fraction_sd
adaptive_adversary,heavy_flood,legacy_repeated,0,1,0.0,0,BudgetDoS,20,45648.288,350.532672,0.56632,0.066637,0.43368,0.066637,0.0,0.0,0.0,0.0,0.0,0.0
adaptive_adversary,heavy_flood,legacy_repeated,0,1,0.0,0,P3-Persist,20,146163.024,374.442527,0.64109,0.021035,0.359478,0.020895,4984.45,3.410124,0.0,0.0,0.0,0.0
adaptive_adversary,heavy_flood,legacy_repeated,0,1,0.0,60,BudgetDoS,20,504.0,0.0,0.112079,0.004289,0.887921,0.004289,0.0,0.0,249901.95,470.723572,0.9999,0.0
adaptive_adversary,heavy_flood,legacy_repeated,0,1,0.0,60,P3-Persist,20,504.0,0.0,0.94332,0.004745,0.062089,0.00457,0.0,0.0,249901.95,470.723572,0.9999,0.0
adaptive_adversary,heavy_flood,pool16_r1_p60,16,1,60.0,0,BudgetDoS,20,45648.288,350.532672,0.56632,0.066637,0.43368,0.066637,0.0,0.0,0.0,0.0,0.0,0.0
adaptive_adversary,heavy_flood,pool16_r1_p60,16,1,60.0,0,P3-Persist,20,146163.024,374.442527,0.64109,0.021035,0.359478,0.020895,4984.45,3.410124,0.0,0.0,0.0,0.0
adaptive_adversary,heavy_flood,pool16_r1_p60,16,1,60.0,60,BudgetDoS,20,8064.0,0.0,0.106629,0.00338,0.893371,0.00338,0.0,0.0,249526.95,470.723572,0.998399,3e-06
adaptive_adversary,heavy_flood,pool16_r1_p60,16,1,60.0,60,P3-Persist,20,8064.0,0.0,0.94303,0.004418,0.062438,0.004198,0.0,0.0,249526.95,470.723572,0.998399,3e-06
adaptive_adversary,heavy_flood,pool16_r4_p60,16,4,60.0,0,BudgetDoS,20,45648.288,350.532672,0.56632,0.066637,0.43368,0.066637,0.0,0.0,0.0,0.0,0.0,0.0
adaptive_adversary,heavy_flood,pool16_r4_p60,16,4,60.0,0,P3-Persist,20,146163.024,374.442527,0.64109,0.021035,0.359478,0.020895,4984.45,3.410124,0.0,0.0,0.0,0.0
adaptive_adversary,heavy_flood,pool16_r4_p60,16,4,60.0,60,BudgetDoS,20,8064.0,0.0,0.106629,0.00338,0.893371,0.00338,0.0,0.0,249526.95,470.723572,0.998399,3e-06
adaptive_adversary,heavy_flood,pool16_r4_p60,16,4,60.0,60,P3-Persist,20,8064.0,0.0,0.94303,0.004418,0.062438,0.004198,0.0,0.0,249526.95,470.723572,0.998399,3e-06
adaptive_adversary,heavy_flood,pool1_r1_p15,1,1,15.0,0,BudgetDoS,20,45648.288,350.532672,0.56632,0.066637,0.43368,0.066637,0.0,0.0,0.0,0.0,0.0,0.0
adaptive_adversary,heavy_flood,pool1_r1_p15,1,1,15.0,0,P3-Persist,20,146163.024,374.442527,0.64109,0.021035,0.359478,0.020895,4984.45,3.410124,0.0,0.0,0.0,0.0
adaptive_adversary,heavy_flood,pool1_r1_p15,1,1,15.0,60,BudgetDoS,20,504.0,0.0,0.112079,0.004289,0.887921,0.004289,0.0,0.0,249901.95,470.723572,0.9999,0.0
adaptive_adversary,heavy_flood,pool1_r1_p15,1,1,15.0,60,P3-Persist,20,504.0,0.0,0.94332,0.004745,0.062089,0.00457,0.0,0.0,249901.95,470.723572,0.9999,0.0
adaptive_adversary,heavy_flood,pool1_r4_p15,1,4,15.0,0,BudgetDoS,20,45648.288,350.532672,0.56632,0.066637,0.43368,0.066637,0.0,0.0,0.0,0.0,0.0,0.0
adaptive_adversary,heavy_flood,pool1_r4_p15,1,4,15.0,0,P3-Persist,20,146163.024,374.442527,0.64109,0.021035,0.359478,0.020895,4984.45,3.410124,0.0,0.0,0.0,0.0
adaptive_adversary,heavy_flood,pool1_r4_p15,1,4,15.0,60,BudgetDoS,20,504.0,0.0,0.112079,0.004289,0.887921,0.004289,0.0,0.0,249901.95,470.723572,0.9999,0.0
adaptive_adversary,heavy_flood,pool1_r4_p15,1,4,15.0,60,P3-Persist,20,504.0,0.0,0.94332,0.004745,0.062089,0.00457,0.0,0.0,249901.95,470.723572,0.9999,0.0
adaptive_adversary,heavy_flood,pool256_r1_p120,256,1,120.0,0,BudgetDoS,20,45648.288,350.532672,0.56632,0.066637,0.43368,0.066637,0.0,0.0,0.0,0.0,0.0,0.0
adaptive_adversary,heavy_flood,pool256_r1_p120,256,1,120.0,0,P3-Persist,20,146162.016,374.763729,0.640442,0.020833,0.360126,0.020685,4984.4,3.393492,0.0,0.0,0.0,0.0
adaptive_adversary,heavy_flood,pool256_r1_p120,256,1,120.0,60,BudgetDoS,20,45644.256,351.860475,0.078791,0.002143,0.921209,0.002143,0.0,0.0,243526.95,470.723572,0.974392,4.8e-05
adaptive_adversary,heavy_flood,pool256_r1_p120,256,1,120.0,60,P3-Persist,20,128962.512,49.587043,0.928646,0.005201,0.076663,0.005557,4127.2,17.031241,243526.95,470.723572,0.974403,4.6e-05
adaptive_adversary,heavy_flood,pool256_r4_p120,256,4,120.0,0,BudgetDoS,20,45648.288,350.532672,0.56632,0.066637,0.43368,0.066637,0.0,0.0,0.0,0.0,0.0,0.0
adaptive_adversary,heavy_flood,pool256_r4_p120,256,4,120.0,0,P3-Persist,20,146162.016,374.763729,0.640442,0.020833,0.360126,0.020685,4984.4,3.393492,0.0,0.0,0.0,0.0
adaptive_adversary,heavy_flood,pool256_r4_p120,256,4,120.0,60,BudgetDoS,20,38298.96,383.618953,0.084337,0.002506,0.915663,0.002506,0.0,0.0,243526.95,470.723572,0.974392,4.8e-05
adaptive_adversary,heavy_flood,pool256_r4_p120,256,4,120.0,60,P3-Persist,20,128793.168,189.058172,0.931953,0.006888,0.073337,0.006611,4478.0,23.953903,243526.95,470.723572,0.974433,5.5e-05
adaptive_adversary,heavy_flood,pool4_r1_p15,4,1,15.0,0,BudgetDoS,20,45648.288,350.532672,0.56632,0.066637,0.43368,0.066637,0.0,0.0,0.0,0.0,0.0,0.0
adaptive_adversary,heavy_flood,pool4_r1_p15,4,1,15.0,0,P3-Persist,20,146163.024,374.442527,0.64109,0.021035,0.359478,0.020895,4984.45,3.410124,0.0,0.0,0.0,0.0
adaptive_adversary,heavy_flood,pool4_r1_p15,4,1,15.0,60,BudgetDoS,20,2016.0,0.0,0.111258,0.004439,0.888742,0.004439,0.0,0.0,249826.95,470.723572,0.9996,1e-06
adaptive_adversary,heavy_flood,pool4_r1_p15,4,1,15.0,60,P3-Persist,20,2016.0,0.0,0.943107,0.004664,0.062302,0.00446,0.0,0.0,249826.95,470.723572,0.9996,1e-06
adaptive_adversary,heavy_flood,pool4_r4_p15,4,4,15.0,0,BudgetDoS,20,45648.288,350.532672,0.56632,0.066637,0.43368,0.066637,0.0,0.0,0.0,0.0,0.0,0.0
adaptive_adversary,heavy_flood,pool4_r4_p15,4,4,15.0,0,P3-Persist,20,146163.024,374.442527,0.64109,0.021035,0.359478,0.020895,4984.45,3.410124,0.0,0.0,0.0,0.0
adaptive_adversary,heavy_flood,pool4_r4_p15,4,4,15.0,60,BudgetDoS,20,2016.0,0.0,0.111258,0.004439,0.888742,0.004439,0.0,0.0,249826.95,470.723572,0.9996,1e-06
adaptive_adversary,heavy_flood,pool4_r4_p15,4,4,15.0,60,P3-Persist,20,2016.0,0.0,0.943107,0.004664,0.062302,0.00446,0.0,0.0,249826.95,470.723572,0.9996,1e-06
adaptive_adversary,heavy_flood,pool64_r1_p60,64,1,60.0,0,BudgetDoS,20,45648.288,350.532672,0.56632,0.066637,0.43368,0.066637,0.0,0.0,0.0,0.0,0.0,0.0
adaptive_adversary,heavy_flood,pool64_r1_p60,64,1,60.0,0,P3-Persist,20,146163.024,374.442527,0.64109,0.021035,0.359478,0.020895,4984.45,3.410124,0.0,0.0,0.0,0.0
adaptive_adversary,heavy_flood,pool64_r1_p60,64,1,60.0,60,BudgetDoS,20,32256.0,0.0,0.088597,0.002607,0.911403,0.002607,0.0,0.0,248326.95,470.723572,0.993598,1.2e-05
adaptive_adversary,heavy_flood,pool64_r1_p60,64,1,60.0,60,P3-Persist,20,32256.0,0.0,0.935078,0.006919,0.070191,0.006431,0.0,0.0,248326.95,470.723572,0.993598,1.2e-05
adaptive_adversary,heavy_flood,pool64_r4_p60,64,4,60.0,0,BudgetDoS,20,45648.288,350.532672,0.56632,0.066637,0.43368,0.066637,0.0,0.0,0.0,0.0,0.0,0.0
adaptive_adversary,heavy_flood,pool64_r4_p60,64,4,60.0,0,P3-Persist,20,146163.024,374.442527,0.64109,0.021035,0.359478,0.020895,4984.45,3.410124,0.0,0.0,0.0,0.0
adaptive_adversary,heavy_flood,pool64_r4_p60,64,4,60.0,60,BudgetDoS,20,32200.56,31.959532,0.088617,0.002623,0.911383,0.002623,0.0,0.0,248326.95,470.723572,0.993598,1.2e-05
adaptive_adversary,heavy_flood,pool64_r4_p60,64,4,60.0,60,P3-Persist,20,32213.664,28.435419,0.935078,0.006919,0.070191,0.006431,0.1,0.307794,248326.95,470.723572,0.993605,1.3e-05
adaptive_adversary,heavy_flood,unique,0,1,0.0,0,BudgetDoS,20,45648.288,350.532672,0.56632,0.066637,0.43368,0.066637,0.0,0.0,0.0,0.0,0.0,0.0
adaptive_adversary,heavy_flood,unique,0,1,0.0,0,P3-Persist,20,45765.216,339.358074,0.955667,0.002115,0.049741,0.002291,0.0,0.0,0.0,0.0,0.0,0.0
adaptive_adversary,heavy_flood,unique,0,1,0.0,60,BudgetDoS,20,45644.256,351.860475,0.078791,0.002143,0.921209,0.002143,0.0,0.0,0.0,0.0,0.0,0.0
adaptive_adversary,heavy_flood,unique,0,1,0.0,60,P3-Persist,20,45758.16,342.306252,0.928646,0.005201,0.076663,0.005557,0.0,0.0,0.0,0.0,0.0,0.0
