attack_rpa_rate_per_min,background_rpa_rate_per_min,method,n,aes_attempts_total_mean,aes_attempts_total_sd,attack_aes_amplification_mean,attack_aes_amplification_sd,false_defer_legit_rate_mean,false_defer_legit_rate_sd,legit_resolution_rate_mean,legit_resolution_rate_sd
0.0,100.0,BudgetDoS,5,47663.8,474.073518,0.0,0.0,0.02051,0.019647,0.97949,0.019647
0.0,100.0,Freq-RL,5,51191.2,2443.324006,0.0,0.0,0.0,0.0,1.0,0.0
0.0,100.0,P3-NoPersist,5,46752.0,789.632826,0.0,0.0,0.011378,0.012802,0.998131,0.00418
0.0,100.0,P3-NoBudget,5,48432.0,1991.060019,0.0,0.0,0.009509,0.013815,1.0,0.0
0.0,100.0,P3-NoCache,5,47663.8,474.073518,0.0,0.0,0.042859,0.035491,0.97949,0.019647
0.0,100.0,P3-NoRL,5,46610.0,816.052082,0.0,0.0,0.011378,0.012802,0.998131,0.00418
0.0,100.0,P3-NoTrust,5,46752.0,789.632826,0.0,0.0,0.001869,0.00418,0.998131,0.00418
0.0,100.0,ZephyrCache,5,48194.0,2024.811349,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,100.0,BudgetDoS,5,48072.6,10.114346,10848.0,96.280839,0.291532,0.06826,0.708468,0.06826
1000.0,100.0,Freq-RL,5,532730.8,9686.375803,120426.0,2417.877168,0.0,0.0,1.0,0.0
1000.0,100.0,P3-NoPersist,5,48001.2,1.095445,10860.0,82.158384,0.284005,0.069272,0.715995,0.069272
1000.0,100.0,P3-NoBudget,5,530544.0,9857.326209,120426.0,2417.877168,0.008031,0.008582,1.0,0.0
1000.0,100.0,P3-NoCache,5,48072.6,10.114346,10848.0,96.280839,0.291532,0.06826,0.708468,0.06826
1000.0,100.0,P3-NoRL,5,48001.6,0.894427,10872.0,81.055537,0.212764,0.021881,0.787236,0.021881
1000.0,100.0,P3-NoTrust,5,48001.2,1.095445,10860.0,82.158384,0.284005,0.069272,0.715995,0.069272
1000.0,100.0,ZephyrCache,5,530353.6,9795.267878,120426.0,2417.877168,0.0,0.0,1.0,0.0
10000.0,1000.0,BudgetDoS,5,48069.6,15.241391,10728.0,251.535286,0.317505,0.123998,0.682495,0.123998
10000.0,1000.0,Freq-RL,5,5287920.6,28477.127108,1201416.0,6160.505661,0.0,0.0,1.0,0.0
10000.0,1000.0,P3-NoPersist,5,48001.6,0.894427,10728.0,251.535286,0.317505,0.123998,0.682495,0.123998
10000.0,1000.0,P3-NoBudget,5,5285640.0,28961.422617,1201416.0,6160.505661,0.007653,0.011873,1.0,0.0
10000.0,1000.0,P3-NoCache,5,48069.6,15.241391,10728.0,251.535286,0.317505,0.123998,0.682495,0.123998
10000.0,1000.0,P3-NoRL,5,48001.8,0.447214,10728.0,251.535286,0.250232,0.034577,0.749768,0.034577
10000.0,1000.0,P3-NoTrust,5,48001.6,0.894427,10728.0,251.535286,0.317505,0.123998,0.682495,0.123998
10000.0,1000.0,ZephyrCache,5,5285425.8,28967.634218,1201416.0,6160.505661,0.0,0.0,1.0,0.0
