rl_capacity,attack_rpa_rate_per_min,method,n,aes_attempts_total_mean,aes_attempts_total_sd,attack_aes_amplification_mean,attack_aes_amplification_sd,legit_resolution_rate_mean,legit_resolution_rate_sd,false_defer_legit_rate_mean,false_defer_legit_rate_sd
16,0.0,BudgetDoS,35,109552.771429,138257.791655,0.0,0.0,0.960137,0.058682,0.039863,0.058682
16,0.0,Freq-RL,35,161812.628571,237635.947876,0.0,0.0,1.0,0.0,0.0,0.0
16,0.0,FullScan-Host,35,166680.228571,235910.417336,0.0,0.0,1.0,0.0,0.0,0.0
16,0.0,LRU-RL,35,181668.857143,277526.502887,0.0,0.0,1.0,0.0,0.0,0.0
16,0.0,P3-NoPersist,35,108836.514286,137865.57771,0.0,0.0,0.987983,0.022303,0.016981,0.025717
16,0.0,StaticRL,35,159365.942857,234279.484295,0.0,0.0,1.0,0.0,0.0,0.0
16,0.0,TrustOnly,35,181668.857143,277526.502887,0.0,0.0,1.0,0.0,0.014928,0.018167
16,0.0,ZephyrCache,35,137049.257143,194752.032596,0.0,0.0,1.0,0.0,0.0,0.0
16,100.0,BudgetDoS,35,109868.485714,138058.926972,10632.114286,12013.404454,0.906259,0.099319,0.093741,0.099319
16,100.0,Freq-RL,35,278003.028571,387507.282874,27805.714286,35594.169758,1.0,0.0,0.0,0.0
16,100.0,FullScan-Host,35,289505.228571,386283.513605,29399.314286,35620.189893,1.0,0.0,0.0,0.0
16,100.0,LRU-RL,35,295525.085714,422434.590049,27805.714286,35594.169758,1.0,0.0,0.0,0.0
16,100.0,P3-NoPersist,35,109716.0,137895.912628,11672.685714,13806.98662,0.949575,0.050938,0.052857,0.053222
16,100.0,StaticRL,35,275641.914286,384458.419888,27805.714286,35594.169758,1.0,0.0,0.0,0.0
16,100.0,TrustOnly,35,295525.085714,422434.590049,27805.714286,35594.169758,1.0,0.0,0.011405,0.015824
16,100.0,ZephyrCache,35,251482.714286,341092.302689,27805.714286,35594.169758,1.0,0.0,0.0,0.0
16,1000.0,BudgetDoS,35,109863.371429,138043.690304,23790.171429,29267.287796,0.850023,0.159531,0.149977,0.159531
16,1000.0,Freq-RL,35,1270427.4,1636251.438273,276050.971429,348355.766088,1.0,0.0,0.0,0.0
16,1000.0,FullScan-Host,35,1340042.342857,1635187.638926,292098.4,348403.752319,1.0,0.0,0.0,0.0
16,1000.0,LRU-RL,35,1288547.085714,1671305.819885,276050.971429,348355.766088,1.0,0.0,0.0,0.0
16,1000.0,P3-NoPersist,35,109716.885714,137895.118958,24009.142857,29688.721639,0.87031,0.131384,0.130591,0.132558
16,1000.0,StaticRL,35,1268366.457143,1633288.432604,276050.971429,348355.766088,1.0,0.0,0.0,0.0
16,1000.0,TrustOnly,35,1288547.085714,1671305.819885,276050.971429,348355.766088,1.0,0.0,0.013242,0.018032
16,1000.0,ZephyrCache,35,1244074.257143,1589983.873228,276050.971429,348355.766088,1.0,0.0,0.0,0.0
16,10000.0,BudgetDoS,35,109864.6,138044.634056,27019.428571,33901.056879,0.827716,0.19728,0.172284,0.19728
16,10000.0,Freq-RL,35,11125192.428571,14014494.38064,2738947.771429,3441384.071733,1.0,0.0,0.0,0.0
16,10000.0,FullScan-Host,35,11768418.857143,14011211.684076,2898732.457143,3441375.654884,1.0,0.0,0.0,0.0
16,10000.0,LRU-RL,35,11143642.228571,14050189.722378,2738947.771429,3441384.071733,1.0,0.0,0.0,0.0
16,10000.0,P3-NoPersist,35,109717.057143,137895.592818,27019.428571,33901.056879,0.834012,0.188301,0.166087,0.18838
16,10000.0,StaticRL,35,11121810.4,14009439.492223,2738947.771429,3441384.071733,1.0,0.0,0.0,0.0
16,10000.0,TrustOnly,35,11143642.228571,14050189.722378,2738947.771429,3441384.071733,1.0,0.0,0.015185,0.019164
16,10000.0,ZephyrCache,35,11098108.885714,13968081.63969,2738947.771429,3441384.071733,1.0,0.0,0.0,0.0
32,0.0,BudgetDoS,35,104001.771429,137540.193357,0.0,0.0,0.97889,0.037292,0.02111,0.037292
32,0.0,Freq-RL,35,141753.485714,211782.373674,0.0,0.0,1.0,0.0,0.0,0.0
32,0.0,FullScan-Host,35,150082.342857,206753.50707,0.0,0.0,1.0,0.0,0.0,0.0
32,0.0,LRU-RL,35,151732.885714,233761.202782,0.0,0.0,1.0,0.0,0.0,0.0
32,0.0,P3-NoPersist,35,103351.485714,137073.69831,0.0,0.0,0.989448,0.020262,0.013871,0.023741
32,0.0,StaticRL,35,137099.028571,203776.800669,0.0,0.0,1.0,0.0,0.0,0.0
32,0.0,TrustOnly,35,151732.885714,233761.202782,0.0,0.0,1.0,0.0,0.007141,0.010841
32,0.0,ZephyrCache,35,126052.857143,183565.308855,0.0,0.0,1.0,0.0,0.0,0.0
32,100.0,BudgetDoS,35,104405.8,137353.164032,10593.142857,12867.620524,0.946923,0.073327,0.053077,0.073327
