num_bonded,method,n,aes_attempts_total_mean,aes_attempts_total_sd,aes_attempts_per_legit_resolved_mean,aes_attempts_per_legit_resolved_sd,estimated_energy_uJ_mean,estimated_energy_uJ_sd
1024,BudgetDoS,5,406824.2,22.631836,656.111792,25.487573,48818.904,2.71582
1024,Freq-RL,5,791893.4,37859.224956,973.963307,38.07755,95027.208,4543.106995
1024,FullScan-Host,5,791987.4,37881.343479,974.165329,40.958867,95038.488,4545.761218
1024,LRU-RL,5,939677.4,38801.217897,1155.716223,35.061204,112761.288,4656.146148
1024,P3-NoPersist,5,406403.6,1.516575,535.323198,19.668497,48768.432,0.181989
1024,StaticRL,5,785803.4,37585.397587,966.558845,40.63879,94296.408,4510.24771
1024,TrustOnly,5,939677.4,38801.217897,1155.716223,35.061204,112761.288,4656.146148
1024,ZephyrCache,5,586436.0,40458.404288,721.171629,45.070676,70372.32,4855.008515
128,BudgetDoS,5,47663.8,474.073518,464.150058,29.964043,5719.656,56.888822
128,Freq-RL,5,51191.2,2443.324006,487.944896,34.971573,6142.944,293.198881
128,FullScan-Host,5,53888.0,2490.82115,513.778168,38.512404,6466.56,298.898538
128,LRU-RL,5,52143.2,2576.908361,496.974348,35.368662,6257.184,309.229003
128,P3-NoPersist,5,46752.0,789.632826,446.663805,28.607563,5610.24,94.755939
128,StaticRL,5,50524.8,2335.016317,481.712717,36.105306,6062.976,280.201958
128,TrustOnly,5,52143.2,2576.908361,496.974348,35.368662,6257.184,309.229003
128,ZephyrCache,5,48194.0,2024.811349,459.54854,34.236398,5783.28,242.977362
16,BudgetDoS,5,3062.4,66.923837,281.719192,52.642087,367.488,8.03086
16,Freq-RL,5,3100.8,90.582559,285.552727,55.326259,372.096,10.869907
16,FullScan-Host,5,6190.4,182.029668,570.105455,110.652518,742.848,21.84356
16,LRU-RL,5,3100.8,90.582559,285.552727,55.326259,372.096,10.869907
16,P3-NoPersist,5,3052.0,68.099192,280.795152,52.689248,366.24,8.171903
16,StaticRL,5,3100.8,90.582559,285.552727,55.326259,372.096,10.869907
16,TrustOnly,5,3100.8,90.582559,285.552727,55.326259,372.096,10.869907
16,ZephyrCache,5,3090.4,92.121116,284.628687,55.37349,370.848,11.054534
256,BudgetDoS,5,99319.6,5.683309,553.23927,24.052086,11918.352,0.681997
256,Freq-RL,5,120201.4,4927.791321,626.880425,20.696243,14424.168,591.334958
256,FullScan-Host,5,122392.0,4569.546039,638.385646,21.209173,14687.04,548.345525
256,LRU-RL,5,126030.6,2972.456947,657.528201,19.469171,15123.672,356.694834
256,P3-NoPersist,5,98257.6,901.028745,516.674426,21.592151,11790.912,108.123449
256,StaticRL,5,118571.2,4426.818519,618.456685,20.546199,14228.544,531.218222
256,TrustOnly,5,126030.6,2972.456947,657.528201,19.469171,15123.672,356.694834
256,ZephyrCache,5,107285.8,4239.826966,559.677032,22.649332,12874.296,508.779236
32,BudgetDoS,5,9022.4,420.224702,409.887235,67.563566,1082.688,50.426964
32,Freq-RL,5,9156.8,495.49894,415.966869,68.571253,1098.816,59.459873
32,FullScan-Host,5,12201.6,661.447504,554.289159,91.428338,1464.192,79.3737
32,LRU-RL,5,9156.8,495.49894,415.966869,68.571253,1098.816,59.459873
32,P3-NoPersist,5,9001.4,422.820648,408.948187,67.553589,1080.168,50.738478
32,StaticRL,5,9156.8,495.49894,415.966869,68.571253,1098.816,59.459873
32,TrustOnly,5,9156.8,495.49894,415.966869,68.571253,1098.816,59.459873
32,ZephyrCache,5,9135.8,497.847065,415.027821,68.562343,1096.296,59.741648
512,BudgetDoS,5,201830.6,19.781304,565.330728,20.705146,24219.672,2.373757
512,Freq-RL,5,278038.6,10665.48711,686.145581,37.414681,33364.632,1279.858453
512,FullScan-Host,5,279586.6,10526.55313,689.89067,35.586024,33550.392,1263.186376
512,LRU-RL,5,309828.2,8124.26801,764.351958,28.850235,37179.384,974.912161
512,P3-NoPersist,5,198677.4,2881.955638,495.2316,14.07318,23841.288,345.834677
512,StaticRL,5,275221.8,10361.959236,679.120345,35.029682,33026.616,1243.435108
512,TrustOnly,5,309828.2,8124.26801,764.351958,28.850235,37179.384,974.912161
512,ZephyrCache,5,216418.0,9613.08088,533.819109,25.842517,25970.16,1153.569706
64,BudgetDoS,5,21714.2,488.410893,439.600515,44.862358,2605.704,58.609307
64,Freq-RL,5,22554.2,586.001877,449.638739,46.11045,2706.504,70.320225
64,FullScan-Host,5,25631.6,677.33581,510.995413,52.536394,3075.792,81.280297
64,LRU-RL,5,22554.2,637.840654,449.651514,46.611267,2706.504,76.540878
64,P3-NoPersist,5,21538.0,571.835641,431.4784,48.799522,2584.56,68.620277
64,StaticRL,5,22433.2,593.16625,447.230636,45.969785,2691.984,71.17995
64,TrustOnly,5,22554.2,637.840654,449.651514,46.611267,2706.504,76.540878
64,ZephyrCache,5,22144.6,600.048998,441.604623,47.239304,2657.352,72.00588
