num_bonded,rl_capacity,attack_rpa_rate_per_min,method,n,aes_attempts_total_mean,aes_attempts_total_sd,sram_bytes_mean,sram_bytes_sd
128,16,0.0,BudgetDoS,5,43880.2,814.154592,1152.0,0.0
128,16,0.0,Freq-RL,5,45851.8,2361.005654,1088.0,0.0
128,16,0.0,FullScan-Host,5,52033.8,2372.408312,0.0,0.0
128,16,0.0,LRU-RL,5,46051.6,2359.867645,1088.0,0.0
128,16,0.0,P3-NoPersist,5,43546.6,752.503688,2192.0,0.0
128,16,0.0,StaticRL,5,45541.0,2075.567874,0.0,0.0
128,16,0.0,TrustOnly,5,46051.6,2359.867645,1104.0,0.0
128,16,0.0,ZephyrCache,5,44537.2,1861.33667,1024.0,0.0
128,16,100.0,BudgetDoS,5,44885.0,7.516648,1152.0,0.0
128,16,100.0,Freq-RL,5,90223.4,1299.696234,1088.0,0.0
128,16,100.0,FullScan-Host,5,102820.8,1381.785693,0.0,0.0
128,16,100.0,LRU-RL,5,90356.6,1260.986638,1088.0,0.0
128,16,100.0,P3-NoPersist,5,44801.8,0.83666,2192.0,0.0
128,16,100.0,StaticRL,5,89979.2,1209.239306,0.0,0.0
128,16,100.0,TrustOnly,5,90356.6,1260.986638,1104.0,0.0
128,16,100.0,ZephyrCache,5,89291.6,1292.853549,1024.0,0.0
128,16,1000.0,BudgetDoS,5,44891.6,8.677557,1152.0,0.0
128,16,1000.0,Freq-RL,5,495555.4,8955.423262,1088.0,0.0
128,16,1000.0,FullScan-Host,5,565828.2,10133.509175,0.0,0.0
128,16,1000.0,LRU-RL,5,495577.6,8892.278831,1088.0,0.0
128,16,1000.0,P3-NoPersist,5,44805.6,3.209361,2192.0,0.0
128,16,1000.0,StaticRL,5,495111.4,8866.808772,0.0,0.0
128,16,1000.0,TrustOnly,5,495577.6,8892.278831,1104.0,0.0
128,16,1000.0,ZephyrCache,5,494464.0,9085.229001,1024.0,0.0
128,16,10000.0,BudgetDoS,5,44902.8,9.230385,1152.0,0.0
128,16,10000.0,Freq-RL,5,4514373.0,17573.164029,1088.0,0.0
128,16,10000.0,FullScan-Host,5,5158964.2,20274.647228,0.0,0.0
128,16,10000.0,LRU-RL,5,4514262.0,17562.523907,1088.0,0.0
128,16,10000.0,P3-NoPersist,5,44805.4,1.140175,2192.0,0.0
128,16,10000.0,StaticRL,5,4514106.6,17739.503088,0.0,0.0
128,16,10000.0,TrustOnly,5,4514262.0,17562.523907,1104.0,0.0
128,16,10000.0,ZephyrCache,5,4513426.4,17717.646607,1024.0,0.0
128,32,0.0,BudgetDoS,5,36834.8,868.708639,1216.0,0.0
128,32,0.0,Freq-RL,5,37737.2,1615.994647,1152.0,0.0
128,32,0.0,FullScan-Host,5,50281.2,2154.789711,0.0,0.0
128,32,0.0,LRU-RL,5,37737.2,1615.994647,1152.0,0.0
128,32,0.0,P3-NoPersist,5,36741.2,870.096374,2256.0,0.0
128,32,0.0,StaticRL,5,37737.2,1615.994647,0.0,0.0
128,32,0.0,TrustOnly,5,37737.2,1615.994647,1168.0,0.0
128,32,0.0,ZephyrCache,5,37643.6,1615.526323,1024.0,0.0
128,32,100.0,BudgetDoS,5,38498.4,4.393177,1216.0,0.0
128,32,100.0,Freq-RL,5,76149.6,1019.114959,1152.0,0.0
128,32,100.0,FullScan-Host,5,101500.0,1358.071611,0.0,0.0
128,32,100.0,LRU-RL,5,76149.6,1019.114959,1152.0,0.0
128,32,100.0,P3-NoPersist,5,38410.2,3.271085,2256.0,0.0
128,32,100.0,StaticRL,5,76149.6,1019.114959,0.0,0.0
128,32,100.0,TrustOnly,5,76149.6,1019.114959,1168.0,0.0
128,32,100.0,ZephyrCache,5,76061.4,1017.842964,1024.0,0.0
128,32,1000.0,BudgetDoS,5,38505.8,9.257429,1216.0,0.0
128,32,1000.0,Freq-RL,5,423254.6,7775.009151,1152.0,0.0
128,32,1000.0,FullScan-Host,5,564304.2,10367.343618,0.0,0.0
128,32,1000.0,LRU-RL,5,423254.6,7775.009151,1152.0,0.0
128,32,1000.0,P3-NoPersist,5,38413.4,2.302173,2256.0,0.0
128,32,1000.0,StaticRL,5,423254.6,7775.009151,0.0,0.0
128,32,1000.0,TrustOnly,5,423254.6,7775.009151,1168.0,0.0
128,32,1000.0,ZephyrCache,5,423162.2,7778.116719,1024.0,0.0
128,32,10000.0,BudgetDoS,5,38512.4,10.139033,1216.0,0.0
128,32,10000.0,Freq-RL,5,3868394.0,15223.226268,1152.0,0.0
128,32,10000.0,FullScan-Host,5,5157821.2,20299.872246,0.0,0.0
128,32,10000.0,LRU-RL,5,3868394.0,15223.226268,1152.0,0.0
128,32,10000.0,P3-NoPersist,5,38409.4,1.341641,2256.0,0.0
128,32,10000.0,StaticRL,5,3868394.0,15223.226268,0.0,0.0
128,32,10000.0,TrustOnly,5,3868394.0,15223.226268,1168.0,0.0
128,32,10000.0,ZephyrCache,5,3868291.0,15229.245713,1024.0,0.0
128,8,0.0,BudgetDoS,5,47663.8,474.073518,1120.0,0.0
128,8,0.0,Freq-RL,5,51191.2,2443.324006,1056.0,0.0
128,8,0.0,FullScan-Host,5,53888.0,2490.82115,0.0,0.0
128,8,0.0,LRU-RL,5,52143.2,2576.908361,1056.0,0.0
128,8,0.0,P3-NoPersist,5,46752.0,789.632826,2160.0,0.0
128,8,0.0,StaticRL,5,50524.8,2335.016317,0.0,0.0
128,8,0.0,TrustOnly,5,52143.2,2576.908361,1072.0,0.0
