sample_run_id,num_bonded,rl_capacity,attack_rpa_rate_per_min,seed,method,legit_rpa_total,rl_hit_legit,cache_hit_legit,host_scan_legit,budget_skip_legit,defer_legit,deferred_legit,false_defer_legit,rl_hit_legit_rate,cache_hit_legit_rate,host_scan_legit_rate,budget_skip_legit_rate,defer_legit_rate,deferred_legit_rate,false_defer_legit_rate
m3p0_nb128_rl8_atk0_s20260530,128,8,0.0,20260530,BudgetDoS,100,70,0,26,4,0,0,4,0.7,0.0,0.26,0.04,0.0,0.0,0.04
m3p0_nb128_rl8_atk0_s20260530,128,8,0.0,20260530,Freq-RL,100,68,0,32,0,0,0,0,0.68,0.0,0.32,0.0,0.0,0.0,0.0
m3p0_nb128_rl8_atk0_s20260530,128,8,0.0,20260530,FullScan-Host,100,74,0,26,0,0,0,0,0.74,0.0,0.26,0.0,0.0,0.0,0.0
m3p0_nb128_rl8_atk0_s20260530,128,8,0.0,20260530,LRU-RL,100,61,0,39,0,0,0,0,0.61,0.0,0.39,0.0,0.0,0.0,0.0
m3p0_nb128_rl8_atk0_s20260530,128,8,0.0,20260530,P3-NoPersist,100,0,95,5,0,0,0,0,0.0,0.95,0.05,0.0,0.0,0.0,0.0
m3p0_nb128_rl8_atk0_s20260530,128,8,0.0,20260530,StaticRL,100,74,0,26,0,0,0,0,0.74,0.0,0.26,0.0,0.0,0.0,0.0
m3p0_nb128_rl8_atk0_s20260530,128,8,0.0,20260530,TrustOnly,100,61,0,39,0,0,2,2,0.61,0.0,0.39,0.0,0.0,0.02,0.02
m3p0_nb128_rl8_atk0_s20260530,128,8,0.0,20260530,ZephyrCache,100,1,95,4,0,0,0,0,0.01,0.95,0.04,0.0,0.0,0.0,0.0
m3p0_nb128_rl8_atk1000_s20260530,128,8,1000.0,20260530,BudgetDoS,97,72,0,1,24,0,0,24,0.742268,0.0,0.010309,0.247423,0.0,0.0,0.247423
m3p0_nb128_rl8_atk1000_s20260530,128,8,1000.0,20260530,Freq-RL,97,70,0,27,0,0,0,0,0.721649,0.0,0.278351,0.0,0.0,0.0,0.0
m3p0_nb128_rl8_atk1000_s20260530,128,8,1000.0,20260530,FullScan-Host,97,72,0,25,0,0,0,0,0.742268,0.0,0.257732,0.0,0.0,0.0,0.0
m3p0_nb128_rl8_atk1000_s20260530,128,8,1000.0,20260530,LRU-RL,97,58,0,39,0,0,0,0,0.597938,0.0,0.402062,0.0,0.0,0.0,0.0
m3p0_nb128_rl8_atk1000_s20260530,128,8,1000.0,20260530,P3-NoPersist,97,3,69,1,2,22,22,24,0.030928,0.71134,0.010309,0.020619,0.226804,0.226804,0.247423
m3p0_nb128_rl8_atk1000_s20260530,128,8,1000.0,20260530,StaticRL,97,72,0,25,0,0,0,0,0.742268,0.0,0.257732,0.0,0.0,0.0,0.0
m3p0_nb128_rl8_atk1000_s20260530,128,8,1000.0,20260530,TrustOnly,97,58,0,39,0,0,3,3,0.597938,0.0,0.402062,0.0,0.0,0.030928,0.030928
m3p0_nb128_rl8_atk1000_s20260530,128,8,1000.0,20260530,ZephyrCache,97,3,80,14,0,0,0,0,0.030928,0.824742,0.14433,0.0,0.0,0.0,0.0
m3p0_nb1024_rl8_atk10000_s20260603,1024,8,10000.0,20260603,BudgetDoS,847,325,0,6,516,0,0,516,0.383707,0.0,0.007084,0.609209,0.0,0.0,0.609209
m3p0_nb1024_rl8_atk10000_s20260603,1024,8,10000.0,20260603,Freq-RL,847,457,0,390,0,0,0,0,0.539551,0.0,0.460449,0.0,0.0,0.0,0.0
m3p0_nb1024_rl8_atk10000_s20260603,1024,8,10000.0,20260603,FullScan-Host,847,457,0,390,0,0,0,0,0.539551,0.0,0.460449,0.0,0.0,0.0,0.0
m3p0_nb1024_rl8_atk10000_s20260603,1024,8,10000.0,20260603,LRU-RL,847,299,0,548,0,0,0,0,0.353011,0.0,0.646989,0.0,0.0,0.0,0.0
m3p0_nb1024_rl8_atk10000_s20260603,1024,8,10000.0,20260603,P3-NoPersist,847,0,470,6,22,349,350,372,0.0,0.5549,0.007084,0.025974,0.412043,0.413223,0.439197
m3p0_nb1024_rl8_atk10000_s20260603,1024,8,10000.0,20260603,StaticRL,847,457,0,390,0,0,0,0,0.539551,0.0,0.460449,0.0,0.0,0.0,0.0
m3p0_nb1024_rl8_atk10000_s20260603,1024,8,10000.0,20260603,TrustOnly,847,299,0,548,0,0,32,32,0.353011,0.0,0.646989,0.0,0.0,0.03778,0.03778
m3p0_nb1024_rl8_atk10000_s20260603,1024,8,10000.0,20260603,ZephyrCache,847,0,642,205,0,0,0,0,0.0,0.757969,0.242031,0.0,0.0,0.0,0.0
