background_rpa_rate_per_min,active_skew,rpa_rotation_interval_min,rssi_noise_db,method,n,aes_attempts_total_mean,aes_attempts_total_sd,legit_resolution_rate_mean,legit_resolution_rate_sd,false_defer_legit_rate_mean,false_defer_legit_rate_sd
0,1.1,15,6.0,BudgetDoS,5,48076.6,9.838699,0.731024,0.057669,0.268976,0.057669
0,1.1,15,6.0,Freq-RL,5,484325.2,5068.728115,1.0,0.0,0.0,0.0
0,1.1,15,6.0,FullScan-Host,5,515973.4,5464.879349,1.0,0.0,0.0,0.0
0,1.1,15,6.0,LRU-RL,5,484920.2,5105.617563,1.0,0.0,0.0,0.0
0,1.1,15,6.0,P3-NoPersist,5,48000.6,0.894427,0.753917,0.064413,0.247869,0.065893
0,1.1,15,6.0,StaticRL,5,483730.2,5123.138169,1.0,0.0,0.0,0.0
0,1.1,15,6.0,TrustOnly,5,484920.2,5105.617563,1.0,0.0,0.024621,0.034927
0,1.1,15,6.0,ZephyrCache,5,481681.2,5254.461028,1.0,0.0,0.0,0.0
10,1.1,15,6.0,BudgetDoS,5,48068.0,5.830952,0.701641,0.038954,0.298359,0.038954
10,1.1,15,6.0,Freq-RL,5,483139.8,5998.946799,1.0,0.0,0.0,0.0
10,1.1,15,6.0,FullScan-Host,5,514633.4,6606.069997,1.0,0.0,0.0,0.0
10,1.1,15,6.0,LRU-RL,5,483925.2,5979.082053,1.0,0.0,0.0,0.0
10,1.1,15,6.0,P3-NoPersist,5,48000.8,0.83666,0.716666,0.041821,0.283334,0.041821
10,1.1,15,6.0,StaticRL,5,482473.4,6193.158548,1.0,0.0,0.0,0.0
10,1.1,15,6.0,TrustOnly,5,483925.2,5979.082053,1.0,0.0,0.023042,0.025047
10,1.1,15,6.0,ZephyrCache,5,480481.4,6218.535262,1.0,0.0,0.0,0.0
100,1.1,15,6.0,BudgetDoS,5,48072.6,10.114346,0.708468,0.06826,0.291532,0.06826
100,1.1,15,6.0,Freq-RL,5,532730.8,9686.375803,1.0,0.0,0.0,0.0
100,1.1,15,6.0,FullScan-Host,5,567530.0,10403.371977,1.0,0.0,0.0,0.0
100,1.1,15,6.0,LRU-RL,5,533944.6,9893.408907,1.0,0.0,0.0,0.0
100,1.1,15,6.0,P3-NoPersist,5,48001.2,1.095445,0.715995,0.069272,0.284005,0.069272
100,1.1,15,6.0,StaticRL,5,532064.4,9753.020932,1.0,0.0,0.0,0.0
100,1.1,15,6.0,TrustOnly,5,533944.6,9893.408907,1.0,0.0,0.021769,0.014543
100,1.1,15,6.0,ZephyrCache,5,530353.6,9795.267878,1.0,0.0,0.0,0.0
100.0,0.0,15,6.0,BudgetDoS,5,48031.8,5.215362,0.3467,0.026389,0.6533,0.026389
100.0,0.0,15,6.0,Freq-RL,5,537847.8,9307.198112,1.0,0.0,0.0,0.0
100.0,0.0,15,6.0,FullScan-Host,5,573981.6,10616.607123,1.0,0.0,0.0,0.0
100.0,0.0,15,6.0,LRU-RL,5,537728.8,10147.60182,1.0,0.0,0.0,0.0
100.0,0.0,15,6.0,P3-NoPersist,5,48000.4,0.547723,0.420199,0.073087,0.583708,0.073132
100.0,0.0,15,6.0,StaticRL,5,538109.6,9952.848175,1.0,0.0,0.0,0.0
100.0,0.0,15,6.0,TrustOnly,5,537728.8,10147.60182,1.0,0.0,0.04492,0.03144
