m4_scenario,budget_per_window,n,duration_s,attack_rpa_rate_per_min,static_attack_aes_mean,p3_attack_aes_mean,relative_reduction,p3_legit_resolution_rate_mean,p3_false_defer_legit_rate_mean,p3_aes_attempts_total_mean
medium_flood,100,3,1800,1000.0,502353.6,44593.92,0.91123,0.755407,0.245889,1260003.0
medium_flood,250,3,1800,1000.0,502353.6,113023.68,0.775012,0.870683,0.13258,3150002.0
medium_flood,500,3,1800,1000.0,502353.6,226786.56,0.548552,0.936495,0.068312,6300006.666667
medium_flood,1000,3,1800,1000.0,502353.6,453747.84,0.096756,0.989581,0.017058,12600012.333333
medium_flood,2500,3,1800,1000.0,502353.6,502353.6,0.0,1.0,0.007158,13945858.333333
medium_flood,5000,3,1800,1000.0,502353.6,502353.6,0.0,1.0,0.007158,13945858.333333
heavy_flood,100,3,1800,10000.0,5035658.88,45198.72,0.991024,0.560198,0.44032,1260008.0
heavy_flood,250,3,1800,10000.0,5035658.88,113608.32,0.977439,0.63924,0.361666,3150007.0
heavy_flood,500,3,1800,10000.0,5035658.88,227855.04,0.954752,0.708936,0.292876,6300006.333333
heavy_flood,1000,3,1800,10000.0,5035658.88,457074.24,0.909232,0.770809,0.23165,12600005.333333
heavy_flood,2500,3,1800,10000.0,5035658.88,1143145.92,0.77299,0.875163,0.127684,31500002.0
heavy_flood,5000,3,1800,10000.0,5035658.88,2286466.56,0.545945,0.940314,0.064216,63000008.333333
