m4_scenario,method,n,duration_s,attack_rpa_rate_per_min,aes_attempts_total_mean,attack_aes_amplification_mean,legit_resolution_rate_mean,false_defer_legit_rate_mean,p95_resolution_delay_ms_mean
heavy_flood,BudgetDoS,3,1800,10000.0,1261336.333333,45192.0,0.523259,0.476741,0.0
heavy_flood,P3-NoPersist,3,1800,10000.0,1260008.0,45198.72,0.560198,0.44032,0.0
heavy_flood,P3-NoBudget,3,1800,10000.0,138585902.666667,5035658.88,1.0,0.008805,0.0
heavy_flood,P3-NoCache,3,1800,10000.0,1261336.333333,45192.0,0.523259,0.477387,0.0
heavy_flood,StaticRL,3,1800,10000.0,138972819.0,5035658.88,1.0,0.0,0.0
heavy_flood,ZephyrCache,3,1800,10000.0,138589088.333333,5035658.88,1.0,0.0,0.0
medium_flood,BudgetDoS,3,1800,1000.0,1261388.666667,43874.88,0.580879,0.419121,0.0
medium_flood,P3-NoPersist,3,1800,1000.0,1260003.0,44593.92,0.755407,0.245889,0.0
medium_flood,P3-NoBudget,3,1800,1000.0,13945858.333333,502353.6,1.0,0.007158,0.0
medium_flood,P3-NoCache,3,1800,1000.0,1261388.666667,43874.88,0.580879,0.42107,0.0
medium_flood,StaticRL,3,1800,1000.0,14353892.333333,502353.6,1.0,0.0,0.0
medium_flood,ZephyrCache,3,1800,1000.0,13946864.333333,502353.6,1.0,0.0,0.0
normal_capacity,BudgetDoS,3,1800,0.0,1261493.666667,0.0,0.88142,0.11858,0.0
normal_capacity,P3-NoPersist,3,1800,0.0,1252958.333333,0.0,0.985528,0.023411,0.0
normal_capacity,P3-NoBudget,3,1800,0.0,1411216.333333,0.0,1.0,0.009598,0.0
normal_capacity,P3-NoCache,3,1800,0.0,1261493.666667,0.0,0.88142,0.138833,0.0
normal_capacity,StaticRL,3,1800,0.0,1782809.666667,0.0,1.0,0.0,0.0
normal_capacity,ZephyrCache,3,1800,0.0,1415240.333333,0.0,1.0,0.0,0.0
