m6_review_scenario,rl_capacity,attack_rpa_rate_per_min,unique_attack_rpa,method,n,aes_attempts_total_mean,aes_attempts_total_sd,attack_aes_amplification_mean,attack_aes_amplification_sd,legit_resolution_rate_mean,legit_resolution_rate_sd,false_defer_legit_rate_mean,false_defer_legit_rate_sd,sram_bytes_mean,sram_bytes_sd
baseline_heavy_flood,8,10000.0,True,AdaptiveRateLimit,5,1261536.8,6.534524,45428.544,359.1084,0.598988,0.007406,0.401012,0.007406,64.0,0.0
baseline_heavy_flood,8,10000.0,True,BudgetDoS,5,1261415.2,266.793366,45412.416,385.31451,0.55202,0.102336,0.44798,0.102336,4192.0,0.0
baseline_heavy_flood,8,10000.0,True,Freq-RL,5,139102402.2,276680.182204,5038665.408,8227.841601,1.0,0.0,0.0,0.0,4128.0,0.0
baseline_heavy_flood,8,10000.0,True,LRU-RL,5,139315473.0,278907.331389,5038665.408,8227.841601,1.0,0.0,0.0,0.0,4128.0,0.0
baseline_heavy_flood,8,10000.0,True,Oracle-Offline,5,2581.6,25.135632,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
baseline_heavy_flood,8,10000.0,True,P3-NoPersist,5,1260007.8,0.447214,45412.416,360.520328,0.573416,0.041353,0.426894,0.041533,5232.0,0.0
baseline_heavy_flood,8,10000.0,True,Random-RL,5,139380460.6,272881.729171,5038665.408,8227.841601,1.0,0.0,0.0,0.0,4128.0,0.0
baseline_heavy_flood,8,10000.0,True,StaticRL,5,139097472.8,275302.113008,5038665.408,8227.841601,1.0,0.0,0.0,0.0,0.0,0.0
baseline_medium_flood,8,1000.0,True,AdaptiveRateLimit,5,1261509.8,62.906279,43977.024,198.859777,0.623618,0.020597,0.376382,0.020597,64.0,0.0
baseline_medium_flood,8,1000.0,True,BudgetDoS,5,1261426.0,81.31728,43843.968,307.2003,0.594316,0.03423,0.405684,0.03423,4192.0,0.0
baseline_medium_flood,8,1000.0,True,Freq-RL,5,14397856.2,77787.667215,504181.44,2801.478458,1.0,0.0,0.0,0.0,4128.0,0.0
baseline_medium_flood,8,1000.0,True,LRU-RL,5,14604186.8,78677.984597,504181.44,2801.478458,1.0,0.0,0.0,0.0,4128.0,0.0
baseline_medium_flood,8,1000.0,True,Oracle-Offline,5,2577.4,71.671473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
baseline_medium_flood,8,1000.0,True,P3-NoPersist,5,1260003.4,1.140175,44537.472,207.265979,0.766193,0.023042,0.235508,0.022677,5232.0,0.0
baseline_medium_flood,8,1000.0,True,Random-RL,5,14685371.0,86767.691899,504181.44,2801.478458,1.0,0.0,0.0,0.0,4128.0,0.0
baseline_medium_flood,8,1000.0,True,StaticRL,5,14392625.0,77027.898751,504181.44,2801.478458,1.0,0.0,0.0,0.0,0.0,0.0
capacity_direct_expansion,16,1000.0,True,P3-NoPersist,5,1240011.6,1.140175,44005.12,163.002233,0.801983,0.026205,0.199643,0.026083,5264.0,0.0
capacity_direct_expansion,16,1000.0,True,StaticRL,5,14014407.6,70248.075983,496178.56,2757.010546,1.0,0.0,0.0,0.0,0.0,0.0
capacity_direct_expansion,32,1000.0,True,P3-NoPersist,5,1200026.2,2.774887,42862.08,192.287784,0.855968,0.012294,0.145275,0.01226,5328.0,0.0
capacity_direct_expansion,32,1000.0,True,StaticRL,5,13412365.6,71025.938732,480172.8,2668.074722,1.0,0.0,0.0,0.0,0.0,0.0
capacity_direct_expansion,512,1000.0,True,P3-NoPersist,5,284.4,24.058263,0.0,0.0,1.0,0.0,0.0,0.0,7248.0,0.0
capacity_direct_expansion,512,1000.0,True,StaticRL,5,2577.4,71.671473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
capacity_direct_expansion,64,1000.0,True,P3-NoPersist,5,1120074.0,6.123724,40384.512,164.532536,0.927999,0.004888,0.07247,0.005104,5456.0,0.0
capacity_direct_expansion,64,1000.0,True,StaticRL,5,12394173.0,70998.532721,448161.28,2490.203073,1.0,0.0,0.0,0.0,0.0,0.0
capacity_direct_expansion,8,1000.0,True,P3-NoPersist,5,1260003.4,1.140175,44537.472,207.265979,0.766193,0.023042,0.235508,0.022677,5232.0,0.0
capacity_direct_expansion,8,1000.0,True,StaticRL,5,14392625.0,77027.898751,504181.44,2801.478458,1.0,0.0,0.0,0.0,0.0,0.0
duplicate_filter_boundary,8,1000.0,False,P3-NoPersist,5,1260003.4,1.140175,44537.472,207.265979,0.766193,0.023042,0.235508,0.022677,5232.0,0.0
duplicate_filter_boundary,8,1000.0,False,StaticRL,5,14392625.0,77027.898751,504181.44,2801.478458,1.0,0.0,0.0,0.0,0.0,0.0
duplicate_filter_boundary,8,1000.0,True,P3-NoPersist,5,1260003.4,1.140175,44537.472,207.265979,0.766193,0.023042,0.235508,0.022677,5232.0,0.0
duplicate_filter_boundary,8,1000.0,True,StaticRL,5,14392625.0,77027.898751,504181.44,2801.478458,1.0,0.0,0.0,0.0,0.0,0.0
long5_heavy_flood,8,10000.0,True,BudgetDoS,5,1261415.2,266.793366,45412.416,385.31451,0.55202,0.102336,0.44798,0.102336,4192.0,0.0
long5_heavy_flood,8,10000.0,True,P3-NoPersist,5,1260007.8,0.447214,45412.416,360.520328,0.573416,0.041353,0.426894,0.041533,5232.0,0.0
long5_heavy_flood,8,10000.0,True,P3-NoBudget,5,138711297.6,267036.604911,5038665.408,8227.841601,1.0,0.0,0.007441,0.002789,5168.0,0.0
long5_heavy_flood,8,10000.0,True,P3-NoCache,5,1261415.2,266.793366,45412.416,385.31451,0.55202,0.102336,0.448368,0.102549,4208.0,0.0
long5_heavy_flood,8,10000.0,True,StaticRL,5,139097472.8,275302.113008,5038665.408,8227.841601,1.0,0.0,0.0,0.0,0.0,0.0
long5_heavy_flood,8,10000.0,True,ZephyrCache,5,138714416.2,266999.484607,5038665.408,8227.841601,1.0,0.0,0.0,0.0,1024.0,0.0
long5_medium_flood,8,1000.0,True,BudgetDoS,5,1261426.0,81.31728,43843.968,307.2003,0.594316,0.03423,0.405684,0.03423,4192.0,0.0
long5_medium_flood,8,1000.0,True,P3-NoPersist,5,1260003.4,1.140175,44537.472,207.265979,0.766193,0.023042,0.235508,0.022677,5232.0,0.0
long5_medium_flood,8,1000.0,True,P3-NoBudget,5,13990648.2,84193.731419,504181.44,2801.478458,1.0,0.0,0.00714,0.001178,5168.0,0.0
long5_medium_flood,8,1000.0,True,P3-NoCache,5,1261426.0,81.31728,43843.968,307.2003,0.594316,0.03423,0.407855,0.034241,4208.0,0.0
long5_medium_flood,8,1000.0,True,StaticRL,5,14392625.0,77027.898751,504181.44,2801.478458,1.0,0.0,0.0,0.0,0.0,0.0
long5_medium_flood,8,1000.0,True,ZephyrCache,5,13992257.8,84543.952286,504181.44,2801.478458,1.0,0.0,0.0,0.0,1024.0,0.0
long5_normal_capacity,8,0.0,True,BudgetDoS,5,1261296.6,465.764211,0.0,0.0,0.879096,0.004127,0.120904,0.004127,4192.0,0.0
long5_normal_capacity,8,0.0,True,P3-NoPersist,5,1249833.2,7837.420858,0.0,0.0,0.985285,0.002714,0.022856,0.00443,5232.0,0.0
long5_normal_capacity,8,0.0,True,P3-NoBudget,5,1409098.4,15925.57215,0.0,0.0,1.0,0.0,0.008841,0.002307,5168.0,0.0
long5_normal_capacity,8,0.0,True,P3-NoCache,5,1261296.6,465.764211,0.0,0.0,0.879096,0.004127,0.140808,0.003874,4208.0,0.0
long5_normal_capacity,8,0.0,True,StaticRL,5,1793337.0,19772.38128,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
long5_normal_capacity,8,0.0,True,ZephyrCache,5,1412418.2,15214.19992,0.0,0.0,1.0,0.0,0.0,0.0,1024.0,0.0
