m8_experiment,m8_scenario,attack_rpa_rate_per_min,unique_attack_rpa,duplicate_filter_window_s,persist_reserve,persist_k,method,n,aes_attempts_total_mean,aes_attempts_total_sd,attack_aes_amplification_mean,attack_aes_amplification_sd,legit_resolution_rate_mean,legit_resolution_rate_sd,false_defer_legit_rate_mean,false_defer_legit_rate_sd,sram_bytes_mean,sram_bytes_sd
attacker_dilemma,heavy_flood,10000.0,False,0,200,1,BudgetDoS,5,1261415.2,266.793366,45412.416,385.31451,0.55202,0.102336,0.44798,0.102336,4192.0,0.0
attacker_dilemma,heavy_flood,10000.0,False,0,200,1,P3-Persist,5,3780007.2,0.447214,145918.08,386.998493,0.651913,0.019408,0.349019,0.019261,6832.0,0.0
attacker_dilemma,heavy_flood,10000.0,False,60,200,1,BudgetDoS,5,1260184.0,14.370108,504.0,0.0,0.112881,0.000921,0.887119,0.000921,4192.0,0.0
attacker_dilemma,heavy_flood,10000.0,False,60,200,1,P3-Persist,5,1341858.8,3963.036677,504.0,0.0,0.943043,0.007792,0.063238,0.0072,6832.0,0.0
attacker_dilemma,heavy_flood,10000.0,True,0,200,1,BudgetDoS,5,1261415.2,266.793366,45412.416,385.31451,0.55202,0.102336,0.44798,0.102336,4192.0,0.0
attacker_dilemma,heavy_flood,10000.0,True,0,200,1,P3-Persist,5,1364841.0,8736.851464,45549.504,344.671152,0.955297,0.002168,0.050437,0.001425,6832.0,0.0
main,heavy_flood,10000.0,True,0,200,1,AdaptiveRateLimit,5,1261536.8,6.534524,45428.544,359.1084,0.598988,0.007406,0.401012,0.007406,64.0,0.0
main,heavy_flood,10000.0,True,0,200,1,BudgetDoS,5,1261415.2,266.793366,45412.416,385.31451,0.55202,0.102336,0.44798,0.102336,4192.0,0.0
main,heavy_flood,10000.0,True,0,200,1,Oracle-Offline,5,2581.6,25.135632,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
main,heavy_flood,10000.0,True,0,200,1,P3-NoPersist,5,1260007.8,0.447214,45412.416,360.520328,0.573416,0.041353,0.426894,0.041533,5232.0,0.0
main,heavy_flood,10000.0,True,0,200,1,P3-Persist,5,1364841.0,8736.851464,45549.504,344.671152,0.955297,0.002168,0.050437,0.001425,6832.0,0.0
main,heavy_flood,10000.0,True,0,200,1,Random-RL,5,139380460.6,272881.729171,5038665.408,8227.841601,1.0,0.0,0.0,0.0,4128.0,0.0
main,medium_flood,1000.0,True,0,200,1,AdaptiveRateLimit,5,1261509.8,62.906279,43977.024,198.859777,0.623618,0.020597,0.376382,0.020597,64.0,0.0
main,medium_flood,1000.0,True,0,200,1,BudgetDoS,5,1261426.0,81.31728,43843.968,307.2003,0.594316,0.03423,0.405684,0.03423,4192.0,0.0
main,medium_flood,1000.0,True,0,200,1,Oracle-Offline,5,2577.4,71.671473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
main,medium_flood,1000.0,True,0,200,1,P3-NoPersist,5,1260003.4,1.140175,44537.472,207.265979,0.766193,0.023042,0.235508,0.022677,5232.0,0.0
main,medium_flood,1000.0,True,0,200,1,P3-Persist,5,1342363.0,9297.633301,45110.016,174.357778,0.958778,0.003171,0.046359,0.003955,6832.0,0.0
main,medium_flood,1000.0,True,0,200,1,Random-RL,5,14685371.0,86767.691899,504181.44,2801.478458,1.0,0.0,0.0,0.0,4128.0,0.0
reserve_sensitivity,heavy_flood,10000.0,True,0,100,1,P3-Persist,5,1364841.0,8736.851464,45549.504,344.671152,0.955297,0.002168,0.050437,0.001425,6032.0,0.0
reserve_sensitivity,heavy_flood,10000.0,True,0,200,1,P3-Persist,5,1364841.0,8736.851464,45549.504,344.671152,0.955297,0.002168,0.050437,0.001425,6832.0,0.0
reserve_sensitivity,heavy_flood,10000.0,True,0,400,1,P3-Persist,5,1364841.0,8736.851464,45549.504,344.671152,0.955297,0.002168,0.050437,0.001425,8432.0,0.0
reserve_sensitivity,heavy_flood,10000.0,True,0,50,1,P3-Persist,5,1364841.0,8736.851464,45549.504,344.671152,0.955297,0.002168,0.050437,0.001425,5632.0,0.0
threshold_sensitivity,heavy_flood,10000.0,True,0,200,1,P3-Persist,5,1364841.0,8736.851464,45549.504,344.671152,0.955297,0.002168,0.050437,0.001425,6832.0,0.0
threshold_sensitivity,heavy_flood,10000.0,True,0,200,2,P3-Persist,5,1327543.6,2108.503687,45533.376,351.963809,0.906883,0.004581,0.097306,0.004147,6832.0,0.0
threshold_sensitivity,heavy_flood,10000.0,True,0,200,3,P3-Persist,5,1307483.8,2293.061534,45529.344,361.926748,0.865435,0.004899,0.136972,0.003869,6832.0,0.0
