scenario,duplicate_filter_window_s,method,n_pairs,feature_set_name,feature_set,grouped_cv_auc,bootstrap_ci95_low,bootstrap_ci95_high,permutation_auc_mean,permutation_ci95_low,permutation_ci95_high,status
heavy_flood,0,BudgetDoS,20,external_delay_defer_proxy,defer_rate;mean_delay_ms;p95_delay_ms,0.5,0.5,0.5,0.5,0.5,0.5,complete
heavy_flood,0,BudgetDoS,20,internal_path_diagnostic,cache_path_rate;reserve_path_rate;host_scan_path_rate;budget_skip_path_rate;duplicate_filter_path_rate;rl_path_rate;mean_aes_attempts,0.5,0.5,0.5,0.5,0.5,0.5,complete
heavy_flood,0,P3-NoPersist,20,external_delay_defer_proxy,defer_rate;mean_delay_ms;p95_delay_ms,0.5,0.5,0.5,0.5,0.5,0.5,complete
heavy_flood,0,P3-NoPersist,20,internal_path_diagnostic,cache_path_rate;reserve_path_rate;host_scan_path_rate;budget_skip_path_rate;duplicate_filter_path_rate;rl_path_rate;mean_aes_attempts,0.5,0.5,0.5,0.5,0.5,0.5,complete
heavy_flood,0,P3-Persist,20,external_delay_defer_proxy,defer_rate;mean_delay_ms;p95_delay_ms,0.5,0.5,0.5,0.5,0.5,0.5,complete
heavy_flood,0,P3-Persist,20,internal_path_diagnostic,cache_path_rate;reserve_path_rate;host_scan_path_rate;budget_skip_path_rate;duplicate_filter_path_rate;rl_path_rate;mean_aes_attempts,1.0,1.0,1.0,0.502,0.3,0.7,complete
heavy_flood,60,BudgetDoS,20,external_delay_defer_proxy,defer_rate;mean_delay_ms;p95_delay_ms,0.5,0.5,0.5,0.5,0.5,0.5,complete
heavy_flood,60,BudgetDoS,20,internal_path_diagnostic,cache_path_rate;reserve_path_rate;host_scan_path_rate;budget_skip_path_rate;duplicate_filter_path_rate;rl_path_rate;mean_aes_attempts,0.5,0.5,0.5,0.5,0.5,0.5,complete
heavy_flood,60,P3-NoPersist,20,external_delay_defer_proxy,defer_rate;mean_delay_ms;p95_delay_ms,0.5,0.5,0.5,0.5,0.5,0.5,complete
heavy_flood,60,P3-NoPersist,20,internal_path_diagnostic,cache_path_rate;reserve_path_rate;host_scan_path_rate;budget_skip_path_rate;duplicate_filter_path_rate;rl_path_rate;mean_aes_attempts,0.5,0.5,0.5,0.5,0.5,0.5,complete
heavy_flood,60,P3-Persist,20,external_delay_defer_proxy,defer_rate;mean_delay_ms;p95_delay_ms,0.5,0.5,0.5,0.5,0.5,0.5,complete
heavy_flood,60,P3-Persist,20,internal_path_diagnostic,cache_path_rate;reserve_path_rate;host_scan_path_rate;budget_skip_path_rate;duplicate_filter_path_rate;rl_path_rate;mean_aes_attempts,1.0,1.0,1.0,0.502,0.3,0.7,complete
medium_flood,0,BudgetDoS,20,external_delay_defer_proxy,defer_rate;mean_delay_ms;p95_delay_ms,0.5,0.5,0.5,0.5,0.5,0.5,complete
medium_flood,0,BudgetDoS,20,internal_path_diagnostic,cache_path_rate;reserve_path_rate;host_scan_path_rate;budget_skip_path_rate;duplicate_filter_path_rate;rl_path_rate;mean_aes_attempts,1.0,1.0,1.0,0.502088,0.254969,0.742562,complete
medium_flood,0,P3-NoPersist,20,external_delay_defer_proxy,defer_rate;mean_delay_ms;p95_delay_ms,1.0,1.0,1.0,0.502356,0.283687,0.7275,complete
medium_flood,0,P3-NoPersist,20,internal_path_diagnostic,cache_path_rate;reserve_path_rate;host_scan_path_rate;budget_skip_path_rate;duplicate_filter_path_rate;rl_path_rate;mean_aes_attempts,1.0,1.0,1.0,0.501913,0.279969,0.7275,complete
medium_flood,0,P3-Persist,20,external_delay_defer_proxy,defer_rate;mean_delay_ms;p95_delay_ms,1.0,1.0,1.0,0.502,0.3,0.7,complete
medium_flood,0,P3-Persist,20,internal_path_diagnostic,cache_path_rate;reserve_path_rate;host_scan_path_rate;budget_skip_path_rate;duplicate_filter_path_rate;rl_path_rate;mean_aes_attempts,1.0,1.0,1.0,0.501972,0.263687,0.74125,complete
