scenario,duplicate_filter_window_s,method,feature,n_pairs,bonded_mean,nonbonded_mean,paired_difference_mean,paired_difference_sd,paired_difference_ci95_low,paired_difference_ci95_high,paired_effect_dz,ks_distance,wasserstein_distance
heavy_flood,0,BudgetDoS,defer_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,0,BudgetDoS,mean_delay_ms,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,0,BudgetDoS,p95_delay_ms,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,0,BudgetDoS,cache_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,0,BudgetDoS,reserve_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,0,BudgetDoS,host_scan_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,0,BudgetDoS,budget_skip_path_rate,20,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,0,BudgetDoS,duplicate_filter_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,0,BudgetDoS,rl_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,0,BudgetDoS,mean_aes_attempts,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,0,P3-NoPersist,defer_rate,20,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,0,P3-NoPersist,mean_delay_ms,20,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,0,P3-NoPersist,p95_delay_ms,20,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,0,P3-NoPersist,cache_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,0,P3-NoPersist,reserve_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,0,P3-NoPersist,host_scan_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,0,P3-NoPersist,budget_skip_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,0,P3-NoPersist,duplicate_filter_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,0,P3-NoPersist,rl_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,0,P3-NoPersist,mean_aes_attempts,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,0,P3-Persist,defer_rate,20,0.003333,0.003333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,0,P3-Persist,mean_delay_ms,20,3.333333,3.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,0,P3-Persist,p95_delay_ms,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,0,P3-Persist,cache_path_rate,20,0.993333,0.0,0.993333,0.0,0.993333,0.993333,0.0,1.0,0.993333
heavy_flood,0,P3-Persist,reserve_path_rate,20,0.003333,0.996667,-0.993334,0.0,-0.993334,-0.993334,0.0,1.0,0.993334
heavy_flood,0,P3-Persist,host_scan_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,0,P3-Persist,budget_skip_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,0,P3-Persist,duplicate_filter_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,0,P3-Persist,rl_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,0,P3-Persist,mean_aes_attempts,20,1.68,502.32,-500.64,0.0,-500.64,-500.64,0.0,1.0,500.64
heavy_flood,60,BudgetDoS,defer_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,BudgetDoS,mean_delay_ms,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,BudgetDoS,p95_delay_ms,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,BudgetDoS,cache_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,BudgetDoS,reserve_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,BudgetDoS,host_scan_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,BudgetDoS,budget_skip_path_rate,20,0.083333,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,BudgetDoS,duplicate_filter_path_rate,20,0.916667,0.916667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,BudgetDoS,rl_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,BudgetDoS,mean_aes_attempts,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,P3-NoPersist,defer_rate,20,0.083333,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,P3-NoPersist,mean_delay_ms,20,83.333333,83.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,P3-NoPersist,p95_delay_ms,20,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,P3-NoPersist,cache_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,P3-NoPersist,reserve_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,P3-NoPersist,host_scan_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,P3-NoPersist,budget_skip_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,P3-NoPersist,duplicate_filter_path_rate,20,0.916667,0.916667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,P3-NoPersist,rl_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,P3-NoPersist,mean_aes_attempts,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,P3-Persist,defer_rate,20,0.003333,0.003333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,P3-Persist,mean_delay_ms,20,3.333333,3.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,P3-Persist,p95_delay_ms,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,P3-Persist,cache_path_rate,20,0.956667,0.0,0.956667,0.0,0.956667,0.956667,0.0,1.0,0.956667
heavy_flood,60,P3-Persist,reserve_path_rate,20,0.003333,0.08,-0.076667,0.0,-0.076667,-0.076667,0.0,1.0,0.076667
heavy_flood,60,P3-Persist,host_scan_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,P3-Persist,budget_skip_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
