check,pass,observed,expected,details
config_count,True,600,600,
run_directory_count,True,600,600,
combined_summary_rows,True,1800,1800,
completion_manifest_validation,True,0,0,
method_rows_per_run,True,0,0,
main_cell_method_counts,True,"groups=81,n=[20]","81 groups, n=20",
control_method_counts,True,"groups=9,n=[20]","9 groups, n=20",
overall_generated_observed_dropped_closure,True,0,0,
per_source_generated_observed_dropped_closure,True,0,0,
other_event_class_closure,True,0,0,
double_denominator_identity,True,8.846926476957506e-07,<=1e-6,
requested_vs_actual_loss,True,0.003613000000000033,<=0.005,
event_counts_invariant_across_methods,True,0,0,
p3_attack_work_cap,True,49996.8,<=151200.0,
simulator_source_hash_invariant_across_run_commits,True,ae8c3f9086eb038111cebf2b5abc344f7d88f93988cd36edb8cfe2642f1bcb60,ae8c3f9086eb038111cebf2b5abc344f7d88f93988cd36edb8cfe2642f1bcb60,
source_commit_set,True,"50e8a904,5ebf9865,6d3a9c72",recorded per run,
