suite,m13_experiment,m13_epoch_min,m13_loss_rate,m13_density,m13_background_mode,background_addr_pool_size,background_repeats_per_addr,background_repeat_interval_s,run_id,duration_s,warmup_s,num_bonded,rl_capacity,seed,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,reserve_grant_legit_p50_delay_ms,reserve_grant_legit_p95_delay_ms,reserve_grant_legit_p99_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes,observation_loss_rate_requested,generated_event_count,observed_event_count,dropped_event_count,actual_observation_loss_rate,generated_legit_event_count,observed_legit_event_count,dropped_legit_event_count,actual_legit_observation_loss_rate,generated_background_event_count,observed_background_event_count,dropped_background_event_count,actual_background_observation_loss_rate,generated_attack_event_count,observed_attack_event_count,dropped_attack_event_count,actual_attack_observation_loss_rate,offered_legit_resolution_rate,observed_legit_resolution_rate,false_defer_observed_legit_rate,reserve_grant_background_count,duplicate_filter_background_count,cache_hit_background_count,host_scan_background_count,budget_skip_background_count
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260610,1800,300,512,8,20260610,P3-Persist,True,300,1500,1376110,733.925333,0.712657,0,0.0,0.0,0.0,0.0,100.0,49593.6,0.291144,230,0,0,0,1441,14,63,22614,165133.2,6832,0.0,305622,305622,0,0.0,2631,2631,0,0.0,2400,2400,0,0.0,249801,249801,0,0.0,0.712657,0.712657,0.291144,0,0,0,26,1772
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260610,1800,300,512,8,20260610,P3-NoPersist,True,300,1500,1260169,930.014022,0.515013,0,0.0,0.0,0.0,0.0,0.0,49492.8,0.484987,0,0,0,0,1167,19,81,22614,151220.28,5232,0.0,305622,305622,0,0.0,2631,2631,0,0.0,2400,2400,0,0.0,249801,249801,0,0.0,0.515013,0.515013,0.484987,0,0,0,26,1772
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260610,1800,300,512,8,20260610,BudgetDoS,True,300,1500,1261055,1173.074419,0.40859,0,0.0,0.0,0.0,0.0,0.0,49472.64,0.59141,0,0,0,0,0,20,1556,247347,151326.6,4192,0.0,305622,305622,0,0.0,2631,2631,0,0.0,2400,2400,0,0.0,249801,249801,0,0.0,0.40859,0.40859,0.59141,0,0,0,26,2374
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260611,1800,300,512,8,20260611,P3-Persist,True,300,1500,1373592,746.111896,0.711635,0,0,100.0,0,100.0,100.0,49674.24,0.298029,225,0,0,0,1414,10,55,22510,164831.04,6832,0.0,306704,306704,0,0.0,2587,2587,0,0.0,2518,2518,0,0.0,250289,250289,0,0.0,0.711635,0.711635,0.298029,0,0,0,26,1848
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260611,1800,300,512,8,20260611,P3-NoPersist,True,300,1500,1260198,828.532544,0.58794,0,0,0.0,0.0,0.0,0.0,49674.24,0.412833,0,0,0,0,1313,10,92,22510,151223.76,5232,0.0,306704,306704,0,0.0,2587,2587,0,0.0,2518,2518,0,0.0,250289,250289,0,0.0,0.58794,0.58794,0.412833,0,0,0,26,1848
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260611,1800,300,512,8,20260611,BudgetDoS,True,300,1500,1261480,845.495979,0.57673,0.0,0.0,0.0,0.0,0.0,0.0,49633.92,0.42327,0,0,0,0,0,12,1095,247827,151377.6,4192,0.0,306704,306704,0,0.0,2587,2587,0,0.0,2518,2518,0,0.0,250289,250289,0,0.0,0.57673,0.57673,0.42327,0,0,0,26,2492
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260612,1800,300,512,8,20260612,P3-Persist,True,300,1500,1375611,744.378247,0.711316,0.0,0.0,0.0,0,100.0,100.0,49835.52,0.295612,229,0,0,0,1416,8,49,22372,165073.32,6832,0.0,305438,305438,0,0.0,2598,2598,0,0.0,2425,2425,0,0.0,249474,249474,0,0.0,0.711316,0.711316,0.295612,0,0,0,20,1765
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260612,1800,300,512,8,20260612,P3-NoPersist,True,300,1500,1260192,834.564238,0.581216,0.0,0.0,0.0,0.0,0.0,0.0,49795.2,0.419169,0,0,0,0,1308,10,73,22372,151223.04,5232,0.0,305438,305438,0,0.0,2598,2598,0,0.0,2425,2425,0,0.0,249474,249474,0,0.0,0.581216,0.581216,0.419169,0,0,0,20,1765
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260612,1800,300,512,8,20260612,BudgetDoS,True,300,1500,1261493,839.875499,0.578137,0.0,0.0,0.0,0.0,0.0,0.0,49815.36,0.421863,0,0,0,0,0,9,1096,247003,151379.16,4192,0.0,305438,305438,0,0.0,2598,2598,0,0.0,2425,2425,0,0.0,249474,249474,0,0.0,0.578137,0.578137,0.421863,0,0,0,20,2405
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260613,1800,300,512,8,20260613,P3-Persist,True,300,1500,1362500,775.46955,0.696946,0,0.0,0.0,0,100.0,100.0,49593.6,0.308608,203,0,0,0,1352,14,68,22442,163500.0,6832,0.0,305423,305423,0,0.0,2521,2521,0,0.0,2434,2434,0,0.0,249439,249439,0,0.0,0.696946,0.696946,0.308608,0,0,0,26,1789
