epoch_min,loss_rate,benign_density_rpa_per_min,offered_legit_resolution_rate,observed_legit_resolution_rate,paired_offered_degradation,false_defer_observed_legit_rate,attack_aes_per_min,crosses_practical_screen
1,0.0,100.0,0.70529,0.70529,0.250023,0.300297,49655.088,True
1,0.0,1000.0,0.706148,0.706148,0.249165,0.299293,45647.28,True
1,0.0,5000.0,0.707047,0.707047,0.248265,0.298758,33449.472,True
1,0.2,100.0,0.553429,0.689848,0.401883,0.315029,49688.352,True
1,0.2,1000.0,0.550571,0.689817,0.404742,0.315005,45647.28,True
1,0.2,5000.0,0.552805,0.690178,0.402508,0.31552,33413.184,True
1,0.4,100.0,0.400575,0.668126,0.554738,0.336391,49645.008,True
1,0.4,1000.0,0.405555,0.673816,0.549757,0.33132,45566.64,True
1,0.4,5000.0,0.402741,0.671334,0.552572,0.333547,33477.696,True
5,0.0,100.0,0.853841,0.853841,0.101472,0.153106,49708.512,True
5,0.0,1000.0,0.853017,0.853017,0.102296,0.153234,45707.76,True
5,0.0,5000.0,0.854705,0.854705,0.100608,0.152061,33468.624,True
5,0.2,100.0,0.664156,0.832467,0.291157,0.174574,49724.64,True
5,0.2,1000.0,0.664427,0.831558,0.290886,0.175253,45674.496,True
5,0.2,5000.0,0.664345,0.83245,0.290968,0.174659,33453.504,True
5,0.4,100.0,0.482583,0.802174,0.472729,0.205532,49714.56,True
5,0.4,1000.0,0.48609,0.802804,0.469223,0.204807,45687.6,True
5,0.4,5000.0,0.482278,0.803271,0.473035,0.204016,33516.0,True
15,0.0,100.0,0.955313,0.955313,0.0,0.050653,49783.104,False
15,0.0,1000.0,0.955667,0.955667,-0.000354,0.049741,45765.216,False
15,0.0,5000.0,0.955484,0.955484,-0.000171,0.049787,33497.856,False
15,0.2,100.0,0.756427,0.943452,0.198885,0.062871,49778.064,True
15,0.2,1000.0,0.754612,0.943871,0.200701,0.061772,45754.128,True
15,0.2,5000.0,0.755108,0.943666,0.200204,0.061952,33430.32,True
15,0.4,100.0,0.557582,0.926261,0.397731,0.079763,49792.176,True
15,0.4,1000.0,0.556241,0.92561,0.399071,0.079613,45778.32,True
15,0.4,5000.0,0.555045,0.926269,0.400268,0.079337,33287.184,True
