m13_experiment,m13_epoch_min,m13_loss_rate,m13_density,m13_background_mode,method,n,offered_legit_resolution_rate_mean,offered_legit_resolution_rate_sd,offered_legit_resolution_rate_ci95_low,offered_legit_resolution_rate_ci95_high,observed_legit_resolution_rate_mean,observed_legit_resolution_rate_sd,observed_legit_resolution_rate_ci95_low,observed_legit_resolution_rate_ci95_high,false_defer_observed_legit_rate_mean,false_defer_observed_legit_rate_sd,false_defer_observed_legit_rate_ci95_low,false_defer_observed_legit_rate_ci95_high,p95_resolution_delay_ms_mean,p95_resolution_delay_ms_sd,p95_resolution_delay_ms_ci95_low,p95_resolution_delay_ms_ci95_high,p99_resolution_delay_ms_mean,p99_resolution_delay_ms_sd,p99_resolution_delay_ms_ci95_low,p99_resolution_delay_ms_ci95_high,reserve_grant_legit_p95_delay_ms_mean,reserve_grant_legit_p95_delay_ms_sd,reserve_grant_legit_p95_delay_ms_ci95_low,reserve_grant_legit_p95_delay_ms_ci95_high,reserve_grant_legit_p99_delay_ms_mean,reserve_grant_legit_p99_delay_ms_sd,reserve_grant_legit_p99_delay_ms_ci95_low,reserve_grant_legit_p99_delay_ms_ci95_high,attack_aes_amplification_mean,attack_aes_amplification_sd,attack_aes_amplification_ci95_low,attack_aes_amplification_ci95_high,actual_observation_loss_rate_mean,actual_observation_loss_rate_sd,actual_observation_loss_rate_ci95_low,actual_observation_loss_rate_ci95_high,reserve_grant_legit_count_mean,reserve_grant_legit_count_sd,reserve_grant_legit_count_ci95_low,reserve_grant_legit_count_ci95_high,reserve_grant_background_count_mean,reserve_grant_background_count_sd,reserve_grant_background_count_ci95_low,reserve_grant_background_count_ci95_high,reserve_grant_attack_count_mean,reserve_grant_attack_count_sd,reserve_grant_attack_count_ci95_low,reserve_grant_attack_count_ci95_high,budget_skip_legit_count_mean,budget_skip_legit_count_sd,budget_skip_legit_count_ci95_low,budget_skip_legit_count_ci95_high,budget_skip_background_count_mean,budget_skip_background_count_sd,budget_skip_background_count_ci95_low,budget_skip_background_count_ci95_high,budget_skip_attack_count_mean,budget_skip_attack_count_sd,budget_skip_attack_count_ci95_low,budget_skip_attack_count_ci95_high
control_no_attack_baseline,15,0.0,100.0,unique,BudgetDoS,20,0.873715,0.007679,0.870121,0.877309,0.873715,0.007679,0.870121,0.877309,0.126285,0.007679,0.122691,0.129879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.25,19.883543,313.944216,332.555784,753.55,43.546074,733.16981,773.93019,0.0,0.0,0.0,0.0
control_no_attack_baseline,15,0.0,100.0,unique,P3-NoPersist,20,0.986151,0.003453,0.984535,0.987767,0.986151,0.003453,0.984535,0.987767,0.02082,0.004398,0.018762,0.022879,0.0,0.0,0.0,0.0,9.25,28.574694,-4.123369,22.623369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,1.424411,1.183355,2.516645,210.95,38.272534,193.037903,228.862097,0.0,0.0,0.0,0.0
control_no_attack_baseline,15,0.0,100.0,unique,P3-Persist,20,0.988384,0.002399,0.987261,0.989506,0.988384,0.002399,0.987261,0.989506,0.018666,0.003585,0.016988,0.020344,0.0,0.0,0.0,0.0,9.05,28.025318,-4.066252,22.166252,27.5,39.851699,8.848831,46.151169,33.5,46.885639,11.556845,55.443155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,2.489451,4.084901,6.415099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,1.234376,0.872294,2.027706,210.6,38.000554,192.815193,228.384807,0.0,0.0,0.0,0.0
control_no_attack_worst,1,0.4,5000.0,unique,BudgetDoS,20,0.337686,0.035986,0.320844,0.354528,0.560968,0.059616,0.533067,0.588869,0.439032,0.059616,0.411131,0.466933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.400055,0.001458,0.399372,0.400737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681.85,101.16806,634.501891,729.198109,72478.6,333.383989,72322.57149,72634.62851,0.0,0.0,0.0,0.0
control_no_attack_worst,1,0.4,5000.0,unique,P3-NoPersist,20,0.350302,0.018071,0.341844,0.358759,0.581956,0.030842,0.567521,0.59639,0.418947,0.030907,0.404482,0.433412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.400055,0.001458,0.399372,0.400737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.95,12.729886,38.99223,50.90777,54186.2,291.079588,54049.97056,54322.42944,0.0,0.0,0.0,0.0
control_no_attack_worst,1,0.4,5000.0,unique,P3-Persist,20,0.406062,0.009594,0.401571,0.410552,0.674463,0.012844,0.668451,0.680474,0.330103,0.013488,0.32379,0.336415,0.0,0.0,0.0,0.0,10.0,30.779351,-4.405179,24.405179,44.25,47.690753,21.930041,66.569959,96.3,16.546903,88.555811,104.044189,0.0,0.0,0.0,0.0,0.400055,0.001458,0.399372,0.400737,99.15,9.432726,94.735348,103.564652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.85,8.975258,29.64945,38.05055,54185.8,291.42167,54049.41046,54322.18954,0.0,0.0,0.0,0.0
control_repeated_benign_worst,1,0.4,5000.0,repeated,BudgetDoS,20,0.328434,0.047906,0.306014,0.350855,0.547698,0.080034,0.510241,0.585155,0.452302,0.080034,0.414845,0.489759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33455.52,474.577659,33233.410818,33677.629182,0.399673,0.000647,0.39937,0.399976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.8,122.27002,638.575869,753.024131,74227.45,230.033287,74119.791108,74335.108892,148420.2,359.415695,148251.988277,148588.411723
control_repeated_benign_worst,1,0.4,5000.0,repeated,P3-NoPersist,20,0.330611,0.046049,0.30906,0.352163,0.551264,0.076683,0.515375,0.587153,0.449132,0.076841,0.413169,0.485094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33456.528,463.955561,33239.390113,33673.665887,0.399673,0.000647,0.39937,0.399976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.9,14.359666,37.17947,50.62053,55511.6,192.105892,55421.691675,55601.508325,13454.7,97.262044,13409.179962,13500.220038
control_repeated_benign_worst,1,0.4,5000.0,repeated,P3-Persist,20,0.345137,0.024537,0.333653,0.356621,0.575279,0.038346,0.557333,0.593225,0.425083,0.038244,0.407184,0.442982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33466.608,467.492192,33247.814919,33685.401081,0.399673,0.000647,0.39937,0.399976,1.2,2.307881,0.119878,2.280122,4998.8,2.307881,4997.719878,4999.880122,0.0,0.0,0.0,0.0,44.0,18.186172,35.48861,52.51139,51775.85,197.176457,51683.568577,51868.131423,13454.55,97.273069,13409.024802,13500.075198
main,1,0.0,100.0,unique,BudgetDoS,20,0.520102,0.102348,0.472202,0.568003,0.520102,0.102348,0.472202,0.568003,0.479898,0.102348,0.431997,0.527798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49624.848,131.056323,49563.511753,49686.184247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1227.15,264.945729,1103.151582,1351.148418,2473.9,59.421687,2446.089795,2501.710205,247452.95,381.510361,247274.397655,247631.502345
