m13_experiment,m13_epoch_min,m13_loss_rate,m13_density,m13_background_mode,method,n,offered_legit_resolution_rate_mean,offered_legit_resolution_rate_sd,observed_legit_resolution_rate_mean,observed_legit_resolution_rate_sd,false_defer_observed_legit_rate_mean,false_defer_observed_legit_rate_sd,p95_resolution_delay_ms_mean,p95_resolution_delay_ms_sd,attack_aes_amplification_mean,attack_aes_amplification_sd,actual_observation_loss_rate_mean,actual_observation_loss_rate_sd,reserve_grant_background_count_mean,reserve_grant_background_count_sd
control_no_attack_baseline,15,0.0,100.0,unique,BudgetDoS,20,0.873715,0.007679,0.873715,0.007679,0.126285,0.007679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
control_no_attack_baseline,15,0.0,100.0,unique,P3-NoPersist,20,0.986151,0.003453,0.986151,0.003453,0.02082,0.004398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
control_no_attack_baseline,15,0.0,100.0,unique,P3-Persist,20,0.988384,0.002399,0.988384,0.002399,0.018666,0.003585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
control_no_attack_worst,1,0.4,5000.0,unique,BudgetDoS,20,0.337686,0.035986,0.560968,0.059616,0.439032,0.059616,0.0,0.0,0.0,0.0,0.400055,0.001458,0.0,0.0
control_no_attack_worst,1,0.4,5000.0,unique,P3-NoPersist,20,0.350302,0.018071,0.581956,0.030842,0.418947,0.030907,0.0,0.0,0.0,0.0,0.400055,0.001458,0.0,0.0
control_no_attack_worst,1,0.4,5000.0,unique,P3-Persist,20,0.406062,0.009594,0.674463,0.012844,0.330103,0.013488,0.0,0.0,0.0,0.0,0.400055,0.001458,0.0,0.0
control_repeated_benign_worst,1,0.4,5000.0,repeated,BudgetDoS,20,0.328434,0.047906,0.547698,0.080034,0.452302,0.080034,0.0,0.0,33455.52,474.577659,0.399673,0.000647,0.0,0.0
control_repeated_benign_worst,1,0.4,5000.0,repeated,P3-NoPersist,20,0.330611,0.046049,0.551264,0.076683,0.449132,0.076841,0.0,0.0,33456.528,463.955561,0.399673,0.000647,0.0,0.0
control_repeated_benign_worst,1,0.4,5000.0,repeated,P3-Persist,20,0.345137,0.024537,0.575279,0.038346,0.425083,0.038244,0.0,0.0,33466.608,467.492192,0.399673,0.000647,4998.8,2.307881
main,1,0.0,100.0,unique,BudgetDoS,20,0.520102,0.102348,0.520102,0.102348,0.479898,0.102348,0.0,0.0,49624.848,131.056323,0.0,0.0,0.0,0.0
main,1,0.0,100.0,unique,P3-NoPersist,20,0.530902,0.085558,0.530902,0.085558,0.469351,0.08548,0.0,0.0,49626.864,123.111601,0.0,0.0,0.0,0.0
main,1,0.0,100.0,unique,P3-Persist,20,0.70529,0.00711,0.70529,0.00711,0.300297,0.007113,0.0,0.0,49655.088,119.442907,0.0,0.0,0.0,0.0
main,1,0.0,1000.0,unique,BudgetDoS,20,0.56632,0.066637,0.56632,0.066637,0.43368,0.066637,0.0,0.0,45648.288,350.532672,0.0,0.0,0.0,0.0
