epoch_min,loss_rate,benign_density_rpa_per_min,contrast,metric,n,mean,sd,ci95_low,ci95_high
1,0.0,100.0,P3-Persist_minus_P3-NoPersist,offered_legit_resolution_rate,20,0.174387,0.082922,0.135579,0.213196
1,0.0,100.0,P3-Persist_minus_P3-NoPersist,observed_legit_resolution_rate,20,0.174387,0.082922,0.135579,0.213196
1,0.0,100.0,P3-Persist_minus_P3-NoPersist,false_defer_observed_legit_rate,20,-0.169054,0.082551,-0.207689,-0.130419
1,0.0,100.0,P3-Persist_minus_P3-NoPersist,attack_aes_amplification,20,28.224,45.971873,6.708501,49.739499
1,0.0,100.0,P3-Persist_minus_BudgetDoS,offered_legit_resolution_rate,20,0.185187,0.100853,0.137987,0.232388
1,0.0,100.0,P3-Persist_minus_BudgetDoS,observed_legit_resolution_rate,20,0.185187,0.100853,0.137987,0.232388
1,0.0,100.0,P3-Persist_minus_BudgetDoS,false_defer_observed_legit_rate,20,-0.1796,0.100532,-0.226651,-0.13255
1,0.0,100.0,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,30.24,52.530143,5.655136,54.824864
1,0.0,1000.0,P3-Persist_minus_P3-NoPersist,offered_legit_resolution_rate,20,0.147755,0.066277,0.116737,0.178774
1,0.0,1000.0,P3-Persist_minus_P3-NoPersist,observed_legit_resolution_rate,20,0.147755,0.066277,0.116737,0.178774
1,0.0,1000.0,P3-Persist_minus_P3-NoPersist,false_defer_observed_legit_rate,20,-0.142491,0.066482,-0.173605,-0.111376
1,0.0,1000.0,P3-Persist_minus_P3-NoPersist,attack_aes_amplification,20,3.024,31.555391,-11.744378,17.792378
1,0.0,1000.0,P3-Persist_minus_BudgetDoS,offered_legit_resolution_rate,20,0.139828,0.066311,0.108793,0.170862
1,0.0,1000.0,P3-Persist_minus_BudgetDoS,observed_legit_resolution_rate,20,0.139828,0.066311,0.108793,0.170862
1,0.0,1000.0,P3-Persist_minus_BudgetDoS,false_defer_observed_legit_rate,20,-0.134387,0.067207,-0.165841,-0.102933
1,0.0,1000.0,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,-1.008,31.690678,-15.839694,13.823694
1,0.0,5000.0,P3-Persist_minus_P3-NoPersist,offered_legit_resolution_rate,20,0.164514,0.08195,0.12616,0.202868
1,0.0,5000.0,P3-Persist_minus_P3-NoPersist,observed_legit_resolution_rate,20,0.164514,0.08195,0.12616,0.202868
1,0.0,5000.0,P3-Persist_minus_P3-NoPersist,false_defer_observed_legit_rate,20,-0.158924,0.083031,-0.197784,-0.120064
1,0.0,5000.0,P3-Persist_minus_P3-NoPersist,attack_aes_amplification,20,15.12,27.653605,2.177715,28.062285
1,0.0,5000.0,P3-Persist_minus_BudgetDoS,offered_legit_resolution_rate,20,0.183838,0.104442,0.134957,0.232719
1,0.0,5000.0,P3-Persist_minus_BudgetDoS,observed_legit_resolution_rate,20,0.183838,0.104442,0.134957,0.232719
1,0.0,5000.0,P3-Persist_minus_BudgetDoS,false_defer_observed_legit_rate,20,-0.178033,0.105779,-0.227539,-0.128526
1,0.0,5000.0,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,19.152,30.310654,4.966177,33.337823
1,0.2,100.0,P3-Persist_minus_P3-NoPersist,offered_legit_resolution_rate,20,0.104972,0.050718,0.081235,0.128709
1,0.2,100.0,P3-Persist_minus_P3-NoPersist,observed_legit_resolution_rate,20,0.130714,0.062614,0.10141,0.160018
1,0.2,100.0,P3-Persist_minus_P3-NoPersist,false_defer_observed_legit_rate,20,-0.126154,0.06266,-0.15548,-0.096828
1,0.2,100.0,P3-Persist_minus_P3-NoPersist,attack_aes_amplification,20,22.176,46.664607,0.336291,44.015709
1,0.2,100.0,P3-Persist_minus_BudgetDoS,offered_legit_resolution_rate,20,0.107428,0.062047,0.078389,0.136467
1,0.2,100.0,P3-Persist_minus_BudgetDoS,observed_legit_resolution_rate,20,0.133898,0.07715,0.097791,0.170006
1,0.2,100.0,P3-Persist_minus_BudgetDoS,false_defer_observed_legit_rate,20,-0.129022,0.07689,-0.165008,-0.093036
1,0.2,100.0,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,20.16,45.315768,-1.048432,41.368432
1,0.2,1000.0,P3-Persist_minus_P3-NoPersist,offered_legit_resolution_rate,20,0.098086,0.044204,0.077398,0.118774
1,0.2,1000.0,P3-Persist_minus_P3-NoPersist,observed_legit_resolution_rate,20,0.122694,0.054276,0.097292,0.148096
1,0.2,1000.0,P3-Persist_minus_P3-NoPersist,false_defer_observed_legit_rate,20,-0.118118,0.054581,-0.143662,-0.092573
1,0.2,1000.0,P3-Persist_minus_P3-NoPersist,attack_aes_amplification,20,14.112,37.057937,-3.231648,31.455648
1,0.2,1000.0,P3-Persist_minus_BudgetDoS,offered_legit_resolution_rate,20,0.103211,0.050705,0.079481,0.126942
1,0.2,1000.0,P3-Persist_minus_BudgetDoS,observed_legit_resolution_rate,20,0.129158,0.062764,0.099783,0.158532
1,0.2,1000.0,P3-Persist_minus_BudgetDoS,false_defer_observed_legit_rate,20,-0.124336,0.062962,-0.153803,-0.094869
1,0.2,1000.0,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,12.096,40.531655,-6.873398,31.065398
1,0.2,5000.0,P3-Persist_minus_P3-NoPersist,offered_legit_resolution_rate,20,0.113982,0.059894,0.08595,0.142013
1,0.2,5000.0,P3-Persist_minus_P3-NoPersist,observed_legit_resolution_rate,20,0.1421,0.073923,0.107503,0.176697
1,0.2,5000.0,P3-Persist_minus_P3-NoPersist,false_defer_observed_legit_rate,20,-0.136743,0.074782,-0.171742,-0.101744
1,0.2,5000.0,P3-Persist_minus_P3-NoPersist,attack_aes_amplification,20,12.096,25.667826,0.083088,24.108912
1,0.2,5000.0,P3-Persist_minus_BudgetDoS,offered_legit_resolution_rate,20,0.129083,0.07755,0.092789,0.165377
1,0.2,5000.0,P3-Persist_minus_BudgetDoS,observed_legit_resolution_rate,20,0.160979,0.09615,0.11598,0.205979
1,0.2,5000.0,P3-Persist_minus_BudgetDoS,false_defer_observed_legit_rate,20,-0.155281,0.097519,-0.200922,-0.109641
1,0.2,5000.0,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,15.12,29.159649,1.472864,28.767136
1,0.4,100.0,P3-Persist_minus_P3-NoPersist,offered_legit_resolution_rate,20,0.072825,0.039324,0.054421,0.091229
1,0.4,100.0,P3-Persist_minus_P3-NoPersist,observed_legit_resolution_rate,20,0.121356,0.065212,0.090836,0.151876
1,0.4,100.0,P3-Persist_minus_P3-NoPersist,false_defer_observed_legit_rate,20,-0.117302,0.065761,-0.148079,-0.086524
1,0.4,100.0,P3-Persist_minus_P3-NoPersist,attack_aes_amplification,20,29.232,43.126928,9.047977,49.416023
1,0.4,100.0,P3-Persist_minus_BudgetDoS,offered_legit_resolution_rate,20,0.087086,0.056384,0.060697,0.113475
1,0.4,100.0,P3-Persist_minus_BudgetDoS,observed_legit_resolution_rate,20,0.144959,0.093212,0.101334,0.188583
1,0.4,100.0,P3-Persist_minus_BudgetDoS,false_defer_observed_legit_rate,20,-0.140442,0.093647,-0.184271,-0.096614
1,0.4,100.0,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,44.352,59.804225,16.362761,72.341239
