epoch_min,loss_rate,benign_density_rpa_per_min,n,baseline_offered_rate_mean,offered_rate_mean,observed_rate_mean,paired_offered_degradation_mean,paired_offered_degradation_sd,paired_offered_degradation_ci95_low,paired_offered_degradation_ci95_high,practical_screen_threshold,crosses_practical_screen,false_defer_observed_mean,attack_aes_per_min_mean
1,0.0,100.0,20,0.955313,0.70529,0.70529,0.250023,0.007153,0.246675,0.253371,0.05,True,0.300297,49655.088
1,0.0,1000.0,20,0.955313,0.706148,0.706148,0.249165,0.00709,0.245846,0.252483,0.05,True,0.299293,45647.28
1,0.0,5000.0,20,0.955313,0.707047,0.707047,0.248265,0.008361,0.244352,0.252179,0.05,True,0.298758,33449.472
1,0.2,100.0,20,0.955313,0.553429,0.689848,0.401883,0.008175,0.398057,0.405709,0.05,True,0.315029,49688.352
1,0.2,1000.0,20,0.955313,0.550571,0.689817,0.404742,0.009705,0.4002,0.409284,0.05,True,0.315005,45647.28
1,0.2,5000.0,20,0.955313,0.552805,0.690178,0.402508,0.012519,0.396649,0.408367,0.05,True,0.31552,33413.184
1,0.4,100.0,20,0.955313,0.400575,0.668126,0.554738,0.01032,0.549908,0.559568,0.05,True,0.336391,49645.008
1,0.4,1000.0,20,0.955313,0.405555,0.673816,0.549757,0.009237,0.545434,0.55408,0.05,True,0.33132,45566.64
1,0.4,5000.0,20,0.955313,0.402741,0.671334,0.552572,0.010778,0.547527,0.557616,0.05,True,0.333547,33477.696
5,0.0,100.0,20,0.955313,0.853841,0.853841,0.101472,0.00471,0.099268,0.103676,0.05,True,0.153106,49708.512
5,0.0,1000.0,20,0.955313,0.853017,0.853017,0.102296,0.003875,0.100482,0.104109,0.05,True,0.153234,45707.76
5,0.0,5000.0,20,0.955313,0.854705,0.854705,0.100608,0.004507,0.098498,0.102717,0.05,True,0.152061,33468.624
5,0.2,100.0,20,0.955313,0.664156,0.832467,0.291157,0.008006,0.28741,0.294904,0.05,True,0.174574,49724.64
5,0.2,1000.0,20,0.955313,0.664427,0.831558,0.290886,0.007979,0.287152,0.29462,0.05,True,0.175253,45674.496
5,0.2,5000.0,20,0.955313,0.664345,0.83245,0.290968,0.010621,0.285997,0.295939,0.05,True,0.174659,33453.504
5,0.4,100.0,20,0.955313,0.482583,0.802174,0.472729,0.011194,0.467491,0.477968,0.05,True,0.205532,49714.56
5,0.4,1000.0,20,0.955313,0.48609,0.802804,0.469223,0.008512,0.465239,0.473207,0.05,True,0.204807,45687.6
5,0.4,5000.0,20,0.955313,0.482278,0.803271,0.473035,0.008661,0.468981,0.477089,0.05,True,0.204016,33516.0
15,0.0,100.0,20,0.955313,0.955313,0.955313,0.0,0.0,0.0,0.0,0.05,False,0.050653,49783.104
15,0.0,1000.0,20,0.955313,0.955667,0.955667,-0.000354,0.002579,-0.001561,0.000853,0.05,False,0.049741,45765.216
15,0.0,5000.0,20,0.955313,0.955484,0.955484,-0.000171,0.002771,-0.001468,0.001126,0.05,False,0.049787,33497.856
15,0.2,100.0,20,0.955313,0.756427,0.943452,0.198885,0.006983,0.195617,0.202153,0.05,True,0.062871,49778.064
15,0.2,1000.0,20,0.955313,0.754612,0.943871,0.200701,0.007304,0.197282,0.204119,0.05,True,0.061772,45754.128
15,0.2,5000.0,20,0.955313,0.755108,0.943666,0.200204,0.00748,0.196703,0.203705,0.05,True,0.061952,33430.32
15,0.4,100.0,20,0.955313,0.557582,0.926261,0.397731,0.008695,0.393662,0.4018,0.05,True,0.079763,49792.176
15,0.4,1000.0,20,0.955313,0.556241,0.92561,0.399071,0.01166,0.393614,0.404528,0.05,True,0.079613,45778.32
15,0.4,5000.0,20,0.955313,0.555045,0.926269,0.400268,0.008205,0.396428,0.404108,0.05,True,0.079337,33287.184
