run_id,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,reserve_grant_legit_p50_delay_ms,reserve_grant_legit_p95_delay_ms,reserve_grant_legit_p99_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes,suite,m14_phase,m14_scenario,attack_strategy,attack_addr_pool_size,attack_repeats_per_addr,attack_repeat_interval_s,unique_attack_rpa,duplicate_filter_window_s,persist_reserve,persist_k,seed,estimated_attack_event_count,dup_removable_fraction
m14_confirm_unique_dup0_s20260610,P3-Persist,True,300,1500,1358795,550.342244,0.954387,0,0.0,0.0,0.0,100.0,100.0,45460.8,0.051797,196,0,0,0,2259,3,11,22566,163055.4,6832,m14_adaptive_refinement,confirm,heavy_flood,unique,0,1,0.0,True,0,200,1,20260610,24821.0,0.0
m14_confirm_unique_dup0_s20260611,P3-Persist,True,300,1500,1353752,551.87607,0.957082,0,0.0,0.0,0.0,100.0,100.0,45480.96,0.050332,186,0,0,0,2256,3,8,22458,162450.24,6832,m14_adaptive_refinement,confirm,heavy_flood,unique,0,1,0.0,True,0,200,1,20260611,24714.0,0.0
m14_confirm_unique_dup0_s20260612,P3-Persist,True,300,1500,1366355,554.97766,0.957232,0.0,0.0,0.0,0,100.0,100.0,45097.92,0.0486,211,0,0,0,2239,1,3,22513,163962.6,6832,m14_adaptive_refinement,confirm,heavy_flood,unique,0,1,0.0,True,0,200,1,20260612,24750.0,0.0
m14_confirm_unique_dup0_s20260613,P3-Persist,True,300,1500,1375931,548.83566,0.955776,0,0.0,0.0,0.0,100.0,100.0,45662.4,0.049562,230,0,0,0,2263,3,5,22620,165111.72,6832,m14_adaptive_refinement,confirm,heavy_flood,unique,0,1,0.0,True,0,200,1,20260613,24885.0,0.0
m14_confirm_unique_dup0_s20260614,P3-Persist,True,300,1500,1369372,561.218033,0.952009,0.0,0.0,0.0,0,0.0,100.0,46045.44,0.051892,217,0,0,0,2217,2,7,22583,164324.64,6832,m14_adaptive_refinement,confirm,heavy_flood,unique,0,1,0.0,True,0,200,1,20260614,24867.0,0.0
m14_confirm_unique_dup0_s20260615,P3-Persist,True,300,1500,1357785,568.586683,0.953674,0.0,0.0,0.0,0.0,0.0,100.0,45843.84,0.048323,194,0,0,0,2183,2,9,22520,162934.2,6832,m14_adaptive_refinement,confirm,heavy_flood,unique,0,1,0.0,True,0,200,1,20260615,24794.0,0.0
m14_confirm_unique_dup0_s20260616,P3-Persist,True,300,1500,1354763,571.388865,0.952591,0,0.0,0.0,0.0,65.0,100.0,45662.4,0.051426,188,0,0,0,2170,2,6,22439,162571.56,6832,m14_adaptive_refinement,confirm,heavy_flood,unique,0,1,0.0,True,0,200,1,20260616,24704.0,0.0
m14_confirm_unique_dup0_s20260617,P3-Persist,True,300,1500,1366359,577.497464,0.953263,0.0,0.0,0.0,0,100.0,100.0,45259.2,0.052377,211,0,0,0,2139,1,10,22660,163963.08,6832,m14_adaptive_refinement,confirm,heavy_flood,unique,0,1,0.0,True,0,200,1,20260617,24905.0,0.0
m14_confirm_unique_dup0_s20260620,P3-Persist,True,300,1500,1364347,559.387864,0.959103,0,0.0,0.0,0,100.0,100.0,46025.28,0.047582,207,0,0,0,2207,6,4,22729,163721.64,6832,m14_adaptive_refinement,confirm,heavy_flood,unique,0,1,0.0,True,0,200,1,20260620,25012.0,0.0
m14_confirm_unique_dup0_s20260618,P3-Persist,True,300,1500,1356780,572.481013,0.952955,0.0,0.0,0.0,0.0,100.0,100.0,45420.48,0.051468,192,0,0,0,2162,4,5,22568,162813.6,6832,m14_adaptive_refinement,confirm,heavy_flood,unique,0,1,0.0,True,0,200,1,20260618,24821.0,0.0
