m14_phase,attack_strategy,attack_addr_pool_size,attack_repeats_per_addr,attack_repeat_interval_s,unique_attack_rpa,duplicate_filter_window_s,method,n,attack_aes_amplification_mean,attack_aes_amplification_sd,attack_aes_amplification_ci95_low,attack_aes_amplification_ci95_high,legit_resolution_rate_mean,legit_resolution_rate_sd,legit_resolution_rate_ci95_low,legit_resolution_rate_ci95_high,false_defer_legit_rate_mean,false_defer_legit_rate_sd,false_defer_legit_rate_ci95_low,false_defer_legit_rate_ci95_high,reserve_grant_attack_count_mean,reserve_grant_attack_count_sd,reserve_grant_attack_count_ci95_low,reserve_grant_attack_count_ci95_high,duplicate_filter_attack_count_mean,duplicate_filter_attack_count_sd,duplicate_filter_attack_count_ci95_low,duplicate_filter_attack_count_ci95_high,dup_removable_fraction_mean,dup_removable_fraction_sd,dup_removable_fraction_ci95_low,dup_removable_fraction_ci95_high
confirm,pool224_r1_p120,224,1,120.0,False,0,P3-Persist,20,146162.016,374.763729,145986.621176,146337.410824,0.640442,0.020833,0.630692,0.650192,0.360126,0.020685,0.350445,0.369807,4984.4,3.393492,4982.811797,4985.988203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
confirm,pool224_r1_p120,224,1,120.0,False,60,P3-Persist,20,112821.408,47.211477,112799.312349,112843.503651,0.928646,0.005201,0.926213,0.93108,0.076663,0.005557,0.074063,0.079264,3326.55,18.328795,3317.97186,3335.12814,244326.95,470.723572,244106.644587,244547.255413,0.977607,4.6e-05,0.977585,0.977628
confirm,pool256_r1_p105,256,1,105.0,False,0,P3-Persist,20,146162.016,374.763729,145986.621176,146337.410824,0.640442,0.020833,0.630692,0.650192,0.360126,0.020685,0.350445,0.369807,4984.4,3.393492,4982.811797,4985.988203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
confirm,pool256_r1_p105,256,1,105.0,False,60,P3-Persist,20,129001.824,26.081183,128989.617631,129014.030369,0.928646,0.005201,0.926213,0.93108,0.076663,0.005557,0.074063,0.079264,4129.15,16.949693,4121.217299,4137.082701,243526.95,470.723572,243306.644587,243747.255413,0.974396,4.8e-05,0.974374,0.974419
confirm,pool256_r1_p120,256,1,120.0,False,0,P3-Persist,20,146162.016,374.763729,145986.621176,146337.410824,0.640442,0.020833,0.630692,0.650192,0.360126,0.020685,0.350445,0.369807,4984.4,3.393492,4982.811797,4985.988203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
confirm,pool256_r1_p120,256,1,120.0,False,60,P3-Persist,20,128962.512,49.587043,128939.304549,128985.719451,0.928646,0.005201,0.926213,0.93108,0.076663,0.005557,0.074063,0.079264,4127.2,17.031241,4119.229134,4135.170866,243526.95,470.723572,243306.644587,243747.255413,0.974403,4.6e-05,0.974381,0.974424
confirm,pool256_r1_p135,256,1,135.0,False,0,P3-Persist,20,146162.016,374.763729,145986.621176,146337.410824,0.640442,0.020833,0.630692,0.650192,0.360126,0.020685,0.350445,0.369807,4984.4,3.393492,4982.811797,4985.988203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
confirm,pool256_r1_p135,256,1,135.0,False,60,P3-Persist,20,128980.656,40.99084,128961.471696,128999.840304,0.928646,0.005201,0.926213,0.93108,0.076663,0.005557,0.074063,0.079264,4128.1,17.173725,4120.062449,4136.137551,243526.95,470.723572,243306.644587,243747.255413,0.974401,4.6e-05,0.974379,0.974422
confirm,pool256_r2_p120,256,2,120.0,False,0,P3-Persist,20,146162.016,374.763729,145986.621176,146337.410824,0.640442,0.020833,0.630692,0.650192,0.360126,0.020685,0.350445,0.369807,4984.4,3.393492,4982.811797,4985.988203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
confirm,pool256_r2_p120,256,2,120.0,False,60,P3-Persist,20,129012.912,31.690678,128998.080306,129027.743694,0.929699,0.006891,0.926474,0.932924,0.075611,0.007042,0.072316,0.078907,4286.7,15.075599,4279.644402,4293.755598,243526.95,470.723572,243306.644587,243747.255413,0.974394,5.1e-05,0.974371,0.974418
