duplicate_filter_window_s,rank,attack_strategy,n,attack_aes_amplification_mean,attack_aes_amplification_ci95_low,attack_aes_amplification_ci95_high,mean_over_cap,cap_headroom_mean,legit_resolution_rate_mean,false_defer_legit_rate_mean,dup_removable_fraction_mean,reserve_grant_attack_count_mean
0,1,pool224_r1_p120,20,146162.016,145986.621176,146337.410824,0.96668,5037.984,0.640442,0.360126,0.0,4984.4
0,2,pool256_r1_p105,20,146162.016,145986.621176,146337.410824,0.96668,5037.984,0.640442,0.360126,0.0,4984.4
0,3,pool256_r1_p120,20,146162.016,145986.621176,146337.410824,0.96668,5037.984,0.640442,0.360126,0.0,4984.4
0,4,pool256_r1_p135,20,146162.016,145986.621176,146337.410824,0.96668,5037.984,0.640442,0.360126,0.0,4984.4
0,5,pool256_r2_p120,20,146162.016,145986.621176,146337.410824,0.96668,5037.984,0.640442,0.360126,0.0,4984.4
0,6,pool320_r1_p105,20,146162.016,145986.621176,146337.410824,0.96668,5037.984,0.640442,0.360126,0.0,4984.4
0,7,pool320_r1_p120,20,146162.016,145986.621176,146337.410824,0.96668,5037.984,0.640442,0.360126,0.0,4984.4
0,8,pool320_r1_p135,20,146162.016,145986.621176,146337.410824,0.96668,5037.984,0.640442,0.360126,0.0,4984.4
0,9,pool320_r1_p75,20,146162.016,145986.621176,146337.410824,0.96668,5037.984,0.640442,0.360126,0.0,4984.4
0,10,pool320_r1_p90,20,146162.016,145986.621176,146337.410824,0.96668,5037.984,0.640442,0.360126,0.0,4984.4
0,11,unique,20,45765.216,45606.391532,45924.040468,0.30268,105434.784,0.955667,0.049741,0.0,0.0
60,1,pool320_r1_p75,20,146196.288,146018.170837,146374.405163,0.966907,5003.712,0.674902,0.325627,0.970628,4985.55
60,2,pool320_r1_p135,20,146195.28,146015.16759,146375.39241,0.9669,5004.72,0.67519,0.325339,0.970628,4985.45
60,3,pool320_r1_p90,20,146193.264,146014.001643,146372.526357,0.966887,5006.736,0.674165,0.326364,0.970629,4985.4
60,4,pool320_r1_p105,20,146192.256,146012.077917,146372.434083,0.96688,5007.744,0.673834,0.326695,0.970628,4985.35
60,5,pool320_r1_p120,20,146192.256,146012.077917,146372.434083,0.96688,5007.744,0.673232,0.327297,0.970628,4985.35
60,6,pool256_r2_p120,20,129012.912,128998.080306,129027.743694,0.85326,22187.088,0.929699,0.075611,0.974394,4286.7
60,7,pool256_r1_p105,20,129001.824,128989.617631,129014.030369,0.853187,22198.176,0.928646,0.076663,0.974396,4129.15
60,8,pool256_r1_p135,20,128980.656,128961.471696,128999.840304,0.853047,22219.344,0.928646,0.076663,0.974401,4128.1
60,9,pool256_r1_p120,20,128962.512,128939.304549,128985.719451,0.852927,22237.488,0.928646,0.076663,0.974403,4127.2
60,10,pool224_r1_p120,20,112821.408,112799.312349,112843.503651,0.746173,38378.592,0.928646,0.076663,0.977607,3326.55
60,11,unique,20,45758.16,45597.955743,45918.364257,0.302633,105441.84,0.928646,0.076663,0.0,0.0
