attack_strategy,contrast,metric,n,mean,sd,ci95_low,ci95_high
pool224_r1_p120,dup60_minus_dup0,attack_aes_amplification,20,-33340.608,403.973826,-33529.67357,-33151.54243
pool224_r1_p120,dup60_minus_dup0,legit_resolution_rate,20,0.288205,0.021532,0.278128,0.298282
pool224_r1_p120,dup60_minus_dup0,false_defer_legit_rate,20,-0.283463,0.021413,-0.293485,-0.273442
pool224_r1_p120,dup60_minus_dup0,reserve_grant_attack_count,20,-1657.85,20.51001,-1667.44898,-1648.25102
pool224_r1_p120,dup60_minus_dup0,duplicate_filter_attack_count,20,244326.95,470.723572,244106.644587,244547.255413
pool224_r1_p120,dup60_minus_dup0,dup_removable_fraction,20,0.977607,4.6e-05,0.977585,0.977628
pool256_r1_p105,dup60_minus_dup0,attack_aes_amplification,20,-17160.192,374.00382,-17335.231176,-16985.152824
pool256_r1_p105,dup60_minus_dup0,legit_resolution_rate,20,0.288205,0.021532,0.278128,0.298282
pool256_r1_p105,dup60_minus_dup0,false_defer_legit_rate,20,-0.283463,0.021413,-0.293485,-0.273442
pool256_r1_p105,dup60_minus_dup0,reserve_grant_attack_count,20,-855.25,19.064641,-864.172527,-846.327473
pool256_r1_p105,dup60_minus_dup0,duplicate_filter_attack_count,20,243526.95,470.723572,243306.644587,243747.255413
pool256_r1_p105,dup60_minus_dup0,dup_removable_fraction,20,0.974396,4.8e-05,0.974374,0.974419
pool256_r1_p120,dup60_minus_dup0,attack_aes_amplification,20,-17199.504,375.811077,-17375.388998,-17023.619002
pool256_r1_p120,dup60_minus_dup0,legit_resolution_rate,20,0.288205,0.021532,0.278128,0.298282
pool256_r1_p120,dup60_minus_dup0,false_defer_legit_rate,20,-0.283463,0.021413,-0.293485,-0.273442
pool256_r1_p120,dup60_minus_dup0,reserve_grant_attack_count,20,-857.2,19.09147,-866.135083,-848.264917
pool256_r1_p120,dup60_minus_dup0,duplicate_filter_attack_count,20,243526.95,470.723572,243306.644587,243747.255413
pool256_r1_p120,dup60_minus_dup0,dup_removable_fraction,20,0.974403,4.6e-05,0.974381,0.974424
pool256_r1_p135,dup60_minus_dup0,attack_aes_amplification,20,-17181.36,377.831963,-17358.190802,-17004.529198
pool256_r1_p135,dup60_minus_dup0,legit_resolution_rate,20,0.288205,0.021532,0.278128,0.298282
pool256_r1_p135,dup60_minus_dup0,false_defer_legit_rate,20,-0.283463,0.021413,-0.293485,-0.273442
pool256_r1_p135,dup60_minus_dup0,reserve_grant_attack_count,20,-856.3,19.287574,-865.326863,-847.273137
pool256_r1_p135,dup60_minus_dup0,duplicate_filter_attack_count,20,243526.95,470.723572,243306.644587,243747.255413
pool256_r1_p135,dup60_minus_dup0,dup_removable_fraction,20,0.974401,4.6e-05,0.974379,0.974422
pool256_r2_p120,dup60_minus_dup0,attack_aes_amplification,20,-17149.104,367.872395,-17321.273581,-16976.934419
pool256_r2_p120,dup60_minus_dup0,legit_resolution_rate,20,0.289257,0.022857,0.27856,0.299954
pool256_r2_p120,dup60_minus_dup0,false_defer_legit_rate,20,-0.284515,0.022674,-0.295127,-0.273903
pool256_r2_p120,dup60_minus_dup0,reserve_grant_attack_count,20,-697.7,16.983274,-705.648417,-689.751583
pool256_r2_p120,dup60_minus_dup0,duplicate_filter_attack_count,20,243526.95,470.723572,243306.644587,243747.255413
pool256_r2_p120,dup60_minus_dup0,dup_removable_fraction,20,0.974394,5.1e-05,0.974371,0.974418
pool320_r1_p105,dup60_minus_dup0,attack_aes_amplification,20,30.24,38.418311,12.259677,48.220323
pool320_r1_p105,dup60_minus_dup0,legit_resolution_rate,20,0.033393,0.015727,0.026032,0.040753
pool320_r1_p105,dup60_minus_dup0,false_defer_legit_rate,20,-0.033432,0.015722,-0.04079,-0.026074
pool320_r1_p105,dup60_minus_dup0,reserve_grant_attack_count,20,0.95,1.538112,0.230141,1.669859
pool320_r1_p105,dup60_minus_dup0,duplicate_filter_attack_count,20,241926.95,470.723572,241706.644587,242147.255413
pool320_r1_p105,dup60_minus_dup0,dup_removable_fraction,20,0.970628,8.8e-05,0.970587,0.97067
pool320_r1_p120,dup60_minus_dup0,attack_aes_amplification,20,30.24,38.418311,12.259677,48.220323
pool320_r1_p120,dup60_minus_dup0,legit_resolution_rate,20,0.03279,0.0155,0.025536,0.040044
pool320_r1_p120,dup60_minus_dup0,false_defer_legit_rate,20,-0.032829,0.015495,-0.040081,-0.025577
pool320_r1_p120,dup60_minus_dup0,reserve_grant_attack_count,20,0.95,1.538112,0.230141,1.669859
pool320_r1_p120,dup60_minus_dup0,duplicate_filter_attack_count,20,241926.95,470.723572,241706.644587,242147.255413
pool320_r1_p120,dup60_minus_dup0,dup_removable_fraction,20,0.970628,8.9e-05,0.970587,0.97067
pool320_r1_p135,dup60_minus_dup0,attack_aes_amplification,20,33.264,36.578626,16.144676,50.383324
pool320_r1_p135,dup60_minus_dup0,legit_resolution_rate,20,0.034748,0.016546,0.027005,0.042492
pool320_r1_p135,dup60_minus_dup0,false_defer_legit_rate,20,-0.034787,0.016537,-0.042527,-0.027048
pool320_r1_p135,dup60_minus_dup0,reserve_grant_attack_count,20,1.05,1.394538,0.397336,1.702664
pool320_r1_p135,dup60_minus_dup0,duplicate_filter_attack_count,20,241926.95,470.723572,241706.644587,242147.255413
pool320_r1_p135,dup60_minus_dup0,dup_removable_fraction,20,0.970628,8.9e-05,0.970587,0.97067
pool320_r1_p75,dup60_minus_dup0,attack_aes_amplification,20,34.272,34.672239,18.044893,50.499107
pool320_r1_p75,dup60_minus_dup0,legit_resolution_rate,20,0.03446,0.015606,0.027156,0.041764
pool320_r1_p75,dup60_minus_dup0,false_defer_legit_rate,20,-0.034499,0.015597,-0.041799,-0.027199
pool320_r1_p75,dup60_minus_dup0,reserve_grant_attack_count,20,1.15,1.386969,0.500878,1.799122
pool320_r1_p75,dup60_minus_dup0,duplicate_filter_attack_count,20,241926.95,470.723572,241706.644587,242147.255413
pool320_r1_p75,dup60_minus_dup0,dup_removable_fraction,20,0.970628,8.9e-05,0.970587,0.97067
pool320_r1_p90,dup60_minus_dup0,attack_aes_amplification,20,31.248,37.843302,13.53679,48.95921
pool320_r1_p90,dup60_minus_dup0,legit_resolution_rate,20,0.033723,0.015651,0.026398,0.041048
pool320_r1_p90,dup60_minus_dup0,false_defer_legit_rate,20,-0.033762,0.015645,-0.041084,-0.02644
pool320_r1_p90,dup60_minus_dup0,reserve_grant_attack_count,20,1.0,1.521772,0.287789,1.712211
pool320_r1_p90,dup60_minus_dup0,duplicate_filter_attack_count,20,241926.95,470.723572,241706.644587,242147.255413
pool320_r1_p90,dup60_minus_dup0,dup_removable_fraction,20,0.970629,8.7e-05,0.970588,0.97067
unique,dup60_minus_dup0,attack_aes_amplification,20,-7.056,15.022422,-14.08671,-0.02529
unique,dup60_minus_dup0,legit_resolution_rate,20,-0.02702,0.004851,-0.029291,-0.02475
unique,dup60_minus_dup0,false_defer_legit_rate,20,0.026922,0.005007,0.024578,0.029265
unique,dup60_minus_dup0,reserve_grant_attack_count,20,0.0,0.0,0.0,0.0
unique,dup60_minus_dup0,duplicate_filter_attack_count,20,0.0,0.0,0.0,0.0
unique,dup60_minus_dup0,dup_removable_fraction,20,0.0,0.0,0.0,0.0
