attack_strategy,duplicate_filter_window_s,contrast,metric,n,mean,sd,ci95_low,ci95_high
pool320_r1_p105,0,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,100513.728,66.89514,100482.420111,100545.035889
pool320_r1_p105,0,P3-Persist_minus_BudgetDoS,legit_resolution_rate,20,0.074122,0.07707,0.038052,0.110191
pool320_r1_p105,0,P3-Persist_minus_BudgetDoS,false_defer_legit_rate,20,-0.073554,0.076933,-0.109559,-0.037548
pool320_r1_p105,0,P3-Persist_minus_BudgetDoS,reserve_grant_attack_count,20,4984.4,3.393492,4982.811797,4985.988203
pool320_r1_p105,0,P3-Persist_minus_BudgetDoS,duplicate_filter_attack_count,20,0.0,0.0,0.0,0.0
pool320_r1_p105,0,P3-Persist_minus_BudgetDoS,dup_removable_fraction,20,0.0,0.0,0.0,0.0
pool320_r1_p105,60,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,100548.0,81.300453,100509.950217,100586.049783
pool320_r1_p105,60,P3-Persist_minus_BudgetDoS,legit_resolution_rate,20,0.595043,0.026425,0.582676,0.607411
pool320_r1_p105,60,P3-Persist_minus_BudgetDoS,false_defer_legit_rate,20,-0.594515,0.026335,-0.60684,-0.582189
pool320_r1_p105,60,P3-Persist_minus_BudgetDoS,reserve_grant_attack_count,20,4985.35,3.923948,4983.513536,4987.186464
pool320_r1_p105,60,P3-Persist_minus_BudgetDoS,duplicate_filter_attack_count,20,0.0,0.0,0.0,0.0
pool320_r1_p105,60,P3-Persist_minus_BudgetDoS,dup_removable_fraction,20,0.002638,6.4e-05,0.002608,0.002668
pool320_r1_p120,0,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,100513.728,66.89514,100482.420111,100545.035889
pool320_r1_p120,0,P3-Persist_minus_BudgetDoS,legit_resolution_rate,20,0.074122,0.07707,0.038052,0.110191
pool320_r1_p120,0,P3-Persist_minus_BudgetDoS,false_defer_legit_rate,20,-0.073554,0.076933,-0.109559,-0.037548
pool320_r1_p120,0,P3-Persist_minus_BudgetDoS,reserve_grant_attack_count,20,4984.4,3.393492,4982.811797,4985.988203
pool320_r1_p120,0,P3-Persist_minus_BudgetDoS,duplicate_filter_attack_count,20,0.0,0.0,0.0,0.0
pool320_r1_p120,0,P3-Persist_minus_BudgetDoS,dup_removable_fraction,20,0.0,0.0,0.0,0.0
pool320_r1_p120,60,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,100548.0,81.300453,100509.950217,100586.049783
pool320_r1_p120,60,P3-Persist_minus_BudgetDoS,legit_resolution_rate,20,0.594441,0.025724,0.582402,0.60648
pool320_r1_p120,60,P3-Persist_minus_BudgetDoS,false_defer_legit_rate,20,-0.593912,0.025629,-0.605907,-0.581917
pool320_r1_p120,60,P3-Persist_minus_BudgetDoS,reserve_grant_attack_count,20,4985.35,3.923948,4983.513536,4987.186464
pool320_r1_p120,60,P3-Persist_minus_BudgetDoS,duplicate_filter_attack_count,20,0.0,0.0,0.0,0.0
pool320_r1_p120,60,P3-Persist_minus_BudgetDoS,dup_removable_fraction,20,0.002638,6.4e-05,0.002608,0.002668
pool320_r1_p135,0,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,100513.728,66.89514,100482.420111,100545.035889
pool320_r1_p135,0,P3-Persist_minus_BudgetDoS,legit_resolution_rate,20,0.074122,0.07707,0.038052,0.110191
pool320_r1_p135,0,P3-Persist_minus_BudgetDoS,false_defer_legit_rate,20,-0.073554,0.076933,-0.109559,-0.037548
pool320_r1_p135,0,P3-Persist_minus_BudgetDoS,reserve_grant_attack_count,20,4984.4,3.393492,4982.811797,4985.988203
pool320_r1_p135,0,P3-Persist_minus_BudgetDoS,duplicate_filter_attack_count,20,0.0,0.0,0.0,0.0
pool320_r1_p135,0,P3-Persist_minus_BudgetDoS,dup_removable_fraction,20,0.0,0.0,0.0,0.0
pool320_r1_p135,60,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,100551.024,77.743016,100514.639149,100587.408851
pool320_r1_p135,60,P3-Persist_minus_BudgetDoS,legit_resolution_rate,20,0.596399,0.027187,0.583676,0.609123
pool320_r1_p135,60,P3-Persist_minus_BudgetDoS,false_defer_legit_rate,20,-0.59587,0.027132,-0.608568,-0.583172
pool320_r1_p135,60,P3-Persist_minus_BudgetDoS,reserve_grant_attack_count,20,4985.45,3.748333,4983.695726,4987.204274
pool320_r1_p135,60,P3-Persist_minus_BudgetDoS,duplicate_filter_attack_count,20,0.0,0.0,0.0,0.0
pool320_r1_p135,60,P3-Persist_minus_BudgetDoS,dup_removable_fraction,20,0.002638,6.4e-05,0.002608,0.002668
pool320_r1_p75,0,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,100513.728,66.89514,100482.420111,100545.035889
pool320_r1_p75,0,P3-Persist_minus_BudgetDoS,legit_resolution_rate,20,0.074122,0.07707,0.038052,0.110191
pool320_r1_p75,0,P3-Persist_minus_BudgetDoS,false_defer_legit_rate,20,-0.073554,0.076933,-0.109559,-0.037548
pool320_r1_p75,0,P3-Persist_minus_BudgetDoS,reserve_grant_attack_count,20,4984.4,3.393492,4982.811797,4985.988203
pool320_r1_p75,0,P3-Persist_minus_BudgetDoS,duplicate_filter_attack_count,20,0.0,0.0,0.0,0.0
pool320_r1_p75,0,P3-Persist_minus_BudgetDoS,dup_removable_fraction,20,0.0,0.0,0.0,0.0
pool320_r1_p75,60,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,100552.032,77.969682,100515.541065,100588.522935
pool320_r1_p75,60,P3-Persist_minus_BudgetDoS,legit_resolution_rate,20,0.596111,0.027157,0.583401,0.608821
pool320_r1_p75,60,P3-Persist_minus_BudgetDoS,false_defer_legit_rate,20,-0.595582,0.027091,-0.608261,-0.582903
pool320_r1_p75,60,P3-Persist_minus_BudgetDoS,reserve_grant_attack_count,20,4985.55,3.677456,4983.828898,4987.271102
pool320_r1_p75,60,P3-Persist_minus_BudgetDoS,duplicate_filter_attack_count,20,0.0,0.0,0.0,0.0
pool320_r1_p75,60,P3-Persist_minus_BudgetDoS,dup_removable_fraction,20,0.002638,6.4e-05,0.002608,0.002668
