run_id,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,reserve_grant_legit_p50_delay_ms,reserve_grant_legit_p95_delay_ms,reserve_grant_legit_p99_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes,suite,m14_phase,m14_scenario,attack_strategy,attack_addr_pool_size,attack_repeats_per_addr,attack_repeat_interval_s,unique_attack_rpa,duplicate_filter_window_s,persist_reserve,persist_k,seed,estimated_attack_event_count,dup_removable_fraction
m14_screen_pool128_r1_p75_s20260610,P3-Persist,True,300,1500,1840113,766.394419,0.928102,0,0,0,0,100.0,100.0,64088.64,0.079629,195,956,68,246477,2194,3,11,6,220813.56,6832,m14_adaptive_refinement,screen,heavy_flood,pool128_r1_p75,128,1,75.0,False,60,200,1,20260610,249662.0,0.987243
m14_screen_pool128_r1_p75_s20260611,P3-Persist,True,300,1500,1833055,772.137742,0.926258,0.0,0.0,0.0,0,100,100.0,64189.44,0.082716,181,956,79,246806,2179,7,9,0,219966.6,6832,m14_adaptive_refinement,screen,heavy_flood,pool128_r1_p75,128,1,75.0,False,60,200,1,20260611,249990.0,0.987263
m14_screen_pool128_r1_p75_s20260612,P3-Persist,True,300,1500,1856749,778.184828,0.927683,0.0,0.0,0.0,0.0,100.0,100.0,64149.12,0.07776,204,980,76,246471,2168,1,3,4,222809.88,6832,m14_adaptive_refinement,screen,heavy_flood,pool128_r1_p75,128,1,75.0,False,60,200,1,20260612,249657.0,0.987238
m14_screen_pool128_r1_p75_s20260613,P3-Persist,True,300,1500,1847676,751.698942,0.937095,0.0,0.0,0.0,0,100.0,100.0,64149.12,0.067861,219,947,48,247419,2224,3,5,2,221721.12,6832,m14_adaptive_refinement,screen,heavy_flood,pool128_r1_p75,128,1,75.0,False,60,200,1,20260613,250603.0,0.987295
m14_screen_pool128_r1_p75_s20260614,P3-Persist,True,300,1500,1838093,773.282709,0.927429,0,0.0,0.0,0.0,75.0,100.0,64209.6,0.076863,206,941,63,246496,2163,3,7,1,220571.16,6832,m14_adaptive_refinement,screen,heavy_flood,pool128_r1_p75,128,1,75.0,False,60,200,1,20260614,249682.0,0.98724
m14_screen_pool128_r2_p75_s20260611,P3-Persist,True,300,1500,1867831,786.786436,0.926258,0.0,0.0,0.0,0.0,100.0,100.0,63564.48,0.082716,180,1026,79,246806,2179,8,9,5,224139.72,6832,m14_adaptive_refinement,screen,heavy_flood,pool128_r2_p75,128,2,75.0,False,60,200,1,20260611,249964.0,0.987366
m14_screen_pool128_r2_p75_s20260612,P3-Persist,True,300,1500,1919749,804.25178,0.928072,0,0.0,0.0,0.0,100.0,100.0,64330.56,0.077372,202,1107,76,246471,2169,3,3,1,230369.88,6832,m14_adaptive_refinement,screen,heavy_flood,pool128_r2_p75,128,2,75.0,False,60,200,1,20260612,249663.0,0.987215
m14_screen_pool128_r2_p75_s20260610,P3-Persist,True,300,1500,1918233,798.598251,0.928489,0.0,0.0,0.0,0.0,100.0,100.0,64512.0,0.078856,192,1114,68,246477,2195,6,11,0,230187.96,6832,m14_adaptive_refinement,screen,heavy_flood,pool128_r2_p75,128,2,75.0,False,60,200,1,20260610,249677.0,0.987183
m14_screen_pool128_r2_p75_s20260613,P3-Persist,True,300,1500,1920756,781.430431,0.937095,0.0,0.0,0.0,0,100.0,100.0,64391.04,0.067861,219,1092,48,247419,2224,3,5,2,230490.72,6832,m14_adaptive_refinement,screen,heavy_flood,pool128_r2_p75,128,2,75.0,False,60,200,1,20260613,250615.0,0.987247
m14_screen_pool128_r2_p75_s20260614,P3-Persist,True,300,1500,1902604,800.422381,0.927429,0,0.0,0.0,0.0,95.0,100.0,64471.68,0.077253,202,1073,63,246496,2164,7,6,0,228312.48,6832,m14_adaptive_refinement,screen,heavy_flood,pool128_r2_p75,128,2,75.0,False,60,200,1,20260614,249694.0,0.987192
