m14_phase,attack_strategy,attack_addr_pool_size,attack_repeats_per_addr,attack_repeat_interval_s,unique_attack_rpa,duplicate_filter_window_s,method,n,attack_aes_amplification_mean,attack_aes_amplification_sd,attack_aes_amplification_ci95_low,attack_aes_amplification_ci95_high,legit_resolution_rate_mean,legit_resolution_rate_sd,legit_resolution_rate_ci95_low,legit_resolution_rate_ci95_high,false_defer_legit_rate_mean,false_defer_legit_rate_sd,false_defer_legit_rate_ci95_low,false_defer_legit_rate_ci95_high,reserve_grant_attack_count_mean,reserve_grant_attack_count_sd,reserve_grant_attack_count_ci95_low,reserve_grant_attack_count_ci95_high,duplicate_filter_attack_count_mean,duplicate_filter_attack_count_sd,duplicate_filter_attack_count_ci95_low,duplicate_filter_attack_count_ci95_high,dup_removable_fraction_mean,dup_removable_fraction_sd,dup_removable_fraction_ci95_low,dup_removable_fraction_ci95_high
screen,pool128_r1_p105,128,1,105.0,False,60,P3-Persist,5,64120.896,58.080397,64048.779662,64193.012338,0.929313,0.004404,0.923846,0.934781,0.076966,0.005561,0.070061,0.083871,954.2,15.139353,935.402011,972.997989,246733.8,408.127064,246227.043319,247240.556681,0.987269,3e-05,0.987232,0.987307
screen,pool128_r1_p120,128,1,120.0,False,60,P3-Persist,5,64084.608,36.063304,64039.829493,64129.386507,0.929313,0.004404,0.923846,0.934781,0.076966,0.005561,0.070061,0.083871,952.4,15.175638,933.556956,971.243044,246733.8,408.127064,246227.043319,247240.556681,0.987272,2.7e-05,0.987239,0.987306
screen,pool128_r1_p135,128,1,135.0,False,60,P3-Persist,5,64076.544,66.252521,63994.28063,64158.80737,0.929313,0.004404,0.923846,0.934781,0.076966,0.005561,0.070061,0.083871,952.0,18.748333,928.72087,975.27913,246733.8,408.127064,246227.043319,247240.556681,0.987269,2.8e-05,0.987234,0.987304
screen,pool128_r1_p150,128,1,150.0,False,60,P3-Persist,5,64088.64,62.137293,64011.48636,64165.79364,0.929313,0.004404,0.923846,0.934781,0.076966,0.005561,0.070061,0.083871,952.6,17.24239,931.190746,974.009254,246733.8,408.127064,246227.043319,247240.556681,0.987267,2.7e-05,0.987233,0.987301
screen,pool128_r1_p180,128,1,180.0,False,60,P3-Persist,5,64141.056,99.378781,64017.660946,64264.451054,0.929313,0.004404,0.923846,0.934781,0.076966,0.005561,0.070061,0.083871,955.2,19.253571,931.293534,979.106466,246733.8,408.127064,246227.043319,247240.556681,0.987263,3e-05,0.987226,0.9873
screen,pool128_r1_p75,128,1,75.0,False,60,P3-Persist,5,64157.184,46.411805,64099.556132,64214.811868,0.929313,0.004404,0.923846,0.934781,0.076966,0.005561,0.070061,0.083871,956.0,14.849242,937.56223,974.43777,246733.8,408.127064,246227.043319,247240.556681,0.987256,2.4e-05,0.987226,0.987286
screen,pool128_r1_p90,128,1,90.0,False,60,P3-Persist,5,64104.768,54.094957,64037.60024,64171.93576,0.929313,0.004404,0.923846,0.934781,0.076966,0.005561,0.070061,0.083871,953.4,16.133815,933.367222,973.432778,246733.8,408.127064,246227.043319,247240.556681,0.987269,2e-05,0.987245,0.987294
screen,pool128_r2_p105,128,2,105.0,False,60,P3-Persist,5,64169.28,235.10398,63877.359852,64461.200148,0.929469,0.004346,0.924073,0.934864,0.076812,0.00547,0.07002,0.083603,1081.0,21.783021,1053.952807,1108.047193,246733.8,408.127064,246227.043319,247240.556681,0.98726,4.6e-05,0.987203,0.987316
screen,pool128_r2_p120,128,2,120.0,False,60,P3-Persist,5,63915.264,255.245027,63598.33544,64232.19256,0.929469,0.004346,0.924073,0.934864,0.076812,0.00547,0.07002,0.083603,1069.2,26.845856,1035.866467,1102.533533,246733.8,408.127064,246227.043319,247240.556681,0.987301,4e-05,0.987251,0.98735
screen,pool128_r2_p135,128,2,135.0,False,60,P3-Persist,5,64294.272,139.235416,64121.388396,64467.155604,0.929469,0.004346,0.924073,0.934864,0.076812,0.00547,0.07002,0.083603,1085.2,17.922053,1062.946831,1107.453169,246733.8,408.127064,246227.043319,247240.556681,0.987234,2.9e-05,0.987198,0.98727
screen,pool128_r2_p150,128,2,150.0,False,60,P3-Persist,5,64237.824,112.787948,64097.779265,64377.868735,0.929469,0.004346,0.924073,0.934864,0.076812,0.00547,0.07002,0.083603,1082.2,20.680909,1056.52126,1107.87874,246733.8,408.127064,246227.043319,247240.556681,0.987244,3.7e-05,0.987198,0.987289
screen,pool128_r2_p180,128,2,180.0,False,60,P3-Persist,5,64241.856,200.893161,63992.414195,64491.297805,0.929469,0.004346,0.924073,0.934864,0.076812,0.00547,0.07002,0.083603,1083.6,9.528903,1071.768304,1095.431696,246733.8,408.127064,246227.043319,247240.556681,0.987244,3.8e-05,0.987197,0.98729
screen,pool128_r2_p75,128,2,75.0,False,60,P3-Persist,5,64253.952,391.799629,63767.468506,64740.435494,0.929469,0.004346,0.924073,0.934864,0.076812,0.00547,0.07002,0.083603,1082.4,35.232088,1038.653585,1126.146415,246733.8,408.127064,246227.043319,247240.556681,0.987241,7.4e-05,0.987148,0.987333
screen,pool128_r2_p90,128,2,90.0,False,60,P3-Persist,5,64419.264,48.551709,64358.97909,64479.54891,0.929469,0.004346,0.924073,0.934864,0.076812,0.00547,0.07002,0.083603,1092.2,20.079841,1067.267585,1117.132415,246733.8,408.127064,246227.043319,247240.556681,0.987212,2.7e-05,0.987178,0.987246
screen,pool128_r4_p105,128,4,105.0,False,60,P3-Persist,5,64266.048,168.911448,64056.316737,64475.779263,0.929935,0.00426,0.924645,0.935225,0.076345,0.005414,0.069622,0.083068,1286.8,25.449951,1255.199712,1318.400288,246733.8,408.127064,246227.043319,247240.556681,0.987241,4.6e-05,0.987183,0.987298
screen,pool128_r4_p120,128,4,120.0,False,60,P3-Persist,5,64092.672,154.457705,63900.887428,64284.456572,0.929935,0.00426,0.924645,0.935225,0.076345,0.005414,0.069622,0.083068,1278.8,26.366646,1246.061485,1311.538515,246733.8,408.127064,246227.043319,247240.556681,0.987272,3.8e-05,0.987226,0.987319
screen,pool128_r4_p135,128,4,135.0,False,60,P3-Persist,5,64439.424,140.831706,64264.558341,64614.289659,0.929935,0.00426,0.924645,0.935225,0.076345,0.005414,0.069622,0.083068,1294.8,24.651572,1264.191031,1325.408969,246733.8,408.127064,246227.043319,247240.556681,0.987209,4.4e-05,0.987154,0.987264
screen,pool128_r4_p150,128,4,150.0,False,60,P3-Persist,5,64435.392,149.782152,64249.412894,64621.371106,0.929935,0.00426,0.924645,0.935225,0.076345,0.005414,0.069622,0.083068,1293.2,26.789923,1259.935917,1326.464083,246733.8,408.127064,246227.043319,247240.556681,0.987211,4.8e-05,0.987151,0.987271
screen,pool128_r4_p180,128,4,180.0,False,60,P3-Persist,5,64483.776,44.168347,64428.933754,64538.618246,0.929935,0.00426,0.924645,0.935225,0.076345,0.005414,0.069622,0.083068,1297.4,19.138965,1273.635836,1321.164164,246733.8,408.127064,246227.043319,247240.556681,0.9872,2e-05,0.987175,0.987226
screen,pool128_r4_p75,128,4,75.0,False,60,P3-Persist,5,64205.568,142.124425,64029.097218,64382.038782,0.929935,0.00426,0.924645,0.935225,0.076345,0.005414,0.069622,0.083068,1281.6,25.976913,1249.345403,1313.854597,246733.8,408.127064,246227.043319,247240.556681,0.987254,3.8e-05,0.987207,0.9873
screen,pool128_r4_p90,128,4,90.0,False,60,P3-Persist,5,64278.144,201.902174,64027.44934,64528.83866,0.929935,0.00426,0.924645,0.935225,0.076345,0.005414,0.069622,0.083068,1287.6,26.349573,1254.882684,1320.317316,246733.8,408.127064,246227.043319,247240.556681,0.987236,3.1e-05,0.987197,0.987275
screen,pool160_r1_p105,160,1,105.0,False,60,P3-Persist,5,80422.272,62.787963,80344.310447,80500.233553,0.929313,0.004404,0.923846,0.934781,0.076966,0.005561,0.070061,0.083871,1736.8,21.158922,1710.527728,1763.072272,245933.8,408.127064,245427.043319,246440.556681,0.984035,3.4e-05,0.983993,0.984077
screen,pool160_r1_p120,160,1,120.0,False,60,P3-Persist,5,80454.528,50.197995,80392.198957,80516.857043,0.929313,0.004404,0.923846,0.934781,0.076966,0.005561,0.070061,0.083871,1738.4,19.295077,1714.441997,1762.358003,245933.8,408.127064,245427.043319,246440.556681,0.98403,3.4e-05,0.983987,0.984072
screen,pool160_r1_p135,160,1,135.0,False,60,P3-Persist,5,80454.528,26.285424,80421.890335,80487.165665,0.929313,0.004404,0.923846,0.934781,0.076966,0.005561,0.070061,0.083871,1738.4,19.256168,1714.49031,1762.30969,245933.8,408.127064,245427.043319,246440.556681,0.984027,2.8e-05,0.983992,0.984063
screen,pool160_r1_p150,160,1,150.0,False,60,P3-Persist,5,80454.528,38.778534,80406.37809,80502.67791,0.929313,0.004404,0.923846,0.934781,0.076966,0.005561,0.070061,0.083871,1738.4,19.705329,1713.932602,1762.867398,245933.8,408.127064,245427.043319,246440.556681,0.984029,3.2e-05,0.98399,0.984068
screen,pool160_r1_p180,160,1,180.0,False,60,P3-Persist,5,80478.72,49.381713,80417.404505,80540.035495,0.929313,0.004404,0.923846,0.934781,0.076966,0.005561,0.070061,0.083871,1739.6,18.146625,1717.067989,1762.132011,245933.8,408.127064,245427.043319,246440.556681,0.984023,2.1e-05,0.983997,0.984049
screen,pool160_r1_p75,160,1,75.0,False,60,P3-Persist,5,80446.464,46.411805,80388.836132,80504.091868,0.929313,0.004404,0.923846,0.934781,0.076966,0.005561,0.070061,0.083871,1738.0,18.261982,1715.324754,1760.675246,245933.8,408.127064,245427.043319,246440.556681,0.98403,3.2e-05,0.98399,0.984069
screen,pool160_r1_p90,160,1,90.0,False,60,P3-Persist,5,80478.72,57.021091,80407.918964,80549.521036,0.929313,0.004404,0.923846,0.934781,0.076966,0.005561,0.070061,0.083871,1739.6,16.562005,1719.035555,1760.164445,245933.8,408.127064,245427.043319,246440.556681,0.984022,2.4e-05,0.983993,0.984052
