suite,run_id,num_bonded,rl_capacity,background_rpa_rate_per_min,attack_rpa_rate_per_min,active_skew,rpa_rotation_interval_min,rssi_noise_db,seed,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes
ablation,m3abl_base_s20260530,128,8,100.0,0.0,1.1,15,6.0,20260530,ZephyrCache,True,60,240,49801,498.01,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,95,4,0,0,5976.12,1024
ablation,m3abl_base_s20260530,128,8,100.0,0.0,1.1,15,6.0,20260530,Freq-RL,True,60,240,53228,532.28,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,32,0,0,6387.36,1056
ablation,m3abl_base_s20260530,128,8,100.0,0.0,1.1,15,6.0,20260530,BudgetDoS,True,60,240,48070,500.729167,0.96,0.0,0.0,0.0,0.0,0.04,0,0,0,0,0,26,4,0,5768.4,1120
ablation,m3abl_base_s20260530,128,8,100.0,0.0,1.1,15,6.0,20260530,P3-NoPersist,True,60,240,46800,468.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,95,5,0,0,5616.0,2160
ablation,m3abl_base_s20260530,128,8,100.0,0.0,1.1,15,6.0,20260530,P3-NoCache,True,60,240,48070,500.729167,0.96,0.0,0.0,5.0,0.0,0.05,0,0,0,0,0,26,0,0,5768.4,1136
ablation,m3abl_base_s20260530,128,8,100.0,0.0,1.1,15,6.0,20260530,P3-NoBudget,True,60,240,49920,499.2,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,95,5,0,0,5990.4,2096
ablation,m3abl_base_s20260530,128,8,100.0,0.0,1.1,15,6.0,20260530,P3-NoTrust,True,60,240,46800,468.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,95,5,0,0,5616.0,2144
ablation,m3abl_base_s20260530,128,8,100.0,0.0,1.1,15,6.0,20260530,P3-NoRL,True,60,240,46801,468.01,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,95,4,0,0,5616.12,1104
ablation,m3abl_base_s20260531,128,8,100.0,0.0,1.1,15,6.0,20260531,ZephyrCache,True,60,240,49081,495.767677,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,87,11,0,0,5889.72,1024
ablation,m3abl_base_s20260531,128,8,100.0,0.0,1.1,15,6.0,20260531,Freq-RL,True,60,240,51429,519.484848,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,30,0,0,6171.48,1056
ablation,m3abl_base_s20260531,128,8,100.0,0.0,1.1,15,6.0,20260531,BudgetDoS,True,60,240,48069,490.5,0.989899,0.0,0.0,0.0,0.0,0.010101,0,0,0,0,0,29,1,0,5768.28,1120
ablation,m3abl_base_s20260531,128,8,100.0,0.0,1.1,15,6.0,20260531,P3-NoPersist,True,60,240,47640,481.212121,1.0,0,0.0,100.0,0.0,0.030303,0,0,0,0,87,12,0,0,5716.8,2160
