suite,run_id,num_bonded,rl_capacity,background_rpa_rate_per_min,attack_rpa_rate_per_min,active_skew,rpa_rotation_interval_min,rssi_noise_db,seed,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes
p0,m3p0_nb16_rl8_atk0_s20260530,16,8,100.0,0.0,1.1,15,6.0,20260530,FullScan-Host,True,60,240,6331,575.545455,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,759.72,0
p0,m3p0_nb16_rl8_atk0_s20260530,16,8,100.0,0.0,1.1,15,6.0,20260530,StaticRL,True,60,240,3171,288.272727,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,380.52,0
p0,m3p0_nb16_rl8_atk0_s20260530,16,8,100.0,0.0,1.1,15,6.0,20260530,ZephyrCache,True,60,240,3161,287.363636,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,10,0,0,0,379.32,1024
p0,m3p0_nb16_rl8_atk0_s20260530,16,8,100.0,0.0,1.1,15,6.0,20260530,LRU-RL,True,60,240,3171,288.272727,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,380.52,160
p0,m3p0_nb16_rl8_atk0_s20260530,16,8,100.0,0.0,1.1,15,6.0,20260530,Freq-RL,True,60,240,3171,288.272727,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,380.52,160
p0,m3p0_nb16_rl8_atk0_s20260530,16,8,100.0,0.0,1.1,15,6.0,20260530,TrustOnly,True,60,240,3171,288.272727,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,380.52,176
p0,m3p0_nb16_rl8_atk0_s20260530,16,8,100.0,0.0,1.1,15,6.0,20260530,BudgetDoS,True,60,240,3099,281.727273,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,371.88,224
p0,m3p0_nb16_rl8_atk0_s20260530,16,8,100.0,0.0,1.1,15,6.0,20260530,P3-NoPersist,True,60,240,3089,280.818182,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,10,0,0,0,370.68,1264
p0,m3p0_nb16_rl8_atk0_s20260531,16,8,100.0,0.0,1.1,15,6.0,20260531,FullScan-Host,True,60,240,6127,408.466667,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,735.24,0
p0,m3p0_nb16_rl8_atk0_s20260531,16,8,100.0,0.0,1.1,15,6.0,20260531,StaticRL,True,60,240,3071,204.733333,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,368.52,0
p0,m3p0_nb16_rl8_atk0_s20260531,16,8,100.0,0.0,1.1,15,6.0,20260531,ZephyrCache,True,60,240,3057,203.8,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,14,0,0,0,366.84,1024
p0,m3p0_nb16_rl8_atk0_s20260531,16,8,100.0,0.0,1.1,15,6.0,20260531,LRU-RL,True,60,240,3071,204.733333,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,368.52,160
