suite,run_id,num_bonded,rl_capacity,background_rpa_rate_per_min,attack_rpa_rate_per_min,active_skew,rpa_rotation_interval_min,rssi_noise_db,seed,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes
m3_persist_bonded_scale,m3persist_bonded_nb16_rl8_atk0_s20260530,16,8,100.0,0.0,1.1,15,6.0,20260530,P3-Persist,True,60,240,3089,280.818182,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,10,0,0,0,370.68,2864
m3_persist_bonded_scale,m3persist_bonded_nb16_rl8_atk0_s20260531,16,8,100.0,0.0,1.1,15,6.0,20260531,P3-Persist,True,60,240,3057,203.8,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,14,0,0,0,366.84,2864
m3_persist_bonded_scale,m3persist_bonded_nb16_rl8_atk0_s20260601,16,8,100.0,0.0,1.1,15,6.0,20260601,P3-Persist,True,60,240,3016,301.6,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,10,0,0,0,361.92,2864
m3_persist_bonded_scale,m3persist_bonded_nb16_rl8_atk0_s20260602,16,8,100.0,0.0,1.1,15,6.0,20260602,P3-Persist,True,60,240,3138,348.666667,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,7,0,0,0,376.56,2864
m3_persist_bonded_scale,m3persist_bonded_nb16_rl8_atk0_s20260603,16,8,100.0,0.0,1.1,15,6.0,20260603,P3-Persist,True,60,240,2960,269.090909,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,11,0,0,0,355.2,2864
m3_persist_bonded_scale,m3persist_bonded_nb32_rl8_atk0_s20260530,32,8,100.0,0.0,1.1,15,6.0,20260530,P3-Persist,True,60,240,8928,405.818182,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,22,0,0,0,1071.36,2992
m3_persist_bonded_scale,m3persist_bonded_nb32_rl8_atk0_s20260531,32,8,100.0,0.0,1.1,15,6.0,20260531,P3-Persist,True,60,240,9145,435.47619,1.0,0,0,0.0,0.0,0.0,0,0,0,0,20,0,0,0,1097.4,2992
m3_persist_bonded_scale,m3persist_bonded_nb32_rl8_atk0_s20260601,32,8,100.0,0.0,1.1,15,6.0,20260601,P3-Persist,True,60,240,9243,401.869565,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0,0,1109.16,2992
m3_persist_bonded_scale,m3persist_bonded_nb32_rl8_atk0_s20260602,32,8,100.0,0.0,1.1,15,6.0,20260602,P3-Persist,True,60,240,9385,493.947368,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,18,0,0,0,1126.2,2992
m3_persist_bonded_scale,m3persist_bonded_nb32_rl8_atk0_s20260603,32,8,100.0,0.0,1.1,15,6.0,20260603,P3-Persist,True,60,240,8306,307.62963,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,25,0,0,0,996.72,2992
