suite,run_id,num_bonded,rl_capacity,background_rpa_rate_per_min,attack_rpa_rate_per_min,active_skew,rpa_rotation_interval_min,rssi_noise_db,seed,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes
m3_persist_rl_capacity,m3persist_rlcap_nb128_rl8_atk1000_s20260530,128,8,100.0,1000.0,1.1,15,6.0,20260530,P3-Persist,True,60,240,48722,587.012048,0.85567,0,0.0,0.0,10980.0,0.14433,6,0,0,0,74,1,2,347,5846.64,3760
m3_persist_rl_capacity,m3persist_rlcap_nb128_rl8_atk1000_s20260531,128,8,100.0,1000.0,1.1,15,6.0,20260531,P3-Persist,True,60,240,48841,469.625,0.896552,0.0,0.0,0.0,10860.0,0.103448,7,0,0,0,96,0,0,344,5860.92,3760
m3_persist_rl_capacity,m3persist_rlcap_nb128_rl8_atk1000_s20260601,128,8,100.0,1000.0,1.1,15,6.0,20260601,P3-Persist,True,60,240,48840,588.433735,0.873684,0,0.0,18.0,10950.0,0.136842,7,0,0,0,74,2,1,335,5860.8,3760
m3_persist_rl_capacity,m3persist_rlcap_nb128_rl8_atk1000_s20260602,128,8,100.0,1000.0,1.1,15,6.0,20260602,P3-Persist,True,60,240,49080,490.8,0.900901,0.0,0.0,0.0,10800.0,0.099099,9,0,0,0,89,2,1,305,5889.6,3760
m3_persist_rl_capacity,m3persist_rlcap_nb128_rl8_atk1000_s20260603,128,8,100.0,1000.0,1.1,15,6.0,20260603,P3-Persist,True,60,240,48961,494.555556,0.9,0,0.0,0.0,10770.0,0.1,8,0,0,0,87,3,0,341,5875.32,3760
m3_persist_rl_capacity,m3persist_rlcap_nb128_rl16_atk1000_s20260530,128,16,100.0,1000.0,1.1,15,6.0,20260530,P3-Persist,True,60,240,44921,499.122222,0.927835,0.0,0.0,0.0,10248.0,0.072165,1,0,0,0,79,1,1,347,5390.52,3792
m3_persist_rl_capacity,m3persist_rlcap_nb128_rl16_atk1000_s20260531,128,16,100.0,1000.0,1.1,15,6.0,20260531,P3-Persist,True,60,240,45363,427.95283,0.913793,0.0,0.0,0.0,10136.0,0.086207,5,0,0,0,98,0,0,344,5443.56,3792
m3_persist_rl_capacity,m3persist_rlcap_nb128_rl16_atk1000_s20260601,128,16,100.0,1000.0,1.1,15,6.0,20260601,P3-Persist,True,60,240,45364,533.694118,0.894737,0,0.0,16.0,10248.0,0.115789,5,0,0,0,76,0,0,335,5443.68,3792
m3_persist_rl_capacity,m3persist_rlcap_nb128_rl16_atk1000_s20260602,128,16,100.0,1000.0,1.1,15,6.0,20260602,P3-Persist,True,60,240,45249,448.009901,0.90991,0,0,0,10080.0,0.09009,4,0,0,0,94,2,1,305,5429.88,3792
m3_persist_rl_capacity,m3persist_rlcap_nb128_rl16_atk1000_s20260603,128,16,100.0,1000.0,1.1,15,6.0,20260603,P3-Persist,True,60,240,45139,446.920792,0.918182,0,0,0,10052.0,0.081818,3,0,0,0,92,3,0,341,5416.68,3792
m3_persist_rl_capacity,m3persist_rlcap_nb128_rl32_atk1000_s20260530,128,32,100.0,1000.0,1.1,15,6.0,20260530,P3-Persist,True,60,240,38417,396.051546,1.0,0,0.0,0.0,8808.0,0.0,0,0,0,0,80,0,0,347,4610.04,3856
m3_persist_rl_capacity,m3persist_rlcap_nb128_rl32_atk1000_s20260531,128,32,100.0,1000.0,1.1,15,6.0,20260531,P3-Persist,True,60,240,38413,331.146552,1.0,0.0,0.0,0.0,8688.0,0.0,0,0,0,0,103,0,0,344,4609.56,3856
m3_persist_rl_capacity,m3persist_rlcap_nb128_rl32_atk1000_s20260601,128,32,100.0,1000.0,1.1,15,6.0,20260601,P3-Persist,True,60,240,38414,404.357895,1.0,0,0.0,0.0,8784.0,0.0,0,0,0,0,81,0,0,335,4609.68,3856
m3_persist_rl_capacity,m3persist_rlcap_nb128_rl32_atk1000_s20260602,128,32,100.0,1000.0,1.1,15,6.0,20260602,P3-Persist,True,60,240,38411,346.045045,1.0,0,0.0,0.0,8664.0,0.0,0,0,0,0,100,0,0,305,4609.32,3856
m3_persist_rl_capacity,m3persist_rlcap_nb128_rl32_atk1000_s20260603,128,32,100.0,1000.0,1.1,15,6.0,20260603,P3-Persist,True,60,240,38412,349.2,1.0,0.0,0.0,0.0,8688.0,0.0,0,0,0,0,98,0,0,341,4609.44,3856
m3_persist_rl_capacity,m3persist_rlcap_nb512_rl8_atk1000_s20260530,512,8,100.0,1000.0,1.1,15,6.0,20260530,P3-Persist,True,60,240,219744,607.027624,0.89604,0.0,0.0,0.0,45864.0,0.111386,36,0,0,0,324,2,5,313,26369.28,6832
m3_persist_rl_capacity,m3persist_rlcap_nb512_rl8_atk1000_s20260531,512,8,100.0,1000.0,1.1,15,6.0,20260531,P3-Persist,True,60,240,217224,622.418338,0.908854,0,0.0,52.0,45234.0,0.101562,31,0,0,0,312,6,3,371,26066.88,6832
m3_persist_rl_capacity,m3persist_rlcap_nb512_rl8_atk1000_s20260601,512,8,100.0,1000.0,1.1,15,6.0,20260601,P3-Persist,True,60,240,217728,599.801653,0.909774,0,0.0,100.0,43974.0,0.102757,32,0,0,0,321,10,4,334,26127.36,6832
m3_persist_rl_capacity,m3persist_rlcap_nb512_rl8_atk1000_s20260602,512,8,100.0,1000.0,1.1,15,6.0,20260602,P3-Persist,True,60,240,215208,583.219512,0.904412,0,0.0,0.0,44730.0,0.10049,27,0,0,0,331,11,0,332,25824.96,6832
m3_persist_rl_capacity,m3persist_rlcap_nb512_rl8_atk1000_s20260603,512,8,100.0,1000.0,1.1,15,6.0,20260603,P3-Persist,True,60,240,217728,648.0,0.900804,0.0,0.0,0.0,44856.0,0.107239,32,0,0,0,297,7,1,319,26127.36,6832
m3_persist_rl_capacity,m3persist_rlcap_nb512_rl16_atk1000_s20260530,512,16,100.0,1000.0,1.1,15,6.0,20260530,P3-Persist,True,60,240,215760,596.022099,0.89604,0.0,0.0,0.0,45260.0,0.111386,35,0,0,0,326,1,5,313,25891.2,6864
m3_persist_rl_capacity,m3persist_rlcap_nb512_rl16_atk1000_s20260531,512,16,100.0,1000.0,1.1,15,6.0,20260531,P3-Persist,True,60,240,212784,609.696275,0.908854,0,0.0,52.0,44516.0,0.101562,29,0,0,0,314,6,3,371,25534.08,6864
m3_persist_rl_capacity,m3persist_rlcap_nb512_rl16_atk1000_s20260601,512,16,100.0,1000.0,1.1,15,6.0,20260601,P3-Persist,True,60,240,213776,588.914601,0.909774,0,0.0,38.0,43276.0,0.100251,31,0,0,0,322,10,4,334,25653.12,6864
m3_persist_rl_capacity,m3persist_rlcap_nb512_rl16_atk1000_s20260602,512,16,100.0,1000.0,1.1,15,6.0,20260602,P3-Persist,True,60,240,210800,571.273713,0.904412,0,0.0,0.0,44144.0,0.10049,25,0,0,0,334,10,0,332,25296.0,6864
m3_persist_rl_capacity,m3persist_rlcap_nb512_rl16_atk1000_s20260603,512,16,100.0,1000.0,1.1,15,6.0,20260603,P3-Persist,True,60,240,213776,636.238095,0.900804,0.0,0.0,0.0,44392.0,0.107239,31,0,0,0,300,5,1,319,25653.12,6864
m3_persist_rl_capacity,m3persist_rlcap_nb512_rl32_atk1000_s20260530,512,32,100.0,1000.0,1.1,15,6.0,20260530,P3-Persist,True,60,240,205442,564.401099,0.90099,0.0,0.0,0.0,43800.0,0.101485,28,0,0,0,333,1,5,313,24653.04,6928
m3_persist_rl_capacity,m3persist_rlcap_nb512_rl32_atk1000_s20260531,512,32,100.0,1000.0,1.1,15,6.0,20260531,P3-Persist,True,60,240,203521,581.488571,0.911458,0.0,0.0,0.0,43440.0,0.096354,24,0,0,0,322,3,3,371,24422.52,6928
m3_persist_rl_capacity,m3persist_rlcap_nb512_rl32_atk1000_s20260601,512,32,100.0,1000.0,1.1,15,6.0,20260601,P3-Persist,True,60,240,203042,556.279452,0.914787,0,0.0,0.0,42000.0,0.092732,23,0,0,0,331,9,3,334,24365.04,6928
m3_persist_rl_capacity,m3persist_rlcap_nb512_rl32_atk1000_s20260602,512,32,100.0,1000.0,1.1,15,6.0,20260602,P3-Persist,True,60,240,202081,547.644986,0.904412,0,0.0,0.0,43200.0,0.10049,21,0,0,0,341,6,0,331,24249.72,6928
