suite,run_id,num_bonded,rl_capacity,background_rpa_rate_per_min,attack_rpa_rate_per_min,active_skew,rpa_rotation_interval_min,rssi_noise_db,seed,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260530,128,8,0,1000.0,1.1,15,6.0,20260530,FullScan-Host,True,60,240,523220,4671.607143,1.0,0.0,0.0,0.0,129888.0,0.0,0,0,0,0,0,28,0,0,62786.4,0
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260530,128,8,0,1000.0,1.1,15,6.0,20260530,StaticRL,True,60,240,490524,4379.678571,1.0,0.0,0.0,0.0,121770.0,0.0,0,0,0,0,0,28,0,0,58862.88,0
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260530,128,8,0,1000.0,1.1,15,6.0,20260530,ZephyrCache,True,60,240,488161,4358.580357,1.0,0.0,0.0,0.0,121770.0,0.0,0,0,0,0,102,9,0,0,58579.32,1024
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260530,128,8,0,1000.0,1.1,15,6.0,20260530,LRU-RL,True,60,240,491595,4389.241071,1.0,0.0,0.0,0.0,121770.0,0.0,0,0,0,0,0,37,0,0,58991.4,1056
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260530,128,8,0,1000.0,1.1,15,6.0,20260530,Freq-RL,True,60,240,491119,4384.991071,1.0,0.0,0.0,0.0,121770.0,0.0,0,0,0,0,0,33,0,0,58934.28,1056
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260530,128,8,0,1000.0,1.1,15,6.0,20260530,TrustOnly,True,60,240,491595,4389.241071,1.0,0.0,0.0,0.0,121770.0,0.0,0,0,0,0,0,37,0,0,58991.4,1072
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260530,128,8,0,1000.0,1.1,15,6.0,20260530,BudgetDoS,True,60,240,48073,632.539474,0.678571,0.0,0.0,0.0,11910.0,0.321429,0,0,0,0,0,3,36,3662,5768.76,1120
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260530,128,8,0,1000.0,1.1,15,6.0,20260530,P3-NoPersist,True,60,240,48000,600.0,0.714286,0.0,0.0,21.0,11910.0,0.294643,0,0,0,0,77,3,3,312,5760.0,2160
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260531,128,8,0,1000.0,1.1,15,6.0,20260531,FullScan-Host,True,60,240,519881,5530.648936,1.0,0.0,0.0,0.0,129280.0,0.0,0,0,0,0,0,21,0,0,62385.72,0
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260531,128,8,0,1000.0,1.1,15,6.0,20260531,StaticRL,True,60,240,487393,5185.031915,1.0,0.0,0.0,0.0,121200.0,0.0,0,0,0,0,0,21,0,0,58487.16,0
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260531,128,8,0,1000.0,1.1,15,6.0,20260531,ZephyrCache,True,60,240,486001,5170.223404,1.0,0.0,0.0,0.0,121200.0,0.0,0,0,0,0,83,10,0,0,58320.12,1024
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260531,128,8,0,1000.0,1.1,15,6.0,20260531,LRU-RL,True,60,240,488702,5198.957447,1.0,0.0,0.0,0.0,121200.0,0.0,0,0,0,0,0,32,0,0,58644.24,1056
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260531,128,8,0,1000.0,1.1,15,6.0,20260531,Freq-RL,True,60,240,487750,5188.829787,1.0,0.0,0.0,0.0,121200.0,0.0,0,0,0,0,0,24,0,0,58530.0,1056
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260531,128,8,0,1000.0,1.1,15,6.0,20260531,TrustOnly,True,60,240,488702,5198.957447,1.0,0.0,0.0,100.0,121200.0,0.031915,0,0,0,0,0,32,0,0,58644.24,1072
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260531,128,8,0,1000.0,1.1,15,6.0,20260531,BudgetDoS,True,60,240,48062,750.96875,0.680851,0.0,0.0,0.0,11940.0,0.319149,0,0,0,0,0,2,30,3642,5767.44,1120
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260531,128,8,0,1000.0,1.1,15,6.0,20260531,P3-NoPersist,True,60,240,48001,750.015625,0.680851,0.0,0.0,0.0,11940.0,0.319149,0,0,0,0,61,2,4,325,5760.12,2160
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260601,128,8,0,1000.0,1.1,15,6.0,20260601,FullScan-Host,True,60,240,513357,4709.697248,1.0,0,0.0,0.0,127296.0,0.0,0,0,0,0,0,32,0,0,61602.84,0
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260601,128,8,0,1000.0,1.1,15,6.0,20260601,StaticRL,True,60,240,481277,4415.385321,1.0,0,0.0,0.0,119340.0,0.0,0,0,0,0,0,32,0,0,57753.24,0
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260601,128,8,0,1000.0,1.1,15,6.0,20260601,ZephyrCache,True,60,240,478920,4393.761468,1.0,0,0.0,0.0,119340.0,0.0,0,0,0,0,96,13,0,0,57470.4,1024
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260601,128,8,0,1000.0,1.1,15,6.0,20260601,LRU-RL,True,60,240,482467,4426.302752,1.0,0,0.0,0.0,119340.0,0.0,0,0,0,0,0,42,0,0,57896.04,1056
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260601,128,8,0,1000.0,1.1,15,6.0,20260601,Freq-RL,True,60,240,481634,4418.66055,1.0,0,0.0,0.0,119340.0,0.0,0,0,0,0,0,35,0,0,57796.08,1056
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260601,128,8,0,1000.0,1.1,15,6.0,20260601,TrustOnly,True,60,240,482467,4426.302752,1.0,0,100.0,100.0,119340.0,0.082569,0,0,0,0,0,42,0,0,57896.04,1072
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260601,128,8,0,1000.0,1.1,15,6.0,20260601,BudgetDoS,True,60,240,48078,593.555556,0.743119,0,0,0.0,11910.0,0.256881,0,0,0,0,0,3,28,3581,5769.36,1120
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260601,128,8,0,1000.0,1.1,15,6.0,20260601,P3-NoPersist,True,60,240,48000,592.592593,0.743119,0,0,0.0,11940.0,0.256881,0,0,0,0,79,2,8,324,5760.0,2160
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260602,128,8,0,1000.0,1.1,15,6.0,20260602,FullScan-Host,True,60,240,513752,4628.396396,1.0,0,0.0,0.0,127680.0,0.0,0,0,0,0,0,23,0,0,61650.24,0
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260602,128,8,0,1000.0,1.1,15,6.0,20260602,StaticRL,True,60,240,481648,4339.171171,1.0,0,0.0,0.0,119700.0,0.0,0,0,0,0,0,23,0,0,57797.76,0
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260602,128,8,0,1000.0,1.1,15,6.0,20260602,ZephyrCache,True,60,240,479882,4323.261261,1.0,0,0.0,0.0,119700.0,0.0,0,0,0,0,100,9,0,0,57585.84,1024
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260602,128,8,0,1000.0,1.1,15,6.0,20260602,LRU-RL,True,60,240,482838,4349.891892,1.0,0,0.0,0.0,119700.0,0.0,0,0,0,0,0,33,0,0,57940.56,1056
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260602,128,8,0,1000.0,1.1,15,6.0,20260602,Freq-RL,True,60,240,482719,4348.81982,1.0,0,0.0,0.0,119700.0,0.0,0,0,0,0,0,32,0,0,57926.28,1056
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260602,128,8,0,1000.0,1.1,15,6.0,20260602,TrustOnly,True,60,240,482838,4349.891892,1.0,0,0.0,0.0,119700.0,0.0,0,0,0,0,0,33,0,0,57940.56,1072
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260602,128,8,0,1000.0,1.1,15,6.0,20260602,BudgetDoS,True,60,240,48088,528.43956,0.81982,0,0.0,0.0,11910.0,0.18018,0,0,0,0,0,3,20,3593,5770.56,1120
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260602,128,8,0,1000.0,1.1,15,6.0,20260602,P3-NoPersist,True,60,240,48002,510.659574,0.846847,0.0,0.0,0.0,11940.0,0.153153,0,0,0,0,90,2,0,328,5760.24,2160
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260603,128,8,0,1000.0,1.1,15,6.0,20260603,FullScan-Host,True,60,240,509657,4393.594828,1.0,0.0,0.0,0.0,126528.0,0.0,0,0,0,0,0,27,0,0,61158.84,0
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260603,128,8,0,1000.0,1.1,15,6.0,20260603,StaticRL,True,60,240,477809,4119.043103,1.0,0.0,0.0,0.0,118620.0,0.0,0,0,0,0,0,27,0,0,57337.08,0
sensitivity,m3sens_background_rpa_rate_per_min_0_s20260603,128,8,0,1000.0,1.1,15,6.0,20260603,ZephyrCache,True,60,240,475442,4098.637931,1.0,0.0,0.0,0.0,118620.0,0.0,0,0,0,0,106,8,0,0,57053.04,1024
