suite,m4_scenario,run_id,duration_s,num_bonded,rl_capacity,background_rpa_rate_per_min,attack_rpa_rate_per_min,budget_per_window,seed,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes
m4_budget_sensitivity,medium_flood,m4budget_medium_flood_b100_s20260610,1800,512,8,100.0,1000.0,100,20260610,StaticRL,True,300,1500,14321111,5769.988316,1.0,0.0,0.0,0.0,502750.08,0.0,0,0,0,0,0,1019,0,0,1718533.32,0
m4_budget_sensitivity,medium_flood,m4budget_medium_flood_b100_s20260610,1800,512,8,100.0,1000.0,100,20260610,P3-NoPersist,True,300,1500,1260004,682.559047,0.743755,0.0,0.0,0.0,44815.68,0.257454,0,0,0,0,1788,54,44,2060,151200.48,5232
m4_budget_sensitivity,medium_flood,m4budget_medium_flood_b100_s20260610,1800,512,8,100.0,1000.0,100,20260610,P3-NoBudget,True,300,1500,13939644,5616.294923,1.0,0.0,0.0,0.0,502750.08,0.008461,0,0,0,0,2205,265,0,0,1672757.28,5168
m4_budget_sensitivity,medium_flood,m4budget_medium_flood_b100_s20260611,1800,512,8,100.0,1000.0,100,20260611,StaticRL,True,300,1500,14379561,5522.104839,1.0,0.0,0.0,0.0,500532.48,0.0,0,0,0,0,0,1155,0,0,1725547.32,0
m4_budget_sensitivity,medium_flood,m4budget_medium_flood_b100_s20260611,1800,512,8,100.0,1000.0,100,20260611,P3-NoPersist,True,300,1500,1260003,652.513206,0.741551,0,0.0,0.0,44291.52,0.259985,0,0,0,0,1867,61,42,2056,151200.36,5232
m4_budget_sensitivity,medium_flood,m4budget_medium_flood_b100_s20260611,1800,512,8,100.0,1000.0,100,20260611,P3-NoBudget,True,300,1500,13948713,5356.648618,1.0,0.0,0.0,0.0,500532.48,0.006144,0,0,0,0,2292,303,0,0,1673845.56,5168
m4_budget_sensitivity,medium_flood,m4budget_medium_flood_b100_s20260612,1800,512,8,100.0,1000.0,100,20260612,StaticRL,True,300,1500,14361005,5481.299618,1.0,0.0,0.0,0.0,503778.24,0.0,0,0,0,0,0,1079,0,0,1723320.6,0
m4_budget_sensitivity,medium_flood,m4budget_medium_flood_b100_s20260612,1800,512,8,100.0,1000.0,100,20260612,P3-NoPersist,True,300,1500,1260002,615.836755,0.780916,0.0,0.0,0.0,44674.56,0.220229,0,0,0,0,1972,72,30,2112,151200.24,5232
m4_budget_sensitivity,medium_flood,m4budget_medium_flood_b100_s20260612,1800,512,8,100.0,1000.0,100,20260612,P3-NoBudget,True,300,1500,13949218,5324.129008,1.0,0.0,0.0,0.0,503778.24,0.00687,0,0,0,0,2345,265,0,0,1673906.16,5168
m4_budget_sensitivity,medium_flood,m4budget_medium_flood_b250_s20260610,1800,512,8,100.0,1000.0,250,20260610,StaticRL,True,300,1500,14321111,5769.988316,1.0,0.0,0.0,0.0,502750.08,0.0,0,0,0,0,0,1019,0,0,1718533.32,0
