suite,m6_review_scenario,run_id,duration_s,num_bonded,rl_capacity,background_rpa_rate_per_min,attack_rpa_rate_per_min,unique_attack_rpa,seed,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes
m6_review_closure,long5_normal_capacity,m6close_long5_normal_capacity_s20260610,1800,512,8,100.0,0.0,True,20260610,StaticRL,True,300,1500,1766456,713.431341,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1028,0,0,211974.72,0
m6_review_closure,long5_normal_capacity,m6close_long5_normal_capacity_s20260610,1800,512,8,100.0,0.0,True,20260610,ZephyrCache,True,300,1500,1397097,564.255654,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2169,298,0,0,167651.64,1024
m6_review_closure,long5_normal_capacity,m6close_long5_normal_capacity_s20260610,1800,512,8,100.0,0.0,True,20260610,BudgetDoS,True,300,1500,1261433,580.770258,0.877221,0.0,0.0,0.0,0.0,0.122779,0,0,0,0,0,739,304,0,151371.96,4192
m6_review_closure,long5_normal_capacity,m6close_long5_normal_capacity_s20260610,1800,512,8,100.0,0.0,True,20260610,P3-NoPersist,True,300,1500,1253467,512.037173,0.988691,0.0,0.0,0.0,0.0,0.017367,0,0,0,0,2164,265,1,0,150416.04,5232
m6_review_closure,long5_normal_capacity,m6close_long5_normal_capacity_s20260610,1800,512,8,100.0,0.0,True,20260610,P3-NoCache,True,300,1500,1261433,580.770258,0.877221,0.0,0.0,100.0,0.0,0.137318,0,0,0,0,0,739,17,0,151371.96,4208
m6_review_closure,long5_normal_capacity,m6close_long5_normal_capacity_s20260610,1800,512,8,100.0,0.0,True,20260610,P3-NoBudget,True,300,1500,1391061,561.817851,1.0,0.0,0.0,0.0,0.0,0.006462,0,0,0,0,2169,286,0,0,166927.32,5168
m6_review_closure,long5_normal_capacity,m6close_long5_normal_capacity_s20260611,1800,512,8,100.0,0.0,True,20260611,StaticRL,True,300,1500,1778117,700.32178,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1022,0,0,213374.04,0
m6_review_closure,long5_normal_capacity,m6close_long5_normal_capacity_s20260611,1800,512,8,100.0,0.0,True,20260611,ZephyrCache,True,300,1500,1410704,555.614021,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,2235,296,0,0,169284.48,1024
m6_review_closure,long5_normal_capacity,m6close_long5_normal_capacity_s20260611,1800,512,8,100.0,0.0,True,20260611,BudgetDoS,True,300,1500,1261506,561.91804,0.884206,0,0.0,0.0,0.0,0.115794,0,0,0,0,0,739,294,0,151380.72,4192
m6_review_closure,long5_normal_capacity,m6close_long5_normal_capacity_s20260611,1800,512,8,100.0,0.0,True,20260611,P3-NoPersist,True,300,1500,1259004,504.004804,0.983852,0.0,0.0,100.0,0.0,0.027176,0,0,0,0,2230,256,3,0,151080.48,5232
m6_review_closure,long5_normal_capacity,m6close_long5_normal_capacity_s20260611,1800,512,8,100.0,0.0,True,20260611,P3-NoCache,True,300,1500,1261506,561.91804,0.884206,0,0.0,100.0,0.0,0.140607,0,0,0,0,0,739,29,0,151380.72,4208
m6_review_closure,long5_normal_capacity,m6close_long5_normal_capacity_s20260611,1800,512,8,100.0,0.0,True,20260611,P3-NoBudget,True,300,1500,1407686,554.425364,1.0,0,0.0,100.0,0.0,0.01221,0,0,0,0,2235,290,0,0,168922.32,5168
m6_review_closure,long5_normal_capacity,m6close_long5_normal_capacity_s20260612,1800,512,8,100.0,0.0,True,20260612,StaticRL,True,300,1500,1803856,702.162709,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1017,0,0,216462.72,0
m6_review_closure,long5_normal_capacity,m6close_long5_normal_capacity_s20260612,1800,512,8,100.0,0.0,True,20260612,ZephyrCache,True,300,1500,1437920,559.719735,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,2267,294,0,0,172550.4,1024
m6_review_closure,long5_normal_capacity,m6close_long5_normal_capacity_s20260612,1800,512,8,100.0,0.0,True,20260612,BudgetDoS,True,300,1500,1261542,556.23545,0.882834,0.0,0.0,0.0,0.0,0.117166,0,0,0,0,0,726,301,0,151385.04,4192
m6_review_closure,long5_normal_capacity,m6close_long5_normal_capacity_s20260612,1800,512,8,100.0,0.0,True,20260612,P3-NoPersist,True,300,1500,1246404,493.039557,0.98404,0.0,0.0,0.0,0.0,0.025691,0,0,0,0,2262,254,0,0,149568.48,5232
