run_id,event_id,ts_ms,source_type,device_id,addr_type,rpa_epoch,rssi_dbm,payload_len,rpa_value
paper_walkthrough,0,357,attack,,rpa,2,-70.12,22,A2
paper_walkthrough,1,459,attack,,rpa,4,-68.64,17,A4
paper_walkthrough,2,497,background,,rpa,0,-81.7,20,B0
paper_walkthrough,3,793,attack,,rpa,3,-65.15,30,A3
paper_walkthrough,4,933,attack,,rpa,1,-72.85,23,A1
paper_walkthrough,5,2626,attack,,rpa,6,-58.97,22,A6
paper_walkthrough,6,2870,attack,,rpa,5,-76.93,24,A5
paper_walkthrough,7,3110,attack,,rpa,7,-70.7,21,A7
paper_walkthrough,8,3195,attack,,rpa,8,-83.12,22,A8
paper_walkthrough,9,3243,attack,,rpa,9,-79.03,28,A9
paper_walkthrough,10,4175,attack,,rpa,14,-75.94,12,A14
paper_walkthrough,11,4339,attack,,rpa,12,-75.01,18,A12
paper_walkthrough,12,4465,attack,,rpa,10,-73.33,14,A10
paper_walkthrough,13,4873,attack,,rpa,13,-61.77,23,A13
paper_walkthrough,14,4878,attack,,rpa,15,-79.96,25,A15
paper_walkthrough,15,4954,attack,,rpa,11,-67.23,15,A11
paper_walkthrough,16,5643,attack,,rpa,16,-71.63,28,A16
paper_walkthrough,17,5827,attack,,rpa,17,-69.93,30,A17
paper_walkthrough,18,6650,attack,,rpa,19,-74.77,24,A19
paper_walkthrough,19,6817,attack,,rpa,20,-76.17,28,A20
paper_walkthrough,20,6955,background,,rpa,0,-82.32,17,B18
paper_walkthrough,21,7329,attack,,rpa,21,-66.54,21,A21
paper_walkthrough,22,8876,attack,,rpa,22,-67.27,26,A22
paper_walkthrough,23,9704,attack,,rpa,23,-64.24,18,A23
paper_walkthrough,24,11181,attack,,rpa,25,-80.21,21,A25
paper_walkthrough,25,11218,background,,rpa,0,-80.4,26,B24
paper_walkthrough,26,12151,attack,,rpa,26,-78.32,23,A26
paper_walkthrough,27,13126,non_rpa,,non_rpa,0,-72.66,14,
paper_walkthrough,28,13200,attack,,rpa,30,-64.58,21,A30
paper_walkthrough,29,13258,background,,rpa,0,-75.66,12,B27
paper_walkthrough,30,13353,background,,rpa,0,-79.92,21,B28
paper_walkthrough,31,13482,attack,,rpa,29,-75.05,30,A29
paper_walkthrough,32,14104,background,,rpa,0,-71.61,12,B33
paper_walkthrough,33,14431,attack,,rpa,34,-68.63,12,A34
paper_walkthrough,34,14657,non_rpa,,non_rpa,0,-79.18,30,
paper_walkthrough,35,14813,legit_bonded,dev_0006,rpa,0,-55.06,27,Ldev_0006:0
paper_walkthrough,36,15644,attack,,rpa,36,-59.64,15,A36
paper_walkthrough,37,16068,non_rpa,,non_rpa,0,-71.91,10,
paper_walkthrough,38,16113,legit_bonded,dev_0002,rpa,0,-59.27,20,Ldev_0002:0
paper_walkthrough,39,16270,attack,,rpa,38,-71.14,9,A38
paper_walkthrough,40,16542,attack,,rpa,40,-70.45,31,A40
paper_walkthrough,41,16745,attack,,rpa,39,-77.31,23,A39
paper_walkthrough,42,17378,attack,,rpa,43,-68.8,9,A43
paper_walkthrough,43,17716,attack,,rpa,42,-72.28,16,A42
paper_walkthrough,44,18025,attack,,rpa,47,-73.35,28,A47
paper_walkthrough,45,18290,attack,,rpa,46,-66.71,21,A46
paper_walkthrough,46,18299,attack,,rpa,45,-67.3,20,A45
paper_walkthrough,47,18434,attack,,rpa,44,-65.77,24,A44
paper_walkthrough,48,19102,attack,,rpa,50,-67.36,23,A50
paper_walkthrough,49,19154,non_rpa,,non_rpa,0,-81.95,22,
paper_walkthrough,50,19395,attack,,rpa,48,-63.84,30,A48
paper_walkthrough,51,19883,attack,,rpa,49,-78.86,13,A49
paper_walkthrough,52,19899,attack,,rpa,51,-73.16,28,A51
paper_walkthrough,53,20523,attack,,rpa,55,-65.81,24,A55
paper_walkthrough,54,20606,background,,rpa,0,-88.41,14,B54
paper_walkthrough,55,20770,non_rpa,,non_rpa,0,-76.05,14,
paper_walkthrough,56,20865,background,,rpa,0,-73.16,16,B53
paper_walkthrough,57,20915,attack,,rpa,56,-64.63,16,A56
paper_walkthrough,58,21209,attack,,rpa,59,-65.08,20,A59
paper_walkthrough,59,21317,attack,,rpa,60,-65.34,12,A60
