run_id,event_id,ts_ms,source_type,device_id,addr_type,rpa_epoch,rssi_dbm,payload_len,rpa_value
paper_walkthrough_persist,0,259,attack,,rpa,0,-69.77,22,A0
paper_walkthrough_persist,1,793,non_rpa,,non_rpa,0,-74.82,30,
paper_walkthrough_persist,2,1148,attack,,rpa,3,-77.6,11,A3
paper_walkthrough_persist,3,1305,background,,rpa,0,-85.83,9,B2
paper_walkthrough_persist,4,1394,attack,,rpa,4,-65.85,22,A4
paper_walkthrough_persist,5,2110,attack,,rpa,5,-75.74,21,A5
paper_walkthrough_persist,6,2195,attack,,rpa,6,-83.12,22,A6
paper_walkthrough_persist,7,2243,attack,,rpa,7,-79.03,28,A7
paper_walkthrough_persist,8,3175,attack,,rpa,12,-75.94,12,A12
paper_walkthrough_persist,9,3339,attack,,rpa,10,-75.01,18,A10
paper_walkthrough_persist,10,3465,background,,rpa,0,-85.33,14,B8
paper_walkthrough_persist,11,3873,attack,,rpa,11,-61.77,23,A11
paper_walkthrough_persist,12,3878,attack,,rpa,13,-79.96,25,A13
paper_walkthrough_persist,13,3954,attack,,rpa,9,-67.23,15,A9
paper_walkthrough_persist,14,4643,attack,,rpa,14,-71.63,28,A14
paper_walkthrough_persist,15,4827,attack,,rpa,15,-69.93,30,A15
paper_walkthrough_persist,16,5650,attack,,rpa,17,-74.77,24,A17
paper_walkthrough_persist,17,5817,attack,,rpa,18,-76.17,28,A18
paper_walkthrough_persist,18,5955,background,,rpa,0,-82.32,17,B16
paper_walkthrough_persist,19,6329,attack,,rpa,19,-66.54,21,A19
paper_walkthrough_persist,20,7876,attack,,rpa,20,-67.27,26,A20
paper_walkthrough_persist,21,8704,attack,,rpa,21,-64.24,18,A21
paper_walkthrough_persist,22,10181,background,,rpa,0,-92.21,21,B23
paper_walkthrough_persist,23,10218,background,,rpa,0,-80.4,26,B22
paper_walkthrough_persist,24,11151,attack,,rpa,24,-78.32,23,A24
paper_walkthrough_persist,25,12240,attack,,rpa,27,-61.78,21,A27
paper_walkthrough_persist,26,12258,background,,rpa,0,-74.73,18,B26
paper_walkthrough_persist,27,12482,attack,,rpa,28,-70.63,20,A28
paper_walkthrough_persist,28,12730,background,,rpa,0,-75.66,16,B25
paper_walkthrough_persist,29,13631,attack,,rpa,29,-72.1,20,A29
paper_walkthrough_persist,30,13751,attack,,rpa,30,-68.01,22,A30
paper_walkthrough_persist,31,14550,legit_bonded,dev_0001,rpa,0,-63.77,23,Ldev_0001:0
paper_walkthrough_persist,32,14610,background,,rpa,0,-77.82,26,B34
paper_walkthrough_persist,33,14644,background,,rpa,0,-74.71,12,B33
paper_walkthrough_persist,34,14657,legit_bonded,dev_0010,rpa,0,-59.38,14,Ldev_0010:0
paper_walkthrough_persist,35,14947,attack,,rpa,35,-70.64,14,A35
paper_walkthrough_persist,36,15087,attack,,rpa,39,-69.1,17,A39
paper_walkthrough_persist,37,15279,attack,,rpa,38,-64.94,10,A38
paper_walkthrough_persist,38,15316,attack,,rpa,40,-71.3,20,A40
paper_walkthrough_persist,39,15494,attack,,rpa,37,-62.71,24,A37
paper_walkthrough_persist,40,15742,background,,rpa,0,-75.07,31,B36
paper_walkthrough_persist,41,16373,attack,,rpa,43,-74.83,22,A43
paper_walkthrough_persist,42,16465,background,,rpa,0,-74.81,20,B41
paper_walkthrough_persist,43,16725,attack,,rpa,42,-60.18,21,A42
paper_walkthrough_persist,44,17530,legit_bonded,dev_0009,rpa,0,-47.23,20,Ldev_0009:0
paper_walkthrough_persist,45,18533,background,,rpa,0,-75.55,25,B46
paper_walkthrough_persist,46,18643,legit_bonded,dev_0006,rpa,0,-62.09,28,Ldev_0006:0
paper_walkthrough_persist,47,19154,background,,rpa,0,-88.95,22,B48
paper_walkthrough_persist,48,19293,attack,,rpa,49,-61.16,31,A49
paper_walkthrough_persist,49,19899,background,,rpa,0,-75.04,28,B47
paper_walkthrough_persist,50,19909,non_rpa,,non_rpa,0,-70.64,22,
paper_walkthrough_persist,51,20417,non_rpa,,non_rpa,0,-87.06,16,
paper_walkthrough_persist,52,20522,legit_bonded,dev_0003,rpa,0,-38.84,18,Ldev_0003:0
