run_id,num_bonded,rl_capacity,attack_rpa_rate_per_min,seed,method,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,attack_aes_amplification,false_defer_legit_rate,estimated_energy_uJ,sram_bytes
w3_nb16_rl16_atk0_s20260530,16,16,0,20260530,FullScan-Host,46827,514.582418,1.0,0,0.0,0.0,0.0,0.0,5619.24,0
w3_nb16_rl16_atk0_s20260530,16,16,0,20260530,StaticRL,91,1.0,1.0,0,0.0,0.0,0.0,0.0,10.92,512
w3_nb16_rl16_atk0_s20260530,16,16,0,20260530,LRU-RL,91,1.0,1.0,0,0.0,0.0,0.0,0.0,10.92,512
w3_nb16_rl16_atk0_s20260530,16,16,0,20260530,Freq-RL,91,1.0,1.0,0,0.0,0.0,0.0,0.0,10.92,512
w3_nb16_rl16_atk0_s20260530,16,16,0,20260530,BudgetDoS,91,1.0,1.0,0,0.0,0.0,0.0,0.0,10.92,512
w3_nb16_rl16_atk0_s20260530,16,16,0,20260530,P3-NoPersist,8,0.087912,1.0,0,0.0,0.0,0.0,0.0,0.96,512
w3_nb16_rl16_atk100_s20260530,16,16,100,20260530,FullScan-Host,97347,983.30303,1.0,0,0.0,0.0,1630.504171,0.0,11681.64,0
w3_nb16_rl16_atk100_s20260530,16,16,100,20260530,StaticRL,99,1.0,1.0,0,0.0,0.0,0.0,0.0,11.88,512
w3_nb16_rl16_atk100_s20260530,16,16,100,20260530,LRU-RL,99,1.0,1.0,0,0.0,0.0,0.0,0.0,11.88,512
w3_nb16_rl16_atk100_s20260530,16,16,100,20260530,Freq-RL,99,1.0,1.0,0,0.0,0.0,0.0,0.0,11.88,512
w3_nb16_rl16_atk100_s20260530,16,16,100,20260530,BudgetDoS,99,1.0,1.0,0,0.0,0.0,0.0,0.0,11.88,512
w3_nb16_rl16_atk100_s20260530,16,16,100,20260530,P3-NoPersist,338,3.414141,1.0,0,0.0,0.0,9.833962,0.0,40.56,512
w3_nb16_rl16_atk1000_s20260530,16,16,1000,20260530,FullScan-Host,525445,5202.425743,1.0,0,0,0,15945.704495,0.0,63053.4,0
w3_nb16_rl16_atk1000_s20260530,16,16,1000,20260530,StaticRL,101,1.0,1.0,0,0,0,0.0,0.0,12.12,512
w3_nb16_rl16_atk1000_s20260530,16,16,1000,20260530,LRU-RL,101,1.0,1.0,0,0,0,0.0,0.0,12.12,512
w3_nb16_rl16_atk1000_s20260530,16,16,1000,20260530,Freq-RL,101,1.0,1.0,0,0,0,0.0,0.0,12.12,512
w3_nb16_rl16_atk1000_s20260530,16,16,1000,20260530,BudgetDoS,101,1.0,1.0,0,0,0,0.0,0.0,12.12,512
w3_nb16_rl16_atk1000_s20260530,16,16,1000,20260530,P3-NoPersist,332,3.287129,1.0,0,0,0,9.300372,0.0,39.84,512
w3_nb16_rl16_atk10000_s20260530,16,16,10000,20260530,FullScan-Host,4846668,63771.947368,1.0,0.0,0.0,0.0,159951.733253,0.0,581600.16,0
w3_nb16_rl16_atk10000_s20260530,16,16,10000,20260530,StaticRL,76,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.12,512
w3_nb16_rl16_atk10000_s20260530,16,16,10000,20260530,LRU-RL,76,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.12,512
w3_nb16_rl16_atk10000_s20260530,16,16,10000,20260530,Freq-RL,76,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.12,512
w3_nb16_rl16_atk10000_s20260530,16,16,10000,20260530,BudgetDoS,76,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.12,512
w3_nb16_rl16_atk10000_s20260530,16,16,10000,20260530,P3-NoPersist,300,3.947368,1.0,0.0,0.0,0.0,8.033347,0.0,36.0,512
w3_nb32_rl16_atk0_s20260530,32,16,0,20260530,FullScan-Host,97644,567.697674,1.0,0.0,0.0,0.0,0.0,0.0,11717.28,0
w3_nb32_rl16_atk0_s20260530,32,16,0,20260530,StaticRL,48908,284.348837,1.0,0.0,0.0,0.0,0.0,0.0,5868.96,512
w3_nb32_rl16_atk0_s20260530,32,16,0,20260530,LRU-RL,48908,284.348837,1.0,0.0,0.0,0.0,0.0,0.0,5868.96,512
w3_nb32_rl16_atk0_s20260530,32,16,0,20260530,Freq-RL,48908,284.348837,1.0,0.0,0.0,0.0,0.0,0.0,5868.96,512
w3_nb32_rl16_atk0_s20260530,32,16,0,20260530,BudgetDoS,46348,269.465116,1.0,0.0,0.0,0.0,0.0,0.0,5561.76,512
w3_nb32_rl16_atk0_s20260530,32,16,0,20260530,P3-NoPersist,28,0.162791,1.0,0.0,0.0,0.0,0.0,0.0,3.36,512
w3_nb32_rl16_atk100_s20260530,32,16,100,20260530,FullScan-Host,193008,1096.636364,1.0,0.0,0.0,0.0,3209.856789,0.0,23160.96,0
w3_nb32_rl16_atk100_s20260530,32,16,100,20260530,StaticRL,96592,548.818182,1.0,0.0,0.0,0.0,1604.928394,0.0,11591.04,512
w3_nb32_rl16_atk100_s20260530,32,16,100,20260530,LRU-RL,96592,548.818182,1.0,0.0,0.0,0.0,1604.928394,0.0,11591.04,512
w3_nb32_rl16_atk100_s20260530,32,16,100,20260530,Freq-RL,96592,548.818182,1.0,0.0,0.0,0.0,1604.928394,0.0,11591.04,512
w3_nb32_rl16_atk100_s20260530,32,16,100,20260530,BudgetDoS,48176,273.727273,1.0,0.0,0.0,0.0,771.261701,0.0,5781.12,512
w3_nb32_rl16_atk100_s20260530,32,16,100,20260530,P3-NoPersist,43901,249.4375,1.0,0.0,0.0,0.0,1459.850121,0.0,5268.12,512
w3_nb32_rl16_atk1000_s20260530,32,16,1000,20260530,FullScan-Host,1050754,5416.257732,1.0,0.0,0.0,0.0,31790.950995,0.0,126090.48,0
w3_nb32_rl16_atk1000_s20260530,32,16,1000,20260530,StaticRL,525474,2708.628866,1.0,0.0,0.0,0.0,15895.475497,0.0,63056.88,512
w3_nb32_rl16_atk1000_s20260530,32,16,1000,20260530,LRU-RL,525474,2708.628866,1.0,0.0,0.0,0.0,15895.475497,0.0,63056.88,512
w3_nb32_rl16_atk1000_s20260530,32,16,1000,20260530,Freq-RL,525474,2708.628866,1.0,0.0,0.0,0.0,15895.475497,0.0,63056.88,512
w3_nb32_rl16_atk1000_s20260530,32,16,1000,20260530,BudgetDoS,48194,248.42268,1.0,0.0,0.0,0.0,1463.46748,0.0,5783.28,512
w3_nb32_rl16_atk1000_s20260530,32,16,1000,20260530,P3-NoPersist,45768,235.917526,1.0,0.0,0.0,0.0,1521.600845,0.0,5492.16,512
w3_nb32_rl16_atk10000_s20260530,32,16,10000,20260530,FullScan-Host,9694022,58397.722892,1.0,0.0,0.0,0.0,319927.466667,0.0,1163282.64,0
w3_nb32_rl16_atk10000_s20260530,32,16,10000,20260530,StaticRL,4847094,29199.361446,1.0,0.0,0.0,0.0,159963.733333,0.0,581651.28,512
w3_nb32_rl16_atk10000_s20260530,32,16,10000,20260530,LRU-RL,4847094,29199.361446,1.0,0.0,0.0,0.0,159963.733333,0.0,581651.28,512
w3_nb32_rl16_atk10000_s20260530,32,16,10000,20260530,Freq-RL,4847094,29199.361446,1.0,0.0,0.0,0.0,159963.733333,0.0,581651.28,512
w3_nb32_rl16_atk10000_s20260530,32,16,10000,20260530,BudgetDoS,48166,290.156627,1.0,0.0,0.0,0.0,1581.866667,0.0,5779.92,512
w3_nb32_rl16_atk10000_s20260530,32,16,10000,20260530,P3-NoPersist,45828,276.072289,1.0,0.0,0.0,0.0,1520.533333,0.0,5499.36,512
w3_nb64_rl16_atk0_s20260530,64,16,0,20260530,FullScan-Host,194574,488.879397,1.0,0.0,0.0,0.0,0.0,0.0,23348.88,0
w3_nb64_rl16_atk0_s20260530,64,16,0,20260530,StaticRL,146030,366.909548,1.0,0.0,0.0,0.0,0.0,0.0,17523.6,512
w3_nb64_rl16_atk0_s20260530,64,16,0,20260530,LRU-RL,146030,366.909548,1.0,0.0,0.0,0.0,0.0,0.0,17523.6,512
w3_nb64_rl16_atk0_s20260530,64,16,0,20260530,Freq-RL,146030,366.909548,1.0,0.0,0.0,0.0,0.0,0.0,17523.6,512
w3_nb64_rl16_atk0_s20260530,64,16,0,20260530,BudgetDoS,140366,352.678392,1.0,0.0,0.0,0.0,0.0,0.0,16843.92,512
w3_nb64_rl16_atk0_s20260530,64,16,0,20260530,P3-NoPersist,74,0.18593,1.0,0.0,0.0,0.0,0.0,0.0,8.88,512
w3_nb64_rl16_atk100_s20260530,64,16,100,20260530,FullScan-Host,382721,994.080519,1.0,0,0.0,0.0,6454.531007,0.0,45926.52,0
w3_nb64_rl16_atk100_s20260530,64,16,100,20260530,StaticRL,287137,745.81039,1.0,0,0.0,0.0,4840.898256,0.0,34456.44,512
w3_nb64_rl16_atk100_s20260530,64,16,100,20260530,LRU-RL,287137,745.81039,1.0,0,0.0,0.0,4840.898256,0.0,34456.44,512
w3_nb64_rl16_atk100_s20260530,64,16,100,20260530,Freq-RL,287137,745.81039,1.0,0,0.0,0.0,4840.898256,0.0,34456.44,512
w3_nb64_rl16_atk100_s20260530,64,16,100,20260530,BudgetDoS,144385,375.025974,1.0,0,0.0,0.0,2442.053137,0.0,17326.2,512
w3_nb64_rl16_atk100_s20260530,64,16,100,20260530,P3-NoPersist,133168,345.890909,1.0,0,0.0,0.0,4432.822535,0.0,15980.16,512
w3_nb64_rl16_atk1000_s20260530,64,16,1000,20260530,FullScan-Host,2100571,5110.878345,1.0,0,0.0,0.0,63624.533333,0.0,252068.52,0
w3_nb64_rl16_atk1000_s20260530,64,16,1000,20260530,StaticRL,1575531,3833.408759,1.0,0,0.0,0.0,47718.4,0.0,189063.72,512
w3_nb64_rl16_atk1000_s20260530,64,16,1000,20260530,LRU-RL,1575531,3833.408759,1.0,0,0.0,0.0,47718.4,0.0,189063.72,512
w3_nb64_rl16_atk1000_s20260530,64,16,1000,20260530,Freq-RL,1575531,3833.408759,1.0,0,0.0,0.0,47718.4,0.0,189063.72,512
w3_nb64_rl16_atk1000_s20260530,64,16,1000,20260530,BudgetDoS,144411,351.364964,1.0,0,0.0,0.0,4360.0,0.0,17329.32,512
w3_nb64_rl16_atk1000_s20260530,64,16,1000,20260530,P3-NoPersist,137951,335.647202,1.0,0,0.0,0.0,4589.6,0.0,16554.12,512
w3_nb64_rl16_atk10000_s20260530,64,16,10000,20260530,FullScan-Host,19334668,48824.919192,1.0,0.0,0.0,0.0,638075.733333,0.0,2320160.16,0
w3_nb64_rl16_atk10000_s20260530,64,16,10000,20260530,StaticRL,14501100,36618.939394,1.0,0.0,0.0,0.0,478556.8,0.0,1740132.0,512
w3_nb64_rl16_atk10000_s20260530,64,16,10000,20260530,LRU-RL,14501100,36618.939394,1.0,0.0,0.0,0.0,478556.8,0.0,1740132.0,512
w3_nb64_rl16_atk10000_s20260530,64,16,10000,20260530,Freq-RL,14501100,36618.939394,1.0,0.0,0.0,0.0,478556.8,0.0,1740132.0,512
w3_nb64_rl16_atk10000_s20260530,64,16,10000,20260530,BudgetDoS,144396,364.636364,1.0,0.0,0.0,0.0,4772.8,0.0,17327.52,512
w3_nb64_rl16_atk10000_s20260530,64,16,10000,20260530,P3-NoPersist,137156,346.353535,1.0,0.0,0.0,0.0,4552.8,0.0,16458.72,512
w3_nb128_rl16_atk0_s20260530,128,16,0,20260530,FullScan-Host,397777,493.519851,1.0,0.0,0.0,0.0,0.0,0.0,47733.24,0
w3_nb128_rl16_atk0_s20260530,128,16,0,20260530,StaticRL,348145,431.941687,1.0,0.0,0.0,0.0,0.0,0.0,41777.4,512
w3_nb128_rl16_atk0_s20260530,128,16,0,20260530,LRU-RL,352807,437.725806,1.0,0.0,0.0,0.0,0.0,0.0,42336.84,512
w3_nb128_rl16_atk0_s20260530,128,16,0,20260530,Freq-RL,350032,434.282878,1.0,0.0,0.0,0.0,0.0,0.0,42003.84,512
w3_nb128_rl16_atk0_s20260530,128,16,0,20260530,BudgetDoS,334912,415.523573,1.0,0.0,0.0,0.0,0.0,0.0,40189.44,512
w3_nb128_rl16_atk0_s20260530,128,16,0,20260530,P3-NoPersist,3936,4.883375,1.0,0.0,0.0,0.0,0.0,0.0,472.32,512
w3_nb128_rl16_atk100_s20260530,128,16,100,20260530,FullScan-Host,785735,995.86185,1.0,0,0.0,0.0,12819.402647,0.0,94288.2,0
w3_nb128_rl16_atk100_s20260530,128,16,100,20260530,StaticRL,687607,871.491762,1.0,0,0.0,0.0,11216.977316,0.0,82512.84,512
w3_nb128_rl16_atk100_s20260530,128,16,100,20260530,LRU-RL,690604,875.290241,1.0,0,0.0,0.0,11216.977316,0.0,82872.48,512
w3_nb128_rl16_atk100_s20260530,128,16,100,20260530,Freq-RL,687940,871.913815,1.0,0,0.0,0.0,11216.977316,0.0,82552.8,512
w3_nb128_rl16_atk100_s20260530,128,16,100,20260530,BudgetDoS,345780,438.250951,1.0,0,0.0,0.0,5526.340355,0.0,41493.6,512
w3_nb128_rl16_atk100_s20260530,128,16,100,20260530,P3-NoPersist,315986,400.489227,1.0,0,0.0,0.0,10249.867754,0.0,37918.32,512
w3_nb128_rl16_atk1000_s20260530,128,16,1000,20260530,FullScan-Host,4236069,5625.589641,1.0,0,0.0,0.0,128262.689406,0.0,508328.28,0
w3_nb128_rl16_atk1000_s20260530,128,16,1000,20260530,StaticRL,3706645,4922.50332,1.0,0,0.0,0.0,112229.853231,0.0,444797.4,512
